Team: Utah, Adjustment: -3
Team: Tulane, Adjustment: -3
Team: Tulane, Adjustment: -3
Team: Florida Atlantic, Adjustment: -3
Team: North Carolina, Adjustment: -3
Team: Louisiana Tech, Adjustment: -3
Team: Georgia Tech, Adjustment: -3
Team: Arkansas State, Adjustment: -3
Team: BYU, Adjustment: -3
Team: Minnesota, Adjustment: -3
Team: North Carolina, Adjustment: -3
Team: Alabama, Adjustment: -3
Team: Clemson, Adjustment: -3
Team: Army, Adjustment: -3
Team: Miami, Adjustment: -3
Team: UTEP, Adjustment: -3
Team: San Diego State, Adjustment: -3
Team: Virginia, Adjustment: 3
Team: Cincinnati, Adjustment: 3
Team: UCF, Adjustment: 3
Team: Nebraska, Adjustment: 3
Team: App State, Adjustment: 3
Team: Stanford, Adjustment: 3
Team: New Mexico, Adjustment: 3
Team: Syracuse, Adjustment: 3
Team: UCLA, Adjustment: 3
Team: Pittsburgh, Adjustment: -3
