,team,power_rating,conference,week,year
1,Ohio State,22.799999999999997,Big Ten,17,2024
2,Penn State,19.4,Big Ten,17,2024
3,Notre Dame,18.4,FBS Independents,17,2024
4,Alabama,18.0,SEC,17,2024
5,Oregon,17.3,Big Ten,17,2024
6,Texas,16.9,SEC,17,2024
7,Georgia,16.2,SEC,17,2024
8,Indiana,15.6,Big Ten,17,2024
9,Ole Miss,15.4,SEC,17,2024
10,Tennessee,14.2,SEC,17,2024
11,LSU,13.6,SEC,17,2024
12,Miami,12.7,ACC,17,2024
13,Texas A&M,11.5,SEC,17,2024
14,Clemson,11.4,ACC,17,2024
15,Florida,11.2,SEC,17,2024
16,Boise State,10.9,Mountain West,17,2024
17,South Carolina,9.9,SEC,17,2024
18,Iowa,9.4,Big Ten,17,2024
19,Colorado,9.4,Big 12,17,2024
20,Missouri,9.1,SEC,17,2024
21,USC,9.0,Big Ten,17,2024
22,Nebraska,8.9,Big Ten,17,2024
23,Arizona State,8.9,Big 12,17,2024
24,TCU,8.8,Big 12,17,2024
25,Michigan,7.8,Big Ten,17,2024
26,SMU,7.8,ACC,17,2024
27,Auburn,7.2,SEC,17,2024
28,Iowa State,7.0,Big 12,17,2024
29,Arkansas,7.0,SEC,17,2024
30,Oklahoma,6.7,SEC,17,2024
31,Louisville,6.7,ACC,17,2024
32,Minnesota,6.3,Big Ten,17,2024
33,Baylor,6.2,Big 12,17,2024
34,Kansas State,6.2,Big 12,17,2024
35,Vanderbilt,6.0,SEC,17,2024
36,Virginia Tech,6.0,ACC,17,2024
37,Syracuse,6.0,ACC,17,2024
38,Illinois,5.9,Big Ten,17,2024
39,Kansas,5.7,Big 12,17,2024
40,Memphis,5.7,American Athletic,17,2024
41,Tulane,5.7,American Athletic,17,2024
42,Boston College,4.5,ACC,17,2024
43,Pittsburgh,4.2,ACC,17,2024
44,South Alabama,4.0,Sun Belt,17,2024
45,Army,3.9,American Athletic,17,2024
46,UCF,3.5,Big 12,17,2024
47,Kentucky,3.0,SEC,17,2024
48,Georgia Tech,2.8,ACC,17,2024
49,Texas Tech,2.8,Big 12,17,2024
50,California,2.8,ACC,17,2024
51,UNLV,2.7,Mountain West,17,2024
52,North Carolina,2.7,ACC,17,2024
53,Rutgers,2.5,Big Ten,17,2024
54,Washington State,2.3,Pac-12,17,2024
55,Cincinnati,2.3,Big 12,17,2024
56,Washington,1.9,Big Ten,17,2024
57,BYU,1.5,Big 12,17,2024
58,UCLA,1.4,Big Ten,17,2024
59,Duke,1.1,ACC,17,2024
60,Utah,1.0,Big 12,17,2024
61,Wisconsin,0.6,Big Ten,17,2024
62,Texas State,0.5,Sun Belt,17,2024
63,Navy,0.5,American Athletic,17,2024
64,NC State,0.4,ACC,17,2024
65,Marshall,0.3,Sun Belt,17,2024
66,South Florida,-0.4,American Athletic,17,2024
67,James Madison,-0.6,Sun Belt,17,2024
68,Ohio,-0.8,Mid-American,17,2024
69,Louisiana,-1.1,Sun Belt,17,2024
70,East Carolina,-1.3,American Athletic,17,2024
71,West Virginia,-1.3,Big 12,17,2024
72,Fresno State,-1.3,Mountain West,17,2024
73,Mississippi State,-2.0,SEC,17,2024
74,Stanford,-2.2,ACC,17,2024
75,UConn,-2.2,FBS Independents,17,2024
76,UTSA,-2.3,American Athletic,17,2024
77,Bowling Green,-2.5,Mid-American,17,2024
78,Maryland,-2.5,Big Ten,17,2024
79,Miami (OH),-2.7,Mid-American,17,2024
80,Michigan State,-2.7,Big Ten,17,2024
81,Troy,-2.8,Sun Belt,17,2024
82,Wake Forest,-3.2,ACC,17,2024
