,team,conference,season,sp_conf_rating,firstDowns,fourthDownConversions,fourthDowns,fumblesLost,fumblesRecovered,games,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,netPassingYards,passAttempts,passCompletions,passesIntercepted,passingTDs,penalties,penaltyYards,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,rushingAttempts,rushingTDs,rushingYards,thirdDownConversions,thirdDowns,totalYards,turnovers,total_turnovers,thirdDownConversionRate,fourthDownConversionRate,possessionTimeMinutes,color,alt_color,logo,qb_average_ppa,qb_total_ppa,fpi,fpi_rank,fpi_sor,fpi_sos,def_eff,off_eff,special_eff,games_played,wins,losses,conference_games,conference_wins,conference_losses,Offense_success_rate,Defense_success_rate,Offense_explosiveness,Defense_explosiveness,Offense_ppa,Offense_power_success,Offense_stuff_rate,Defense_power_success,Defense_stuff_rate,Defense_ppa,Offense_points_per_opportunity,Defense_points_per_opportunity,Defense_havoc_total,Offense_field_position_average_predicted_points,Defense_field_position_average_predicted_points,Offense_field_position_average_start,Defense_field_position_average_start,avg_talent,sp_conf_scaled,total_turnovers_scaled,possession_scaled,third_down_scaled,offense_avg_field_position_scaled,defense_avg_field_position_scaled,offense_ppo_scaled,offense_success_scaled,offense_explosive,talent_scaled,defense_ppo_scaled,penalties_scaled,offense_ppa_scaled,defense_ppa_scaled,defense_success_scaled,defense_explosive,adjusted_metric,average_metric,in_house_pr,ranking,power_ranking,calculated_rank,combined_rank,PBR,PBR_rank,STM,STM_rank,DCE,DCE_rank,DefensivePossessionTime,DDE,DDE_rank,offensive_total,offensive_rank,defensive_total,defensive_rank,talent_scaled_rank,offense_success_rank,defense_success_rank,offense_explosive_rank,defense_explosive_rank,total_turnovers_rank,penalties_rank,power_rating,avg_expected_wins,SOS,wins_above_average,wins_above_good,wins_above_elite,SOR,most_deserving_wins,most_deserving,sacks,tacklesForLoss,norm_power_rank,norm_pr
0,Alabama,SEC,2020,89.66818303451967,365.0,6.0,9.0,8.0,10.0,13.0,3.0,212.0,4.0,1.0,276.0,18.0,4656.0,425.0,324.0,12.0,42.0,78.0,625.0,24032.0,34.0,299.0,20.0,475.0,37.0,2378.0,87.0,145.0,7034.0,12.0,10.28125,100.0,67.0033,400.53,#9e1632,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/333.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png']",0.4375,144.7905,35.907,1.0,1.0,6.0,77.559,98.067,57.996,13.0,13.0,0.0,11.0,11.0,0.0,100.0,73.20050070207287,47.33089567453956,42.94164007994647,95.60695634669491,81.28533333333333,29.440278859197782,51.0289240972734,59.91797651903103,82.7251008495502,100.0,69.60603581601151,66.74030231397103,39.19418306244654,14.851851851851862,70.0,73.9,100.0,9.06074391222906,90.71875,95.6779738363249,100.0,37.62427745664742,6.827586206896555,100.0,100.0,47.33089567453956,1000.0,69.60603581601151,35.111398963730565,95.60695634669491,82.7251008495502,73.20050070207286,42.94164007994645,234.29104936357797,73.63418227546732,24.2,2.0,144.72021181652025,1.0,1.943291111793368,0.625,35.0,34.18333333333334,31.0,2370.876,6.0,379.47,161.8,28.0,492.8576472762121,2,394.2720299157373,24,1.0,1.0,24.0,61.0,86.0,3.0,104.0,26.5,0.7131538461538462,3,8.94,6.33,3.78,1,5.754,1,27.0,71.0,3.165193555123913,29.15
1,Georgia,SEC,2022,100.0,371.0,13.0,15.0,10.0,11.0,15.0,0.0,122.0,7.0,1.0,437.0,22.0,4437.0,492.0,336.0,12.0,31.0,66.0,673.0,30211.0,1.0,265.0,22.0,557.0,44.0,3080.0,93.0,182.0,7517.0,17.0,44.15384615384615,83.70850086157381,100.0,503.52,#ba0c2f,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/61.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/61.png']",0.603,127.225,29.908,1.0,1.0,8.0,87.647,90.791,45.406,15.0,15.0,0.0,9.0,9.0,0.0,96.33850162632407,77.93734443608338,42.81344797845176,50.93851714830981,91.22273460698416,53.51010980689131,44.18739965092849,45.72891566265056,36.206160561178194,85.66337975571163,85.81934485205943,66.03621075555016,38.37076910747203,79.89062500000003,12.727272727272748,68.3,74.0,99.08891060816885,9.999999999999998,56.84615384615384,100.0,83.70850086157381,77.75280898876406,8.021978021978015,85.81934485205943,96.33850162632407,42.81344797845176,991.7173691651716,66.03621075555017,53.402535657686215,91.22273460698416,85.66337975571163,77.9373444360834,50.93851714830983,224.01641115074383,74.1523209253108,25.7,1.0,117.87952674416366,1.0,0.7607457960252992,0.6786207652756269,8.0,37.60909090909091,13.0,2870.653008615738,1.0,396.48,198.6,60.0,493.7821635216393,4,375.2378010467564,24,2.0,3.0,7.0,88.0,55.0,49.0,67.0,26.3,0.7522857142857143,8,9.11,6.17,3.5,1,4.935,1,35.0,81.0,2.8197440496536244,25.97
2,Georgia,SEC,2021,100.0,339.0,8.0,14.0,5.0,7.0,15.0,4.0,265.0,12.0,1.0,322.0,17.0,3778.0,407.0,264.0,16.0,39.0,77.0,648.0,27499.0,34.0,317.0,33.0,545.0,29.0,2864.0,77.0,172.0,6642.0,17.0,45.55,70.42053307008887,55.04892135213181,458.32,#ba0c2f,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/61.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/61.png']",0.2193333333333333,58.751666666666665,30.024,1.0,1.0,3.0,93.674,88.364,57.774,15.0,14.0,1.0,9.0,8.0,1.0,83.58146758113733,96.6262737771739,44.197768524664895,63.30064082231178,70.38660613509506,65.87238845947806,32.08587570621468,66.71739783653848,32.84905629598214,100.0,90.4023968849149,100.0,86.82463675554284,53.95621301775148,7.717857142857156,69.2,74.5,99.11410455796148,10.000000000000002,55.45,84.58385940965707,70.42053307008887,52.61538461538459,8.0,90.4023968849149,83.58146758113733,44.197768524664895,991.9464050723768,100.0,67.42253521126761,70.38660613509506,100.0,96.6262737771739,63.30064082231176,238.48810800904343,76.34879280673049,28.7,1.0,241.80316559303483,1.0,0.9237206243610608,0.6532611002836579,3.0,33.84723707664884,36.0,1835.738424410192,35.0,441.68,227.8,24.0,440.4827163092564,10,467.2112258748634,1,2.0,10.0,2.0,79.0,45.0,39.0,59.0,26.1,0.7721428571428571,8,7.98,4.99,2.21,1,4.5,1,49.0,99.0,2.7523877374988435,25.35
3,Alabama,SEC,2017,100.0,311.0,15.0,18.0,7.0,4.0,14.0,2.0,279.0,3.0,1.0,438.0,20.0,2708.0,332.0,204.0,19.0,28.0,70.0,569.0,24993.0,1.0,301.0,39.0,612.0,36.0,3509.0,72.0,177.0,6217.0,10.0,21.204081632653057,50.83973919011669,100.0,416.55,#9e1632,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/333.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png']",0.318,50.772000000000006,28.419,1.0,1.0,29.0,89.9,86.43,50.588,14.0,13.0,1.0,9.0,8.0,1.0,78.01024824133785,91.30828307503702,34.39568138912648,70.0655989555813,70.20691770336374,78.23529411764707,20.914690948780557,43.66086956521738,49.86147711620828,96.63322781203613,82.04235760891972,92.41195431249552,79.7659860494357,75.7919708029197,6.282012195121979,65.4,72.6,100.0,10.0,79.79591836734693,59.08808690280068,50.83973919011669,75.71698113207542,9.090909090909063,82.04235760891972,78.01024824133785,34.39568138912648,1000.0,92.41195431249552,71.76666666666667,70.20691770336374,96.63322781203613,91.30828307503702,70.06559895558128,238.2383829478211,73.43665952941375,27.9,1.0,94.98751105034415,1.0,1.425388930395433,0.569,1.0,36.81794871794871,16.0,2538.1509633297383,1.0,423.45,160.0,89.0,439.5971608120951,12,450.2234230316976,13,1.0,8.0,5.0,78.0,29.0,5.0,32.0,25.8,0.7387692307692307,8,8.01,5.12,2.38,1,3.623,1,40.0,100.0,2.749048077976359,25.32
4,Ohio State,Big Ten,2019,88.3154730513659,393.0,8.0,13.0,13.0,16.0,14.0,1.0,280.0,3.0,1.0,283.0,17.0,3684.0,406.0,271.0,16.0,48.0,81.0,770.0,26854.0,1.0,212.0,29.0,663.0,39.0,3735.0,101.0,183.0,7419.0,16.0,25.750000000000007,100.0,63.71537484116898,447.57,#ce1141,#505056,"['http://a.espncdn.com/i/teamlogos/ncaa/500/194.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/194.png']",0.8146666666666667,75.72500000000001,33.663,1.0,2.0,8.0,87.91,95.289,55.264,14.0,13.0,1.0,10.0,10.0,0.0,80.03332377519256,100.0,61.63062075864826,42.19482921294309,90.7511460132242,91.85878259529836,30.532050211155717,55.08309823031544,12.752199515963554,100.0,95.05885676617386,87.74131589701675,95.48350305498984,89.85318559556788,16.532060027285127,67.0,73.8,98.3796157772622,8.937770277396899,75.25,73.09318826868497,100.0,86.59375000000003,5.445544554455438,95.05885676617386,80.03332377519256,61.63062075864826,985.2692343387472,87.74131589701675,39.285714285714285,90.7511460132242,100.0,100.0,42.19482921294309,235.9669980757327,79.10165329333468,26.8,1.0,178.49466105035455,1.0,0.5441786736516865,0.7815122741722239,13.0,30.757403651115617,44.0,2306.276782537665,8.0,392.43,294.6,13.0,539.7179657152609,2,414.303502883524,19,2.0,8.0,1.0,17.0,70.0,12.0,93.0,25.0,0.7696428571428572,9,7.53,4.75,2.27,2,3.691,2,66.0,135.0,2.7385516484505725,25.22
5,Clemson,ACC,2018,54.41463414634147,332.0,10.0,18.0,9.0,11.0,15.0,2.0,328.0,8.0,1.0,454.0,20.0,4185.0,508.0,328.0,12.0,37.0,66.0,610.0,24158.0,34.0,302.0,43.0,568.0,49.0,3722.0,86.0,190.0,7907.0,17.0,41.61538461538461,59.282539682539664,46.98984509466437,402.63,#f56600,#522d80,"['http://a.espncdn.com/i/teamlogos/ncaa/500/228.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/228.png']",0.3316666666666666,61.895333333333326,32.655,1.0,1.0,22.0,92.317,81.562,33.745,15.0,15.0,0.0,9.0,9.0,0.0,76.9547133201232,100.0,64.90839073353098,66.26660470160732,73.97816410978139,80.32804232804233,14.93032082036818,53.77076411960133,17.827266952559654,99.78107079789788,83.48157958102577,100.0,78.78575934106242,49.734177215189874,19.39483870967743,70.0,73.0,87.17191887786,5.855875831485587,59.38461538461539,52.64656985478217,59.282539682539664,50.5,5.887850467289724,83.48157958102577,76.9547133201232,64.90839073353098,883.381080707818,100.0,63.88035450516987,73.97816410978139,99.78107079789788,100.0,66.26660470160732,239.48166255611005,80.31482394382347,30.7,3.0,107.91897879657368,1.0,1.927516866522173,0.6905287121513077,5.0,32.723255813953486,43.0,1559.464298718684,37.0,497.37,254.2,2.0,444.31538810806177,7,457.0405452813436,17,7.0,8.0,1.0,18.0,36.0,23.0,45.0,29.6,0.8284285714285715,25,8.59,5.1,2.43,2,3.891,2,50.0,127.0,2.737884327390101,25.22
6,Michigan,Big Ten,2023,75.90519608351033,297.0,17.0,22.0,3.0,9.0,15.0,4.0,419.0,5.0,1.0,251.0,18.0,3205.0,361.0,260.0,18.0,24.0,45.0,412.0,29002.0,1.0,316.0,31.0,563.0,40.0,2536.0,74.0,173.0,5741.0,8.0,1.0,62.09531502423265,91.93392141138736,483.37,#00274c,#ffcb05,"['http://a.espncdn.com/i/teamlogos/ncaa/500/130.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/130.png']",0.125,62.455000000000005,27.625,1.0,2.0,33.0,91.352,88.226,54.858,15.0,15.0,0.0,10.0,10.0,0.0,62.59323432837607,91.57293818900126,34.504598019637484,70.49531344547614,65.1397767125858,69.12525354969574,22.85054498828986,68.75876577840114,37.54201173718553,98.60435558256596,85.71334651000889,92.18767159684704,69.48691553420032,74.03278688524591,1.0,67.4,75.6,80.97203904884906,7.8095632803191215,100.0,100.0,62.09531502423265,73.4166666666666,10.0,85.71334651000889,62.59323432837607,34.504598019637484,827.0185368077186,92.18767159684704,88.1358189081225,65.1397767125858,98.60435558256596,91.57293818900128,70.49531344547617,243.8456927750006,70.4850360462738,32.3,1.0,119.81376452084588,2.0,1.5595915912225435,0.4981750488813889,1.0,32.33799283154121,37.0,2491.85624513674,4.0,416.63,185.2,47.0,413.95954099383977,19,460.1610563294771,7,14.0,16.0,6.0,99.0,15.0,1.0,5.0,28.9,0.8147333333333333,19,8.58,5.34,2.85,1,3.69,1,38.0,84.0,2.7166774856281517,25.02
7,Alabama,SEC,2019,100.0,318.0,13.0,19.0,4.0,17.0,13.0,2.0,245.0,6.0,25.75,637.0,31.0,4449.0,406.0,287.0,17.0,49.0,95.0,855.0,23390.0,100.0,531.0,24.0,436.0,27.0,2191.0,80.0,153.0,6640.0,10.0,5.950000000000003,90.13402061855672,73.33163913595934,389.83,#9e1632,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/333.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png']",0.5976666666666667,85.222,29.395,4.0,7.0,40.0,80.283,94.429,42.463,13.0,11.0,2.0,8.0,6.0,2.0,88.11456607290803,69.46196147170525,68.97627719723434,72.80342531634625,97.33118659145596,76.09665115386463,51.58096177009863,41.162054130957614,71.65894312665993,98.62928987295544,98.03151229233056,84.76113454867246,67.6552953156823,87.79639889196679,32.06412005457025,67.3,72.2,100.0,10.0,95.05,43.04872280037844,90.13402061855672,83.50000000000006,2.2772277227722952,98.03151229233056,88.11456607290803,68.97627719723434,1000.0,84.76113454867246,27.14285714285714,97.33118659145596,98.62928987295544,69.46196147170525,72.80342531634625,233.996356566708,82.55278442043421,26.1,3.0,177.9191408627015,2.0,1.695161549801899,0.8549999999999999,27.0,47.5733870967742,1.0,2397.959911981677,5.0,390.17,245.8,43.0,567.927553969859,1,470.5409285218672,2,1.0,4.0,33.0,10.0,19.0,4.0,112.0,24.8,0.7985833333333333,18,4.97,2.55,0.52,9,1.536,7,37.0,101.0,2.716643235262968,25.02
8,Alabama,SEC,2016,99.29896662713875,315.0,10.0,17.0,10.0,11.0,15.0,6.0,398.0,9.0,1.0,547.0,28.0,3154.0,417.0,265.0,16.0,26.0,85.0,660.0,27839.0,100.0,528.0,36.0,639.0,33.0,3675.0,91.0,209.0,6829.0,19.0,31.25,59.36844077961018,60.577497726386895,463.98,#9e1632,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/333.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png']",0.3736666666666666,39.514,31.19,1.0,1.0,1.0,97.375,70.761,56.234,15.0,14.0,1.0,9.0,9.0,0.0,70.74590343511744,95.25188589020244,41.6093149791821,58.39629003054517,68.83959082973553,72.10959425146746,48.49096699771104,70.13028571428572,23.78928334500424,100.0,64.5628313627106,99.99999999999996,78.81689384895735,75.95714285714286,31.990384615384613,66.8,70.3,100.0,9.93626969337625,69.75,87.81831290555158,59.36844077961018,77.07368421052628,3.999999999999986,64.5628313627106,70.74590343511744,41.6093149791821,1000.0,100.0,56.407407407407405,68.83959082973553,100.0,95.25188589020244,58.39629003054517,217.64555853359624,72.47383086079712,24.5,1.0,112.35166164540396,1.0,1.4334123527896705,0.66,4.0,37.70238095238095,13.0,1836.16636232384,25.0,436.02,259.20000000000005,4.0,442.315344713067,13,479.5581295954222,2,1.0,20.0,2.0,74.0,64.0,16.0,55.0,28.9,0.7181428571428572,2,9.31,6.26,3.0,1,4.56,1,54.0,118.0,2.70558488269509,24.92
9,Ohio State,Big Ten,2024,72.38354071163502,331.0,20.0,28.0,4.0,9.0,16.0,1.0,148.0,10.0,1.0,153.0,14.0,4208.0,455.0,325.0,10.0,37.0,72.0,653.0,29085.0,50.5,237.0,25.0,532.0,34.0,2665.0,81.0,186.0,6873.0,14.0,42.04878048780488,67.83905869624019,68.63734543747066,484.75,#ce1141,#505056,"['http://a.espncdn.com/i/teamlogos/ncaa/500/194.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/194.png']",0.2186666666666666,83.15433333333333,24.823,3.0,6.0,27.0,83.601,80.443,49.523,16.0,14.0,2.0,10.0,8.0,2.0,88.90500674897442,94.46435263400396,65.51219401001435,77.40095169120457,93.37089243372095,66.84009691096304,39.135997304786805,50.35652173913044,61.66137313033697,100.0,81.45997890542598,100.0,82.52941176470588,27.67607003891051,7.546558704453474,71.5,74.6,95.86726532716013,7.489412791966819,58.95121951219512,92.58901237156638,67.83905869624019,25.57931034482756,8.019801980198025,81.45997890542598,88.90500674897442,65.51219401001435,962.4296847923648,100.0,58.26728723404256,93.37089243372095,100.0,94.46435263400396,77.40095169120457,243.69506621175532,86.60889958631971,25.1,1.0,99.57984938395786,1.0,3.577345116460541,0.6784911254486905,4.0,23.508571428571425,103.0,2081.434370711815,12.0,475.25,246.6,4.0,462.90023635279607,4,491.4297578991295,2,3.0,6.0,5.0,24.0,24.0,41.0,66.0,24.0,0.7174375,6,8.43,5.51,2.55,1,4.045,1,53.0,113.0,2.6580916821446414,24.48
