,team,conference,avg_talent,season,sp_conf_rating,firstDowns,fourthDownConversions,fourthDowns,fumblesLost,fumblesRecovered,games,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,netPassingYards,passAttempts,passCompletions,passesIntercepted,passingTDs,penalties,penaltyYards,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,rushingAttempts,rushingTDs,rushingYards,sacks,tacklesForLoss,thirdDownConversions,thirdDowns,totalYards,turnovers,total_turnovers,thirdDownConversionRate,fourthDownConversionRate,possessionTimeMinutes,color,alt_color,logo,qb_average_ppa,qb_total_ppa,fpi,fpi_rank,fpi_sor,fpi_sos,def_eff,off_eff,special_eff,games_played,wins,losses,conference_games,conference_wins,conference_losses,Offense_success_rate,Defense_success_rate,Offense_explosiveness,Defense_explosiveness,Offense_ppa,Offense_power_success,Offense_stuff_rate,Defense_power_success,Defense_stuff_rate,Defense_ppa,Offense_points_per_opportunity,Defense_points_per_opportunity,Defense_havoc_total,Offense_field_position_average_predicted_points,Defense_field_position_average_predicted_points,Offense_field_position_average_start,Defense_field_position_average_start,sp_conf_scaled,total_turnovers_scaled,possession_scaled,third_down_scaled,offense_avg_field_position_scaled,defense_avg_field_position_scaled,offense_ppo_scaled,offense_success_scaled,offense_explosive,talent_scaled,defense_ppo_scaled,penalties_scaled,offense_ppa_scaled,defense_ppa_scaled,defense_success_scaled,defense_explosive,adjusted_metric,average_metric,in_house_pr,ranking,power_ranking,calculated_rank,combined_rank,PBR,PBR_rank,STM,STM_rank,DCE,DCE_rank,DefensivePossessionTime,DDE,DDE_rank,offensive_total,offensive_rank,defensive_total,defensive_rank,talent_scaled_rank,offense_success_rank,defense_success_rank,offense_explosive_rank,defense_explosive_rank,total_turnovers_rank,penalties_rank,power_rating,avg_expected_wins,SOS,wins_above_average,wins_above_good,wins_above_elite,SOR,most_deserving_wins,most_deserving
0,Alabama,SEC,100.00000000000001,2016,99.29896662713875,315.0,10.0,17.0,10.0,11.0,15.0,6.0,398.0,9.0,1.0,547.0,28.0,3154.0,417.0,265.0,16.0,26.0,85.0,660.0,27839.0,100.0,528.0,36.0,639.0,33.0,3675.0,54.0,118.0,91.0,209.0,6829.0,19.0,31.25,59.36844077961018,60.577497726386895,463.98,#9e1632,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/333.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png']",0.37366666666666665,39.514,31.19,1.0,1.0,1.0,97.375,70.761,56.234,15.0,14.0,1.0,9.0,9.0,0.0,70.74590343511744,95.25188589020243,41.6093149791821,58.396290030545174,68.83959082973553,72.10959425146746,48.49096699771104,70.13028571428572,23.789283345004236,100.0,64.5628313627106,99.99999999999997,78.81689384895735,75.95714285714286,31.990384615384613,66.8,70.3,9.93626969337625,69.75,87.81831290555158,59.36844077961018,77.07368421052628,3.999999999999986,64.5628313627106,70.74590343511744,41.6093149791821,1000.0,100.0,56.407407407407405,68.83959082973553,100.0,95.25188589020243,58.39629003054517,217.64555853359622,72.47383086079712,24.5,1.0,112.35166164540396,1.0,1.4334123527896705,0.66,4.0,37.70238095238095,13.0,1836.1663623238398,25.0,436.02,259.20000000000005,4.0,442.315344713067,13,479.5581295954222,2,1.0,20.0,2.0,74.0,64.0,16.0,55.0,28.9,0.7181428571428572,2,9.31,6.26,3.0,1,4.56,1
1,Michigan,Big Ten,82.15077399809097,2016,82.54795866508556,284.0,13.0,20.0,5.0,6.0,13.0,3.0,147.0,7.0,1.0,486.0,27.0,2756.0,370.0,228.0,13.0,20.0,63.0,593.0,25778.0,50.5,357.0,26.0,574.0,41.0,2768.0,46.0,119.0,79.0,183.0,5524.0,12.0,34.0,57.99550224887554,68.52630895153956,429.63,#00274c,#ffcb05,"['http://a.espncdn.com/i/teamlogos/ncaa/500/130.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/130.png']",0.23049999999999998,57.548,26.98,3.0,12.0,53.0,87.383,73.722,74.828,13.0,10.0,3.0,9.0,7.0,2.0,64.26353258707405,100.0,33.613763901758176,46.61274895550653,57.569428171483224,58.78774016468435,46.90942990582769,53.75900621118015,1.0,85.96323456700675,84.26691207251883,92.61379310344826,99.99999999999999,97.31285714285713,6.500000000000014,65.2,73.3,8.41345078773505,67.0,71.47296322999281,57.99550224887554,93.74736842105254,8.999999999999986,84.26691207251883,64.26353258707405,33.613763901758176,837.7343090735542,92.61379310344827,65.50617283950618,57.569428171483224,85.96323456700675,100.0,46.61274895550654,221.8953647351972,64.67045136380479,26.2,6.0,106.57234717938256,2.0,6.638790327210097,0.70786166159984,6.0,39.83076923076922,9.0,1983.5296630580083,17.0,350.37,209.0,33.0,442.7236639462035,12,386.4487828371417,19,8.0,28.0,1.0,99.0,96.0,21.0,33.0,26.0,0.8446153846153847,44,4.18,1.27,-0.98,13,-0.134,14
2,LSU,SEC,89.21692005478167,2016,99.29896662713875,235.0,1.0,8.0,10.0,7.0,12.0,1.0,80.0,7.0,1.0,459.0,24.0,2281.0,298.0,174.0,9.0,12.0,58.0,492.0,22416.0,25.75,186.0,24.0,459.0,30.0,2796.0,36.0,78.0,66.0,152.0,5077.0,17.0,56.0,58.92316341829084,1.0,373.6,#461d7c,#fdd023,"['http://a.espncdn.com/i/teamlogos/ncaa/500/99.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/99.png']",0.1245,45.852,22.875,6.0,16.0,3.0,86.67,73.199,32.407,12.0,8.0,4.0,8.0,5.0,3.0,59.04641244314408,76.74964772193519,61.12363919312173,76.21716273036387,67.23534319187226,32.63380603842637,41.414877662111735,84.2985422740525,69.82621252222322,75.90851312348839,55.393123473241076,89.36410014170995,61.62381496807875,29.002857142857152,18.980769230769226,71.5,72.6,9.93626969337625,45.0,44.811247296323046,58.92316341829084,28.094736842105206,7.833333333333314,55.393123473241076,59.04641244314408,61.12363919312173,901.972000498015,89.36410014170997,79.22222222222223,67.23534319187226,75.90851312348839,76.74964772193519,76.2171627303639,201.39619012000549,69.3801197339876,18.2,5.0,106.03985804076304,3.0,7.820956360457662,0.5454714777491397,1.0,27.974999999999994,70.0,640.3649675162418,125.0,346.4,174.4,76.0,345.85005914477443,57,491.34494774454237,1,4.0,43.0,10.0,27.0,13.0,69.0,12.0,25.8,0.8260000000000001,24,4.12,1.45,-1.14,10,0.139,11
3,Washington,Big Ten,59.08702117946521,2016,82.54795866508556,314.0,5.0,10.0,6.0,15.0,14.0,2.0,222.0,9.0,67.0,650.0,31.0,3623.0,408.0,254.0,19.0,47.0,72.0,628.0,26064.0,50.5,292.0,27.0,529.0,24.0,2774.0,40.0,91.0,75.0,170.0,6397.0,15.0,1.0,61.52061469265365,49.23307782252826,434.4,#33006f,#e8d3a2,"['http://a.espncdn.com/i/teamlogos/ncaa/500/264.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/264.png']",0.49250000000000005,98.011,25.212,5.0,5.0,52.0,85.356,81.619,56.638,14.0,12.0,2.0,10.0,9.0,1.0,88.80289096090141,74.32585204177047,44.399798721846366,57.53285351033065,86.72535278366453,59.931081547253,26.126494714476408,77.37142857142857,58.499981311485215,76.51054364880461,84.92606427513365,61.92991612301957,51.98915552667698,51.34857142857143,28.288461538461547,69.4,70.5,8.41345078773505,100.0,73.74275414563809,61.52061469265365,49.97894736842093,4.333333333333329,84.92606427513365,88.80289096090141,44.399798721846366,628.0638289042291,61.92991612301959,60.75308641975309,86.72535278366453,76.51054364880461,74.32585204177049,57.53285351033065,238.0899731829885,71.382881944553,32.5,3.0,98.1651316589815,5.0,5.60802625138763,0.9998983719467804,26.0,32.88255675029868,34.0,1630.8962748056733,50.0,405.6,244.6,9.0,442.26025443184676,14,434.45903674530064,5,27.0,4.0,13.0,69.0,68.0,1.0,44.0,22.0,0.7660769230769231,6,,,,113,,113
4,USC,Big Ten,93.08450343768592,2016,82.54795866508556,322.0,7.0,14.0,9.0,6.0,13.0,1.0,131.0,11.0,67.0,929.0,41.0,3593.0,463.0,304.0,14.0,33.0,99.0,873.0,24885.0,50.5,414.0,29.0,506.0,18.0,2609.0,26.0,71.0,85.0,179.0,6202.0,20.0,53.25,74.0254872563718,49.23307782252826,414.75,#9e2237,#ffcc00,"['http://a.espncdn.com/i/teamlogos/ncaa/500/30.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/30.png']",0.30700000000000005,105.1325,20.051,10.0,8.0,7.0,68.479,78.087,64.166,13.0,10.0,3.0,9.0,7.0,2.0,74.35943225773244,66.27143712170363,34.95931425523784,32.90466418410466,65.60997040905163,42.088514619280176,49.54762285050734,47.48463611859842,72.03157544713606,47.29200770851559,59.081326907103616,50.72241379310343,52.4144179076912,62.8042857142857,14.326923076923094,68.3,72.2,8.41345078773505,47.75,64.39235760634466,74.0254872563718,61.44210526315786,7.166666666666657,59.081326907103616,74.35943225773244,34.95931425523784,937.1318494335083,50.722413793103456,27.48148148148148,65.60997040905163,47.29200770851559,66.27143712170363,32.90466418410466,169.2777562759941,53.566137656057634,5.6,8.0,95.50731966908802,6.0,12.775088015335982,0.9315658202500794,18.0,40.83439865433138,6.0,1756.8202751681292,31.0,365.25,164.2,87.0,388.4504670131987,33,331.0336574500849,63,2.0,13.0,24.0,94.0,117.0,63.0,116.0,20.7,0.7949230769230768,18,5.2,2.17,-0.29,7,0.755,7
5,Oklahoma,SEC,71.8436095010168,2016,99.29896662713875,330.0,7.0,13.0,9.0,8.0,13.0,2.0,157.0,8.0,34.0,815.0,36.0,4134.0,384.0,271.0,9.0,43.0,66.0,679.0,25170.0,25.75,122.0,12.0,573.0,30.0,3078.0,25.0,68.0,87.0,169.0,7212.0,17.0,53.25,88.83095952023987,54.18500714564115,419.5,#a32036,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/201.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/201.png']",0.5685,146.3875,22.541,7.0,4.0,10.0,59.106,92.146,41.083,13.0,11.0,2.0,9.0,9.0,0.0,87.38387168161333,49.9305812081715,71.79982917148288,43.622458458279084,100.0,52.809698078682516,38.606930488606665,36.565807962529306,71.15538332012679,34.686844778818674,100.0,46.32548359966357,27.017440492060246,29.56857142857143,25.115384615384613,71.2,70.9,9.93626969337625,47.75,66.65263157894739,88.83095952023987,31.221052631578857,5.0,100.0,87.38387168161333,71.79982917148288,744.0328136456072,46.32548359966359,53.82716049382716,100.0,34.68684477881868,49.9305812081715,43.62245845827908,205.76416237321402,64.57059754972757,19.9,4.0,94.7152781186149,7.0,7.695333200686608,0.9125941592186507,16.0,32.50555555555556,39.0,2004.2789688844525,15.0,360.5,160.8,91.0,480.1689008489568,5,307.4019439429735,83,17.0,5.0,45.0,12.0,103.0,63.0,60.0,20.3,0.838923076923077,37,5.56,2.56,0.12,4,1.171,4
6,Clemson,ACC,78.70363965858316,2016,100.0,403.0,15.0,26.0,11.0,7.0,15.0,2.0,309.0,17.0,1.0,723.0,35.0,5009.0,629.0,422.0,20.0,45.0,95.0,870.0,27541.0,1.0,278.0,42.0,591.0,30.0,2546.0,49.0,130.0,117.0,233.0,7555.0,28.0,56.0,84.11844077961018,59.12407431466805,459.02,#f56600,#522d80,"['http://a.espncdn.com/i/teamlogos/ncaa/500/228.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/228.png']",0.3666666666666667,81.85566666666666,27.625,2.0,2.0,9.0,82.877,81.785,47.004,15.0,14.0,1.0,9.0,8.0,1.0,81.74904816443492,79.172507328211,25.51134500595606,58.74173053155931,62.49968560295089,40.76405522374253,37.9195495980527,60.400000000000006,34.59121186608559,77.47338415812771,71.24714581508766,72.91050521251,84.40605310207813,83.7357142857143,46.58653846153848,66.5,68.3,10.0,45.0,85.45811103100218,84.11844077961018,80.19999999999995,0.6666666666666572,71.24714581508766,81.74904816443492,25.51134500595606,806.3967241689377,72.91050521251003,27.888888888888886,62.49968560295089,77.47338415812771,79.17250732821101,58.74173053155933,191.52088549383004,64.19128346520665,14.3,2.0,92.3923484586548,8.0,2.866824705579341,1.0788734303163385,34.0,29.076190476190476,64.0,2054.267227422796,11.0,440.98,266.4,1.0,403.4265436959391,28,429.875877558032,6,11.0,7.0,7.0,107.0,62.0,69.0,115.0,19.2,0.7665714285714286,7,8.09,4.97,2.2,2,3.577,2
7,Ohio State,Big Ten,89.40112330017848,2016,82.54795866508556,313.0,13.0,21.0,5.0,6.0,13.0,7.0,443.0,7.0,1.0,682.0,28.0,2781.0,409.0,255.0,21.0,26.0,82.0,658.0,25886.0,1.0,131.0,27.0,583.0,33.0,3188.0,28.0,89.0,93.0,200.0,5969.0,12.0,12.0,70.35194902548724,64.53904118487722,431.43,#ce1141,#505056,"['http://a.espncdn.com/i/teamlogos/ncaa/500/194.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/194.png']",0.38,49.120000000000005,26.245,4.0,3.0,20.0,88.476,70.663,48.636,13.0,11.0,2.0,9.0,8.0,1.0,79.06529626390446,81.39320912035944,12.661854080459989,68.35609262817403,63.58861823442308,100.0,12.01122849725843,100.0,8.46945324881139,88.4465345307861,73.1287018059623,76.18244514106581,62.568191799633084,61.53142857142856,5.97115384615384,68.6,73.4,8.41345078773505,89.0,72.32948810382123,70.35194902548724,58.31578947368421,9.166666666666671,73.1287018059623,79.06529626390446,12.661854080459989,903.646575456168,76.18244514106584,56.67901234567901,63.58861823442308,88.44653453078611,81.39320912035944,68.35609262817403,220.24355585191896,65.58526747635118,25.5,10.0,92.2366075817061,4.0,10.410755948840855,0.728160785280281,7.0,34.00899470899472,28.0,2027.4872370293397,13.0,348.57,162.20000000000002,89.0,401.98712745343687,30,428.81888851535064,7,3.0,9.0,5.0,123.0,28.0,3.0,54.0,19.1,0.7947692307692308,17,5.88,3.09,0.69,3,1.7,3
8,Florida State,ACC,88.49585679306101,2016,100.0,321.0,3.0,5.0,12.0,8.0,13.0,0.0,37.0,8.0,1.0,745.0,33.0,3433.0,421.0,244.0,15.0,23.0,100.0,948.0,25680.0,25.75,163.0,23.0,518.0,33.0,2630.0,49.0,92.0,74.0,170.0,6063.0,20.0,45.0,59.33133433283356,62.095231908535794,428.0,#782f40,#ceb888,"['http://a.espncdn.com/i/teamlogos/ncaa/500/52.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/52.png']",0.04533333333333334,48.77666666666667,22.195,8.0,6.0,2.0,75.579,80.762,32.367,13.0,10.0,3.0,8.0,5.0,3.0,73.29852751136156,66.84756026206361,50.37682109017118,39.438232823204885,71.84538280997539,76.456175663312,53.33079821335542,50.327526132404216,45.716665952799076,53.99517188220284,76.62722998647516,51.78288325716659,55.72087440073868,47.388571428571424,42.144230769230774,69.8,68.3,10.0,56.0,70.69733237202598,59.33133433283356,45.810526315789446,0.6666666666666572,76.62722998647516,73.29852751136156,50.37682109017118,895.4168799369181,51.78288325716661,17.29629629629629,71.84538280997539,53.99517188220284,66.84756026206361,39.438232823204885,180.68354931585864,59.30028272982991,10.1,7.0,90.0735349954232,9.0,10.687781066037003,1.0587247361997312,31.0,28.162714097496703,68.0,1868.1410584221283,22.0,352.0,213.6,26.0,449.3235067032221,10,350.252271079072,44,5.0,15.0,22.0,56.0,110.0,39.0,125.0,18.0,0.7719999999999999,10,5.09,2.34,-0.21,6,1.014,6
9,Auburn,SEC,83.99075214077222,2016,99.29896662713875,286.0,10.0,21.0,8.0,6.0,13.0,0.0,83.0,6.0,1.0,438.0,23.0,2203.0,289.0,178.0,11.0,12.0,61.0,475.0,22761.0,1.0,171.0,16.0,645.0,33.0,3527.0,25.0,83.0,76.0,183.0,5730.0,14.0,45.0,51.910044977511234,46.171885150058465,379.35,#002b5c,#f26522,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2.png']",0.216,36.476,19.319,11.0,23.0,16.0,73.263,63.206,62.386,13.0,8.0,5.0,8.0,5.0,3.0,65.1165600755921,57.91686237670265,23.29745480063903,65.13758917975719,59.14314716086889,54.373574067425636,30.745545722382786,80.78706199460919,36.54625594294771,59.46753288117843,65.63205159841175,70.60752351097177,61.641863732350075,31.972857142857123,7.028846153846146,71.1,73.0,9.93626969337625,56.0,47.54736842105265,51.910044977511234,32.263157894736835,8.499999999999986,65.63205159841175,65.1165600755921,23.29745480063903,854.4613830979292,70.60752351097179,81.53086419753086,59.14314716086889,59.467532881178435,57.916862376702674,65.13758917975721,189.65493227547574,55.01319107912306,13.6,21.0,88.50519195405872,10.0,23.562713443489997,0.5559057546613088,2.0,31.63097826086957,44.0,1471.7189220070509,68.0,400.65,149.8,105.0,330.2811905681773,67,377.49167204001304,22,7.0,27.0,34.0,110.0,41.0,39.0,9.0,17.3,0.7098333333333334,1,3.46,0.96,-1.57,16,-0.404,18
