 


  
  

NCAA Baseball
Division IBatting Average
Through Games 06/22/2002


"Rank","Name","G","W-L","AB","H","BA"
"1","Southern U.","55","45-10","1807","682","0.377"
"2","Florida","65","46-19","2384","825","0.346"
"3","New Mexico","57","22-35","2160","746","0.345"
"4","Michigan St.","57","38-19","1993","685","0.344"
"5","Delaware St.","59","35-24","1954","668","0.342"
"6","Morehead St.","56","29-27","1860","630","0.339"
"7","NC State","59","33-26","2083","705","0.338"
"8","Liberty","59","33-24-2","2081","702","0.337"
"9","FIU","61","41-20","2208","744","0.337"
"10","Bowling Green","54","32-22","1874","627","0.335"
"11","Western Caro.","56","33-23","2007","671","0.334"
"12","Indiana","55","35-20","1823","602","0.330"
"13","Georgia Tech","68","52-16","2427","800","0.330"
"14","UIC","55","39-16","1866","613","0.329"
"15","Utah","59","33-26","2175","712","0.327"
"16","Col. of Charleston","58","36-22","2145","698","0.325"
"17","North Carolina","64","43-21","2315","752","0.325"
"18","Stetson","61","42-19","2032","659","0.324"
"19","San Diego St.","66","43-23","2322","753","0.324"
"20","Air Force","55","27-28","1897","615","0.324"
"21","Clemson","71","54-17","2535","821","0.324"
"22","Long Beach St.","60","39-21","2118","684","0.323"
"23","Central Conn. St.","57","34-23","1832","591","0.323"
"24","Columbia","47","22-25","1511","486","0.322"
"25","Notre Dame","68","50-18","2289","734","0.321"
"26","Ga. Southern","64","39-25","2286","733","0.321"
"27","BYU","63","31-31-1","2336","749","0.321"
"28","Wake Forest","61","47-13-1","2193","703","0.321"
"29","UConn","50","28-22","1707","547","0.320"
"30","Minnesota","58","32-26","1893","605","0.320"

NCAA Baseball
Division IEarned Run Average
Through Games 06/22/2002


"Rank","Name","G","W-L","IP","R","ER","ERA"
"1","Rice","66","52-14","596.1","238","185","2.79"
"2","Texas","72","57-15","645.1","239","203","2.83"
"3","Wichita St.","64","47-17","549.0","253","187","3.07"
"4","Marist","55","41-14","465.1","218","160","3.09"
"5","Houston","65","48-17","574.1","248","204","3.20"
"6","UIC","55","39-16","459.1","228","169","3.31"
"7","Oral Roberts","67","48-19","565.0","250","209","3.33"
"8","Coastal Carolina","63","44-19","547.1","272","207","3.40"
"9","LSU","66","44-22","589.2","309","225","3.43"
"10","The Citadel","57","31-26","492.1","259","193","3.53"
"11","Long Beach St.","60","39-21","539.0","269","212","3.54"
"12","Northwestern St.","60","43-17","531.1","242","209","3.54"
"13","Notre Dame","68","50-18","584.1","292","232","3.57"
"14","Alabama","66","51-15","588.1","283","235","3.60"
"15","Nebraska","68","47-21","600.2","296","243","3.64"
"16","East Carolina","64","41-18-1","566.0","298","229","3.64"
"17","James Madison","60","44-16","527.2","268","221","3.77"
"18","Louisiana","62","39-23","552.0","295","232","3.78"
"19","Richmond","66","53-13","555.0","284","234","3.79"
"20","UCF","63","41-22","514.0","282","218","3.82"
"21","Northeastern","51","29-22","408.1","228","175","3.86"
"22","San Jose St.","62","45-17","549.0","264","239","3.92"
"23","Lamar University","60","36-24","506.1","268","221","3.93"
"24","Cal St. Fullerton","59","37-22","542.2","287","237","3.93"
"25","UNCW","57","36-21","513.0","260","225","3.95"
"26","Florida St.","74","60-14","660.2","351","291","3.96"
"27","Rhode Island","52","24-28","412.1","275","182","3.97"
"28","Stanford","65","47-18","591.1","305","261","3.97"
"29","Rutgers","57","35-22","479.0","252","212","3.98"
"30","Texas A&M","59","35-24","508.1","281","227","4.02"

NCAA Baseball
Division IFielding Percentage
Through Games 06/22/2002


"Rank","Name","G","W-L","PO","A","E","PCT"
"1","South Carolina","75","57-18","2028","745","71","0.975"
"2","UNCW","57","36-21","1539","685","59","0.974"
"3","Northwestern St.","60","43-17","1594","758","64","0.974"
"4","San Jose St.","62","45-17","1647","651","64","0.973"
"5","Texas","72","57-15","1936","776","78","0.972"
"6","Rice","66","52-14","1789","700","72","0.972"
"7","Stanford","65","47-18","1774","735","74","0.971"
"8","Louisville","57","39-18","1489","579","62","0.971"
"9","Clemson","71","54-17","1907","826","82","0.971"
"10","South Alabama","61","42-19","1628","632","68","0.971"
"11","TCU","59","30-29","1513","629","66","0.970"
"12","Auburn","60","34-26","1576","627","68","0.970"
"13","San Diego St.","66","43-23","1734","670","75","0.970"
"14","Nebraska","68","47-21","1802","727","79","0.970"
"15","Southern Ill.","56","32-24","1422","596","64","0.969"
"16","Purdue","56","24-32","1334","576","62","0.969"
"17","Illinois","51","32-19","1237","614","61","0.968"
"18","Oral Roberts","67","48-19","1695","639","77","0.968"
"19","James Madison","60","44-16","1583","659","75","0.968"
"20","North Carolina","64","43-21","1716","645","79","0.968"
"21","Rutgers","57","35-22","1437","621","69","0.968"
"22","Stetson","61","42-19","1484","571","69","0.968"
"23","Western Ky.","58","38-20","1492","612","71","0.967"
"24","Arkansas","63","35-28","1695","669","80","0.967"
"25","VCU","65","38-27","1700","688","82","0.967"
"26","William & Mary","58","32-26","1542","606","74","0.967"
"27","California","56","29-27","1534","638","75","0.967"
"28","Arizona St.","58","37-21","1529","612","74","0.967"
"29","Cincinnati","56","26-29-1","1453","655","73","0.967"
"30","Fresno St.","59","32-27","1555","659","77","0.966"

NCAA Baseball
Division IScoring
Through Games 06/22/2002


"Rank","Name","G","W-L","R","PG"
"1","Southern U.","55","45-10","612","11.1"
"2","Florida","65","46-19","633","9.7"
"3","Delaware St.","59","35-24","555","9.4"
"4","New Mexico St.","62","37-25","582","9.4"
"5","Col. of Charleston","58","36-22","533","9.2"
"6","Morehead St.","56","29-27","500","8.9"
"7","FIU","61","41-20","542","8.9"
"8","Bowling Green","54","32-22","479","8.9"
"9","Oklahoma St.","58","37-21","513","8.8"
"10","Maryland","57","34-23","501","8.8"
"11","Michigan St.","57","38-19","500","8.8"
"12","New Mexico","57","22-35","493","8.6"
"13","Florida St.","74","60-14","638","8.6"
"14","NC State","59","33-26","506","8.6"
"15","James Madison","60","44-16","511","8.5"
"16","North Carolina","64","43-21","541","8.5"
"17","Liberty","59","33-24-2","492","8.3"
"18","Delaware","57","35-22","472","8.3"
"19","Wake Forest","61","47-13-1","505","8.3"
"20","Georgia Tech","68","52-16","560","8.2"
"21","Utah","59","33-26","483","8.2"
"22","Clemson","71","54-17","581","8.2"
"23","St. Bonaventure","43","30-13","348","8.1"
"24","Marist","55","41-14","443","8.1"
"25","Nebraska","68","47-21","543","8.0"
"26","Southern California","61","37-24","487","8.0"
"27","Ohio","51","26-25","407","8.0"
"28","UNLV","60","30-30","478","8.0"
"29","Maine","57","40-17","453","7.9"
"30","Wichita St.","64","47-17","505","7.9"

NCAA Baseball
Division IHome Runs Per Game
Through Games 06/22/2002


"Rank","Name","G","HR","PG"
"1","Morehead St.","56","127","2.27"
"2","Florida","65","111","1.71"
"3","North Carolina","64","108","1.69"
"4","Southern U.","55","92","1.67"
"5","Michigan St.","57","95","1.67"
"6","Eastern Ill.","51","84","1.65"
"7","Gonzaga","56","92","1.64"
"8","South Carolina","75","122","1.63"
"9","FIU","61","99","1.62"
"10","Eastern Mich.","58","93","1.60"
"11","Clemson","71","112","1.58"
"12","CSUN","58","90","1.55"
"13","New Mexico St.","62","95","1.53"
"14","Bowling Green","54","82","1.52"
