 


  
  

NCAA Baseball
Division IBatting Average
Through Games 06/25/2008


"Rank","Name","G","W-L","AB","H","BA"
"1","Florida St.","68","54-14","2450","869","0.355"
"2","Ga. Southern","58","33-25","2173","751","0.346"
"3","William & Mary","57","36-21","1976","678","0.343"
"4","Arizona St.","62","49-13","2133","729","0.342"
"5","West Virginia","56","35-21","1921","656","0.341"
"6","Indiana","61","31-30","2076","703","0.339"
"7","Illinois","56","31-25","1883","630","0.335"
"8","Sam Houston","62","37-25","2212","740","0.335"
"9","Le Moyne","54","33-21","1861","622","0.334"
"10","Col. of Charleston","59","39-20","2148","717","0.334"
"11","Charlotte","59","43-16","2163","720","0.333"
"12","Alcorn","45","29-16","1427","475","0.333"
"13","Oral Roberts","62","48-14","2163","713","0.330"
"14","Middle Tenn.","57","27-29-1","2145","706","0.329"
"15","Georgia St.","56","33-23","1903","626","0.329"
"16","ULM","58","34-24","2121","697","0.329"
"17","Southern U.","46","28-18","1517","495","0.326"
"18","Oklahoma St.","62","44-18","2187","713","0.326"
"19","Santa Clara","55","33-22","1976","642","0.325"
"20","Jackson St.","59","37-22","1918","623","0.325"
"21","North Carolina","68","54-14","2457","796","0.324"
"22","Coastal Carolina","64","50-14","2242","726","0.324"
"23","DBU","56","37-19","2025","655","0.323"
"24","Wright St.","53","30-23","1891","611","0.323"
"25","Utah","54","26-28","1919","619","0.323"
"26","Saint Mary's (CA)","53","26-26-1","1838","591","0.322"
"27","Dartmouth","42","25-17","1491","479","0.321"
"28","New Orleans","64","43-21","2314","743","0.321"
"29","Gardner-Webb","59","29-30","2162","694","0.321"
"30","UC Santa Barbara","56","35-21","1985","637","0.321"
"31","Fla. Atlantic","60","32-27-1","2163","694","0.321"
"32","Bowling Green","52","32-20","1903","610","0.321"
"33","Brown","44","20-24","1512","484","0.320"
"34","Miami (FL)","64","53-11","2222","711","0.320"
"35","Western Ky.","60","33-27","2173","695","0.320"
"36","Texas St.","57","30-27","2017","645","0.320"
"37","Canisius","54","41-13","1834","586","0.320"
"38","James Madison","58","39-19","2022","646","0.319"
"39","Elon","62","44-18","2138","682","0.319"
"40","Ohio St.","58","30-28","1875","597","0.318"
"41","Kentucky","63","44-19","2159","685","0.317"
"42","East Carolina","63","42-21","2216","702","0.317"
"43","UC Davis","59","35-24","2121","671","0.316"
"44","Iowa","55","22-33","1831","578","0.316"
"45","UTSA","58","39-19","2050","647","0.316"
"46","Michigan","60","46-14","2041","643","0.315"
"47","Towson","58","30-28","2065","650","0.315"
"48","App State","59","32-27","2128","669","0.314"
"49","Wichita St.","65","48-17","2233","701","0.314"
"50","Kent St.","57","36-21","2036","639","0.314"
"51","Louisville","62","41-21","2218","696","0.314"
"52","Texas A&M","65","46-19","2279","715","0.314"
"53","New Mexico","59","34-25","2118","664","0.314"
"54","Tennessee Tech","59","35-23-1","1986","622","0.313"
"55","Gonzaga","53","30-23","1898","594","0.313"
"56","UNCW","62","44-17-1","2157","675","0.313"
"57","Missouri St.","57","40-17","1998","624","0.312"
"58","Cincinnati","59","39-20","2089","652","0.312"
"59","Oklahoma","63","36-26-1","2217","691","0.312"
"60","UAB","60","26-34","2094","652","0.311"
"61","Sacramento St.","58","24-34","1983","617","0.311"
"62","George Mason","55","30-25","1986","617","0.311"
"63","Jacksonville St.","59","37-22","2006","623","0.311"
"64","Western Caro.","57","29-28","2038","631","0.310"
"65","Alabama","63","35-28","2245","695","0.310"
"66","Purdue","58","32-26","1858","575","0.309"
"67","Bucknell","56","30-24-2","1930","597","0.309"
"68","Nevada","60","34-26","2024","626","0.309"
"","South Alabama","58","32-26","2024","626","0.309"
"70","Akron","49","25-24","1759","544","0.309"
"71","Milwaukee","61","25-36","2173","672","0.309"
"72","UC Irvine","60","42-18","2015","623","0.309"
"73","Vanderbilt","63","41-22","2256","697","0.309"
"74","Georgia","71","45-25-1","2548","787","0.309"
"75","Notre Dame","55","33-21-1","1910","589","0.308"
"76","Mercer","57","24-33","2073","638","0.308"
"77","Georgia Tech","62","41-21","2148","661","0.308"
"78","Ohio","59","29-30","2161","665","0.308"
"79","Prairie View","51","25-26","1593","490","0.308"
"80","Monmouth","53","37-16","1843","566","0.307"
"81","UMBC","50","21-29","1729","530","0.307"
"82","UIC","57","35-22","1925","590","0.306"
"83","Rice","62","47-15","2154","660","0.306"
"84","LSU","69","49-19-1","2484","761","0.306"
"85","Stetson","59","26-33","2152","659","0.306"
"86","Texas","61","39-22","2079","636","0.306"
"87","UCF","58","31-27","2041","624","0.306"
"88","New Mexico St.","61","28-33","2167","662","0.305"
"89","UNLV","59","22-37","2119","647","0.305"
"90","Pepperdine","59","38-21","2032","620","0.305"
"91","FIU","56","20-36","1977","603","0.305"
"92","Samford","57","33-24","1855","565","0.305"
"93","Northwestern","49","21-28","1583","482","0.304"
"94","San Diego","61","44-17","2066","629","0.304"
"95","Western Mich.","53","29-23-1","1853","563","0.304"
"96","Florida","58","34-24","1995","606","0.304"
"97","UNC Greensboro","60","33-27","2111","641","0.304"
"98","Navy","58","32-25-1","2026","615","0.304"
"99","A&M-Corpus Christi","58","24-33-1","2034","617","0.303"
"100","BYU","58","22-36","2124","644","0.303"
"101","Cal St. Fullerton","63","41-22","2168","657","0.303"
"102","Manhattan","52","31-20-1","1790","542","0.303"
"103","California","57","33-21-2","1935","585","0.302"
"104","ETSU","56","18-38","2011","607","0.302"
"105","Radford","56","24-32","1932","583","0.302"
"106","Army West Point","50","25-25","1707","515","0.302"
"107","Washington St.","56","30-26","1986","599","0.302"
"108","St. John's (NY)","58","42-16","1987","599","0.301"
"109","Missouri","60","39-21","2027","611","0.301"
"110","TCU","63","44-19","2149","647","0.301"
"111","Liberty","62","35-26-1","2230","671","0.301"
"112","George Washington","55","26-29","1912","575","0.301"
"113","Auburn","56","28-28","1949","586","0.301"
"114","Arizona","61","42-19","2106","633","0.301"
"115","Houston","66","42-24","2289","688","0.301"
"116","Texas Southern","50","16-34","1561","469","0.300"
"117","Furman","57","33-24","1968","591","0.300"
"118","Marshall","61","30-30-1","2080","624","0.300"
"119","Siena","56","30-26","1847","554","0.300"
"120","Southern Utah","59","31-28","2041","612","0.300"
"121","UTRGV","56","21-35","1963","588","0.300"
"122","Minnesota","55","20-35","1837","550","0.299"
"123","Duke","56","37-18-1","1961","587","0.299"
"124","Centenary (LA)","56","30-26","1771","530","0.299"
"125","Fresno St.","78","47-31","2668","798","0.299"
"126","South Carolina","63","40-23","2190","655","0.299"
"127","San Francisco","57","31-26","2023","605","0.299"
"128","Stanford","67","41-24-2","2392","715","0.299"
"129","UNI","54","30-24","1857","555","0.299"
"130","NC State","64","42-22","2189","654","0.299"
"131","Troy","58","32-26","2012","601","0.299"
"132","Southeastern La.","59","32-27","2009","600","0.299"
"133","Cal Poly","56","24-32","1952","581","0.298"
"134","Charleston So.","53","18-35","1846","549","0.297"
"135","South Fla.","58","31-27","2009","597","0.297"
"136","Old Dominion","52","25-27","1824","542","0.297"
"137","Eastern Mich.","59","25-34","2074","615","0.297"
"138","Bethune-Cookman","58","36-22","1878","556","0.296"
"139","Louisiana Tech","54","23-31","1848","547","0.296"
"140","Winthrop","60","26-34","2044","604","0.295"
"141","Lipscomb","63","33-30","2220","656","0.295"
"142","Maine","49","20-28-1","1622","479","0.295"
