,Rank,Team,Conference,Record,Road,Neutral,Home,Non Div I
0,1,Tennessee,SEC,60-13,9-6,11-3,40-4,0-0
1,2,Texas A&M,SEC,53-15,9-8,7-4,37-3,0-0
2,3,Kentucky,SEC,46-16,16-5,4-5,26-6,0-0
3,4,North Carolina,ACC,48-16,9-8,2-5,37-3,0-0
4,5,Florida St.,ACC,49-17,8-10,9-3,32-4,0-0
5,6,Arkansas,SEC,44-16,7-8,3-3,34-5,0-0
6,7,Georgia,SEC,43-17,8-9,2-1,33-7,0-0
7,8,Clemson,ACC,44-16,10-7,4-1,30-8,0-0
8,9,NC State,ACC,38-23,11-13,1-3,26-7,0-0
9,10,Virginia,ACC,46-17,11-5,4-5,31-7,0-0
10,11,Florida,SEC,36-30,13-13,4-4,19-13,0-0
11,12,Indiana St.,MVC,44-15,17-10,11-3,16-2,0-0
12,13,Oregon St.,Pac-12,45-16,9-12,9-2,27-2,0-0
13,14,Wake Forest,ACC,38-22,10-12,3-3,25-7,0-0
14,15,LSU,SEC,43-23,7-13,9-1,27-9,0-0
15,16,Oklahoma St.,Big 12,42-19,12-10,7-2,23-7,0-0
16,17,UC Santa Barbara,Big West,44-14,16-12,1-0,27-2,0-0
17,18,Oklahoma,Big 12,40-21,14-5,5-4,21-12,0-0
18,19,Mississippi St.,SEC,40-23,8-11,7-3,25-9,0-0
19,20,Duke,ACC,40-20,11-9,7-1,22-10,0-0
20,21,San Diego,WCC,41-15,18-10,5-1,18-4,0-0
21,22,East Carolina,AAC,46-17,13-9,4-2,29-6,0-0
22,23,DBU,CUSA,45-15,15-7,5-2,25-6,0-0
23,24,UC Irvine,Big West,45-14,20-7,5-0,20-7,0-0
24,25,South Carolina,SEC,37-25,9-10,6-4,22-11,0-0
25,26,Vanderbilt,SEC,38-23,4-12,7-3,27-8,0-0
26,27,Southern Miss.,Sun Belt,43-20,12-10,6-4,25-6,0-0
27,28,Alabama,SEC,33-24,8-12,3-4,22-8,0-0
28,29,Nebraska,Big Ten,40-22,15-9,7-5,18-8,0-0
29,30,West Virginia,Big 12,36-24,15-16,4-2,17-6,0-0
30,31,UCF,Big 12,37-21,12-11,4-1,21-9,0-0
31,32,UConn,Big East,35-26,17-18,2-3,16-5,0-0
32,33,Louisiana Tech,CUSA,45-19,12-10,3-2,30-7,0-0
33,34,Coastal Carolina,Sun Belt,36-25,9-14,3-2,24-9,0-0
34,35,Arizona,Pac-12,36-23,13-11,4-3,19-9,0-0
35,36,Ole Miss,SEC,27-29,7-15,1-2,19-12,0-0
36,37,Kansas St.,Big 12,35-26,10-16,5-3,20-7,0-0
37,38,UNCW,CAA,40-21,13-11,2-1,25-9,0-0
38,39,Northeastern,CAA,38-17,19-12,2-2,17-3,0-0
39,40,Oregon,Pac-12,40-20,14-9,3-3,23-8,0-0
40,41,Louisiana,Sun Belt,42-20,14-6,2-6,26-8,0-0
41,42,TCU,Big 12,33-21,7-11,5-2,21-8,0-0
42,43,Illinois,Big Ten,35-21,8-11,7-7,20-3,0-0
43,44,Xavier,Big East,30-27,16-15,1-3,13-9,0-0
44,45,Georgia Tech,ACC,33-25,9-12,2-4,22-9,0-0
45,46,James Madison,Sun Belt,36-25,9-16,4-3,23-6,0-0
46,47,Col. of Charleston,CAA,41-14,15-5,2-0,24-9,0-0
47,48,Maryland,Big Ten,34-22,19-14,1-1,14-7,0-0
48,49,Texas,Big 12,36-24,11-6,1-6,24-12,0-0
49,50,Wofford,SoCon,42-20,13-12,7-3,22-5,0-0
50,51,Auburn,SEC,27-26,5-12,4-1,18-13,0-0
51,52,Evansville,MVC,39-26,18-18,4-0,17-8,0-0
52,53,St. John's (NY),Big East,38-18,12-10,5-2,21-6,0-0
53,54,ETSU,SoCon,36-20,10-13,2-2,24-5,0-0
54,55,Indiana,Big Ten,33-26,11-9,5-6,17-11,0-0
55,56,Ga. Southern,Sun Belt,33-26,12-12,3-2,18-12,0-0
56,57,Portland,WCC,37-19,18-11,2-3,17-5,0-0
57,58,Georgetown,Big East,36-21,17-8,2-4,17-9,0-0
58,59,Troy,Sun Belt,37-22,17-10,1-3,19-9,0-0
59,60,Texas Tech,Big 12,33-26,6-15,5-4,22-7,0-0
60,61,Louisville,ACC,32-24,7-10,0-4,25-10,0-0
