Team,Date,Opponent,Location,Result,home_team,away_team,home_score,away_score,home_elo,away_elo
Tennessee,2024-02-17,Arizona,Neutral,L1 - 3,Arizona,Tennessee,3,1,1547.3,1696.3
Tennessee,2024-02-18,Grand Canyon,Away,L3 - 4,Grand Canyon,Tennessee,4,3,1498.28,1696.3
Tennessee,2024-02-19,UC San Diego,Neutral,W7 - 0,Tennessee,UC San Diego,7,0,1696.3,1502.55
Tennessee,2024-02-21,Alabama A&M,Home,W10 - 0(8 Innings),Tennessee,Alabama A&M,10,0,1696.3,1004.46
Tennessee,2024-02-22,Alabama A&M,Home,W23 - 1(7 Innings),Tennessee,Alabama A&M,23,1,1696.3,1004.46
Tennessee,2024-02-24,Dayton,Home,W12 - 2,Tennessee,Dayton,12,2,1696.3,1268.55
Tennessee,2024-02-25,Dayton,Home,W4 - 1,Tennessee,Dayton,4,1,1696.3,1268.55
Tennessee,2024-02-26,Dayton,Home,W6 - 0,Tennessee,Dayton,6,0,1696.3,1268.55
Tennessee,2024-02-28,Charleston So.,Home,W6 - 1,Tennessee,Charleston So.,6,1,1696.3,1278.18
Tennessee,2024-03-01,Charleston So.,Home,W8 - 2,Tennessee,Charleston So.,8,2,1696.3,1278.18
Tennessee,2024-03-03,Gonzaga,Home,W8 - 2,Tennessee,Gonzaga,8,2,1696.3,1299.28
Tennessee,2024-03-04,Gonzaga,Home,W7 - 2,Tennessee,Gonzaga,7,2,1696.3,1299.28
Tennessee,2024-03-05,Gonzaga,Home,W17 - 9,Tennessee,Gonzaga,17,9,1696.3,1299.28
Tennessee,2024-03-07,Boston College,Home,L6 - 7(10 Innings),Tennessee,Boston College,6,7,1696.3,1584.52
Tennessee,2024-03-10,Morehead St.,Home,W23 - 4,Tennessee,Morehead St.,23,4,1696.3,1399.31
Tennessee,2024-03-11,Morehead St.,Home,W6 - 0,Tennessee,Morehead St.,6,0,1696.3,1399.31
Tennessee,2024-03-11,Morehead St.,Home,W6 - 3,Tennessee,Morehead St.,6,3,1696.3,1399.31
Tennessee,2024-03-14,Lipscomb,Home,W10 - 0,Tennessee,Lipscomb,10,0,1696.3,1513.43
Tennessee,2024-03-17,Missouri,Away,L1 - 9,Missouri,Tennessee,9,1,1528.72,1696.3
Tennessee,2024-03-19,Missouri,Away,L4 - 7(7 Innings),Missouri,Tennessee,7,4,1528.72,1696.3
Tennessee,2024-03-19,Missouri,Away,L1 - 7(7 Innings),Missouri,Tennessee,7,1,1528.72,1696.3
Tennessee,2024-03-21,Western Caro.,Home,W7 - 0,Tennessee,Western Caro.,7,0,1696.3,1284.26
Tennessee,2024-03-24,Texas A&M,Home,W10 - 4,Tennessee,Texas A&M,10,4,1696.3,1636.01
Tennessee,2024-03-25,Texas A&M,Home,W8 - 7,Tennessee,Texas A&M,8,7,1696.3,1636.01
Tennessee,2024-03-26,Texas A&M,Home,W9 - 6,Tennessee,Texas A&M,9,6,1696.3,1636.01
Tennessee,2024-03-28,UNC Asheville,Home,W5 - 0,Tennessee,UNC Asheville,5,0,1696.3,1267.83
Tennessee,2024-03-30,LSU,Away,L2 - 5,LSU,Tennessee,5,2,1784.62,1696.3
Tennessee,2024-03-31,LSU,Away,L4 - 6,LSU,Tennessee,6,4,1784.62,1696.3
Tennessee,2024-04-01,LSU,Away,W14 - 7,LSU,Tennessee,7,14,1784.62,1696.3
Tennessee,2024-04-06,Florida,Home,L1 - 6,Tennessee,Florida,1,6,1696.3,1776.55
Tennessee,2024-04-07,Florida,Home,L3 - 9,Tennessee,Florida,3,9,1696.3,1776.55
Tennessee,2024-04-08,Florida,Home,W14 - 2(8 Innings),Tennessee,Florida,14,2,1696.3,1776.55
Tennessee,2024-04-11,Eastern Ky.,Home,W14 - 2(7 Innings),Tennessee,Eastern Ky.,14,2,1696.3,1349.72
Tennessee,2024-04-14,Arkansas,Away,L2 - 5,Arkansas,Tennessee,5,2,1660.43,1696.3
Tennessee,2024-04-15,Arkansas,Away,L3 - 6,Arkansas,Tennessee,6,3,1660.43,1696.3
Tennessee,2024-04-16,Arkansas,Away,L2 - 7,Arkansas,Tennessee,7,2,1660.43,1696.3
Tennessee,2024-04-18,Tennessee Tech,Home,L5 - 12,Tennessee,Tennessee Tech,5,12,1696.3,1229.54
Tennessee,2024-04-21,Vanderbilt,Home,W4 - 3(12 Innings),Tennessee,Vanderbilt,4,3,1696.3,1670.89
Tennessee,2024-04-22,Vanderbilt,Home,W17 - 1(7 Innings),Tennessee,Vanderbilt,17,1,1696.3,1670.89
Tennessee,2024-04-23,Vanderbilt,Home,W10 - 5,Tennessee,Vanderbilt,10,5,1696.3,1670.89
Tennessee,2024-04-25,Bellarmine,Home,W19 - 1,Tennessee,Bellarmine,19,1,1696.3,1091.71
Tennessee,2024-04-27,Mississippi St.,Home,W8 - 7,Tennessee,Mississippi St.,8,7,1696.3,1528.35
Tennessee,2024-04-28,Mississippi St.,Home,W12 - 8,Tennessee,Mississippi St.,12,8,1696.3,1528.35
Tennessee,2024-04-29,Mississippi St.,Home,W13 - 2(7 Innings),Tennessee,Mississippi St.,13,2,1696.3,1528.35
Tennessee,2024-05-02,Wofford,Home,W13 - 3(7 Innings),Tennessee,Wofford,13,3,1696.3,1450.34
Tennessee,2024-05-05,Georgia,Away,W12 - 3,Georgia,Tennessee,3,12,1541.51,1696.3
Tennessee,2024-05-06,Georgia,Away,L1 - 3,Georgia,Tennessee,3,1,1541.51,1696.3
Tennessee,2024-05-07,Georgia,Away,L4 - 9,Georgia,Tennessee,9,4,1541.51,1696.3
Tennessee,2024-05-09,Austin Peay,Home,W9 - 4,Tennessee,Austin Peay,9,4,1696.3,1274.48
Tennessee,2024-05-12,Kentucky,Home,W10 - 6,Tennessee,Kentucky,10,6,1696.3,1610.89
Tennessee,2024-05-13,Kentucky,Home,W10 - 7,Tennessee,Kentucky,10,7,1696.3,1610.89
Tennessee,2024-05-14,Kentucky,Home,L0 - 10,Tennessee,Kentucky,0,10,1696.3,1610.89
