"Year","Team","ERA","W","L","APP","GS","CG","SHO","CBO","SV","IP","H","R","ER","BB","SO","2B","3B","HR","AB","BAA","WP","HBP","BK","SFA","SHA"
1994,"Auburn",3.85,43,21,65,65,4,3,2,14,570.0,558,291,244,211,512,105,12,34,2207,.253,38,39,3,16,27
1995,"Auburn",3.53,50,13,63,63,7,2,2,23,565.1,541,276,222,169,448,95,12,37,2169,.249,42,36,2,21,24
1996,"Auburn",4.74,32,24,56,56,0,3,3,8,497.0,488,318,262,235,489,106,10,46,1927,.253,57,38,6,13,23
1997,"Arizona State",5.16,36,20,56,56,5,1,0,11,502.0,527,371,288,230,464,109,5,60,"",.269,42,61,8,18,18
1997,"Auburn",4.30,50,17,67,67,4,4,3,18,591.2,568,354,283,246,629,125,10,63,2280,.249,33,39,3,25,14
1997,"Louisiana State",4.62,57,13,70,70,7,3,2,13,621.0,653,380,319,206,682,117,15,77,2451,.266,54,28,7,23,17
1997,"Virginia",5.30,32,22,54,54,9,1,0,6,470.1,515,336,277,206,354,85,9,47,"",.278,65,48,6,15,28
1998,"Arizona State",5.05,41,23,64,64,4,3,3,11,567.0,563,386,318,257,586,113,14,75,2178,.258,42,62,11,17,30
1998,"Auburn",4.74,46,18,64,64,3,4,4,8,561.2,603,342,296,202,472,125,9,72,2224,.271,45,28,2,16,19
1998,"Davidson",8.49,13,38,51,51,2,1,1,4,421.2,645,479,398,235,271,136,13,86,"",.350,47,35,2,30,23
1998,"Furman",5.97,21,27,49,49,5,0,0,9,405.2,484,327,269,180,315,91,9,62,"",.297,43,29,2,16,25
1998,"Louisiana State",4.39,48,19,67,67,5,4,3,14,588.1,613,365,287,232,646,103,12,68,2313,.265,45,39,4,27,23
1998,"Notre Dame",4.02,41,17,58,58,6,3,2,10,501.1,514,282,224,204,456,94,6,36,"",.267,40,52,3,18,26
1998,"Pittsburgh",5.41,12,27,40,40,6,1,0,5,"","","","","","","","","","","","","","","",""
1998,"Purdue",6.56,23,29,52,52,5,1,0,9,411.2,504,352,300,196,339,106,10,59,"",.301,66,39,4,24,24
1998,"Stanford",4.13,42,14,57,57,9,2,0,12,501.0,467,279,230,243,517,96,8,49,"","",59,40,10,19,30
1999,"Arizona State",4.94,39,21,60,60,8,6,2,7,526.1,565,347,289,243,507,95,9,50,2059,.274,48,59,5,11,30
1999,"Auburn",4.94,46,19,65,65,4,3,3,11,570.0,634,380,313,206,554,109,8,65,2301,.276,39,37,0,21,19
1999,"Bowling Green State",4.55,36,24,60,60,18,6,2,6,459.1,469,312,232,227,368,77,7,58,"",.264,29,45,6,15,31
1999,"Clemson",5.82,42,27,69,69,1,1,1,9,614.1,726,480,397,318,538,146,10,61,"",.299,57,41,0,33,56
1999,"Davidson",8.19,11,37,49,49,9,1,0,1,394.2,595,442,359,214,239,130,18,42,"",.352,55,47,7,22,28
1999,"Fairleigh Dickinson",6.31,22,24,46,46,10,1,1,6,353.2,438,319,248,200,295,79,12,47,1445,.303,33,53,5,17,17
1999,"Furman",6.38,22,35,57,57,7,2,0,7,474.1,630,427,336,228,377,106,18,56,"",.316,63,41,9,24,18
1999,"Georgia",6.12,25,30,56,56,8,2,2,4,494.0,623,378,336,243,399,98,11,64,1978,.315,56,39,5,30,39
1999,"Illinois",6.36,34,22,56,56,8,2,1,12,458.2,576,374,324,212,339,140,13,48,"",.309,52,55,6,21,21
1999,"Louisiana State",5.11,41,24,66,66,8,2,0,12,580.0,651,402,329,212,591,137,8,62,2320,.281,69,29,5,21,22
1999,"Loyola Marymount",5.21,33,28,61,61,8,0,0,10,541.0,647,376,313,228,448,113,21,46,2193,.295,36,54,4,22,22
1999,"Maryland",6.73,22,33,57,57,2,2,2,2,482.2,609,422,361,248,379,111,17,60,"",.305,47,49,3,3,42
1999,"Middle Tennessee State",6.07,29,31,60,60,10,1,0,16,486.2,584,392,328,261,444,138,3,60,1951,.299,54,38,6,30,27
1999,"North Carolina-Wilmington",4.55,30,26,56,56,11,3,0,7,475.0,507,303,240,177,420,73,10,43,1841,.275,47,49,0,17,39
1999,"Notre Dame",5.15,43,18,61,61,8,2,1,15,513.2,571,366,294,219,478,137,14,55,2041,.280,61,39,3,17,31
1999,"Purdue",6.53,24,30,54,54,10,2,1,7,445.1,553,412,323,209,320,103,23,58,1843,.300,39,50,11,27,27
1999,"Stanford",4.43,50,15,65,65,12,5,2,11,593.1,575,340,292,255,605,115,15,59,"",.256,55,53,6,20,35
1999,"Temple",4.15,28,28,57,57,21,3,0,9,442.1,521,322,262,198,308,97,12,28,"",.299,52,28,0,1,5
1999,"UCLA",5.73,31,31,62,62,1,2,2,13,542.1,586,425,345,331,488,101,7,76,2136,.274,56,63,7,17,26
1999,"Villanova",6.80,27,26,54,54,6,1,1,11,451.0,570,419,341,274,374,110,15,41,"",.305,82,48,3,16,28
1999,"Wake Forest",4.82,47,16,63,63,9,4,2,10,554.2,595,358,297,251,440,104,7,54,"",.273,51,48,2,20,21
1999,"Washington State",6.80,24,31,55,55,4,3,2,7,480.1,622,446,363,225,358,113,20,81,2001,.311,50,48,13,23,18
2000,"Albany",6.92,19,24,44,44,18,1,0,4,321.1,392,290,247,181,213,69,8,30,1310,.299,57,46,5,22,14
2000,"Arizona State",4.62,44,15,59,59,2,3,3,16,520.0,538,312,267,233,502,107,7,55,2014,.267,37,66,5,18,27
2000,"Auburn",5.31,41,20,61,61,4,1,1,8,536.0,611,381,316,227,394,104,9,51,2146,.285,50,46,3,32,28
2000,"Baylor",3.66,45,17,62,62,11,6,3,21,553.0,517,271,225,219,472,91,6,41,2064,.250,38,30,6,18,26
2000,"Boston College",4.23,35,20,55,55,13,5,2,8,447.1,466,271,210,211,348,76,9,25,1728,.270,30,53,6,10,5
2000,"Bowling Green State",5.26,29,24,54,54,10,2,0,9,411.0,455,313,240,205,299,86,12,46,1608,.283,38,56,1,34,21
2000,"California",5.69,25,28,53,53,1,0,0,4,479.2,567,327,303,239,342,96,5,68,1872,.303,20,46,10,22,42
2000,"Campbell",4.84,31,25,57,57,1,4,4,9,466.2,525,312,251,209,427,108,19,35,1843,.285,32,30,9,19,35
2000,"Central Michigan",4.55,41,17,58,58,18,4,3,7,440.2,465,265,223,178,377,74,11,49,"",.272,26,31,2,11,21
2000,"Charleston Southern",4.88,31,31,63,63,12,3,1,8,525.1,595,358,285,231,431,124,12,40,2080,.286,67,22,4,13,27
2000,"Clemson",3.99,51,18,69,69,3,6,5,21,617.1,618,323,274,257,438,112,13,29,"",.261,41,42,6,26,33
2000,"Coastal Carolina",4.30,34,24,58,58,6,6,5,12,502.0,472,276,240,231,479,75,11,31,1884,.251,66,46,7,25,26
2000,"Davidson",6.95,26,28,54,54,2,1,1,10,465.0,590,422,359,215,306,122,17,53,1884,.313,59,53,3,21,29
2000,"Fairleigh Dickinson",5.88,15,22,39,39,10,2,1,5,300.0,397,273,196,152,226,64,8,28,1265,.314,33,20,4,19,25
2000,"Florida International",4.60,42,20,62,62,6,6,4,19,536.2,520,350,274,283,514,86,14,43,"",.257,44,80,6,23,38
2000,"Florida State",3.23,53,19,72,72,7,6,5,12,648.2,599,303,233,244,631,94,6,45,2459,.244,69,51,3,14,28
2000,"Fresno State",4.06,40,21,61,61,6,3,1,10,547.1,556,282,247,181,422,114,19,36,2085,.267,20,71,3,13,36
2000,"Furman",6.33,27,31,59,59,4,3,2,12,501.2,618,442,353,231,304,120,19,51,"",.301,64,68,4,20,27
2000,"Georgia",5.81,32,26,58,58,6,1,1,7,508.0,577,376,328,229,418,134,12,46,2012,.287,45,32,7,29,29
2000,"Georgia Tech",4.32,50,16,66,66,6,2,2,14,585.2,570,339,281,242,507,114,11,66,"",.252,73,52,2,23,23
2000,"Gonzaga",5.36,28,25,53,53,8,2,2,9,458.2,522,320,273,219,412,88,15,45,1815,.288,41,39,8,28,32
2000,"Illinois-Chicago",4.94,33,25,59,58,11,7,5,10,481.0,492,338,264,258,341,86,7,51,1869,.263,65,46,4,18,29
