,Rank,Team,Conference
0,1,Cal State Fullerton,BigWest
1,2,Texas,Big12
2,3,North Carolina,ACC
3,4,Georgia Tech,ACC
4,5,Arizona State,Pac10
5,6,Virginia,ACC
6,7,Florida,SEC
7,8,LSU,SEC
8,9,Clemson,ACC
9,10,Texas Christian,MWC
10,11,Rice,ConfUSA
11,12,Miami,ACC
12,13,Arkansas,SEC
13,14,Florida State,ACC
14,15,Texas A&M,Big12
15,16,Ole Miss,SEC
16,17,Oklahoma,Big12
17,18,UC Irvine,BigWest
18,19,Louisville,BigEast
19,20,Georgia,SEC
20,21,Elon,SoCon
21,22,Minnesota,Big10
22,23,East Carolina,ConfUSA
23,24,Kansas State,Big12
24,25,South Carolina,SEC
25,26,Oklahoma State,Big12
26,27,Coastal Carolina,BigSou
27,28,Texas State,Sthland
28,29,Baylor,Big12
29,30,Boston College,ACC
30,31,Missouri,Big12
31,32,Georgia Southern,SoCon
32,33,Auburn,SEC
33,34,Vanderbilt,SEC
34,35,Alabama,SEC
35,36,Dallas Baptist,IndyNCAA
36,37,Ohio State,Big10
37,38,Middle Tennessee,SBC
38,39,Oral Roberts,Summ
39,40,George Mason,CAA
40,41,Oregon State,Pac10
41,42,Florida Gulf Coast,AtlSun
42,43,Gonzaga,WCC
43,44,Washington State,Pac10
44,45,Western Kentucky,SBC
45,46,Kentucky,SEC
46,47,San Diego State,MWC
47,48,Cal Poly,BigWest
48,49,Jacksonville,AtlSun
49,50,San Diego,WCC
50,51,Virginia Tech,ACC
51,52,Notre Dame,BigEast
52,52,Kansas,Big12
53,54,Southeastern Louisiana,Sthland
54,55,Rhode Island,Atl10
55,56,Western Carolina,SoCon
56,57,Southern Miss,ConfUSA
57,58,UNC Wilmington,CAA
58,59,Col of Charleston,SoCon
59,60,Tennessee,SEC
60,61,Xavier,Atl10
61,62,BYU,MWC
62,63,Eastern Illinois,OVC
63,64,Arizona,Pac10
64,65,Illinois,Big10
65,66,Sam Houston State,Sthland
66,67,Tulane,ConfUSA
67,68,Missouri State,MVC
68,69,Hawaii,WAC
69,70,Troy,SBC
70,71,UCLA,Pac10
71,72,Connecticut,BigEast
72,73,South Florida,BigEast
73,74,Duke,ACC
74,75,USC,Pac10
75,76,Citadel,SoCon
76,77,UC Riverside,BigWest
77,78,San Jose State,WAC
78,79,Stanford,Pac10
79,80,Florida International,SBC
80,81,UT San Antonio,Sthland
81,82,Appalachian State,SoCon
82,83,Kent State,MAC
83,84,UC Santa Barbara,BigWest
84,85,Maryland,ACC
85,86,Florida Atlantic,SBC
86,87,New Mexico,MWC
87,88,Kennesaw State,AtlSun
88,89,Texas Tech,Big12
89,90,Indiana State,MVC
90,91,Utah,MWC
91,92,Mississippi State,SEC
92,93,Wichita State,MVC
93,94,UL Lafayette,SBC
94,95,Loyola Marymount,WCC
95,96,Georgia State,CAA
96,97,James Madison,CAA
97,98,Louisiana-Monroe,SBC
98,99,San Francisco,WCC
99,100,North Carolina State,ACC
100,101,Indiana,Big10
101,101,UT Arlington,Sthland
102,103,Wake Forest,ACC
103,104,Winthrop,BigSou
104,105,Houston,ConfUSA
105,106,West Virginia,BigEast
106,107,Nebraska,Big12
107,108,Liberty,BigSou
108,109,Delaware,CAA
109,110,Dayton,Atl10
110,111,St. John's,BigEast
111,112,Louisiana Tech,WAC
112,113,Creighton,MVC
113,114,Long Beach State,BigWest
114,115,Jacksonville State,OVC
115,116,Northeastern,CAA
116,117,Lamar,Sthland
117,118,Bryant,IndyNCAA
118,119,Tennessee Tech,OVC
119,120,Le Moyne,IndyNCAA
120,121,Brown,Ivy
121,122,Bethune-Cookman,MEAC
122,123,California,Pac10
123,124,North Florida,AtlSun
124,125,New Mexico State,WAC
125,126,Miami-Ohio,MAC
126,127,Penn State,Big10
127,128,Belmont,AtlSun
128,129,South Alabama,SBC
129,130,Alabama-Birmingham,ConfUSA
130,131,Washington,Pac10
131,132,Pittsburgh,BigEast
132,133,Pepperdine,WCC
133,133,Cincinnati,BigEast
134,133,Illinois-Chicago,Horiz
135,136,Wright State,Horiz
136,137,St. Mary's CA,WCC
137,138,Mercer,AtlSun
138,139,Seton Hall,BigEast
139,139,Pacific,BigWest
140,141,Army,Patriot
141,142,Stetson,AtlSun
142,143,Northwestern State,Sthland
143,144,Radford,BigSou
144,145,Bowling Green,MAC
145,146,Dartmouth,Ivy
146,147,Michigan,Big10
147,148,Canisius,MAAC
148,149,Manhattan,MAAC
149,150,Murray State,OVC
150,151,Towson,CAA
151,152,Central Florida,ConfUSA
152,153,Old Dominion,CAA
153,154,Fresno State,WAC
154,155,Lipscomb,AtlSun
155,156,UNC Charlotte,Atl10
156,157,East Tennessee State,AtlSun
157,158,Southern,SWAC
158,159,Furman,SoCon
159,160,Centenary-LA,Summ
160,161,New Orleans,SBC
161,162,Stony Brook,AmEast
162,163,Eastern Kentucky,OVC
163,164,Purdue,Big10
164,165,William and Mary,CAA
165,166,Nevada,WAC
166,167,Rutgers,BigEast
167,168,Marshall,ConfUSA
168,169,Illinois State,MVC
169,170,Bucknell,Patriot
170,171,Sacramento State,WAC
171,172,Samford,SoCon
172,173,Memphis,ConfUSA
173,174,Binghamton,AmEast
174,175,Saint Louis,Atl10
175,176,Monmouth,NEC
176,177,Marist,MAAC
177,178,Arkansas State,SBC
178,179,Holy Cross,Patriot
179,180,Cal State Northridge,BigWest
180,181,Southeast Missouri State,OVC
181,182,Southern Illinois,MVC
182,183,Massachusetts,Atl10
183,184,Campbell,AtlSun
184,185,VCU,CAA
185,186,High Point,BigSou
186,187,Sacred Heart,NEC
187,188,Central Arkansas,Sthland
188,189,McNeese State,Sthland
189,190,Michigan State,Big10
190,191,Portland,WCC
191,192,Wagner,NEC
192,193,UNC Greensboro,SoCon
193,194,Ohio,MAC
194,195,Central Connecticut State,NEC
195,196,Stephen F. Austin,Sthland
196,197,Gardner-Webb,BigSou
197,198,Austin Peay,OVC
198,199,Santa Clara,WCC
199,200,Davidson,SoCon
200,201,Villanova,BigEast
201,202,Milwaukee,Horiz
202,203,Northern Iowa,MVC
203,204,Maine,AmEast
204,205,Evansville,MVC
205,206,Eastern Michigan,MAC
206,207,South Dakota State,Summ
207,208,Ball State,MAC
208,209,UNLV,MWC
209,210,Toledo,MAC
210,211,Fordham,Atl10
211,212,St. Bonaventure,Atl10
212,213,Central Michigan,MAC
213,214,Northwestern,Big10
214,215,Albany,AmEast
215,216,Longwood,IndyNCAA
216,217,Nicholls State,Sthland
217,218,Rider,MAAC
218,219,Wofford,SoCon
219,220,USC Upstate,AtlSun
220,221,Princeton,Ivy
221,222,Richmond,Atl10
222,223,New York Tech,IndyNCAA
223,224,Tennessee-Martin,OVC
224,225,Akron,MAC
225,226,Lafayette,Patriot
226,227,Vermont,AmEast
227,228,Harvard,Ivy
228,229,Southern Utah,Summ
229,230,VMI,BigSou
230,231,UC Davis,BigWest
231,232,Morehead State,OVC
232,233,Arkansas-Little Rock,SBC
233,234,Oregon,Pac10
234,235,Saint Joseph's,Atl10
235,236,Mount St. Mary's,NEC
236,237,Texas A&M Corpus Christi,Sthland
237,238,Quinnipiac,NEC
238,239,Valparaiso,Horiz
239,240,Fairfield,MAAC
240,241,Oakland,Summ
241,242,Cal State Bakersfield,IndyNCAA
242,243,George Washington,Atl10
243,244,LaSalle,Atl10
244,245,Georgetown,BigEast
245,246,Iowa,Big10
246,247,Utah Valley,IndyNCAA
247,248,Arkansas-Pine Bluff,SWAC
248,249,Duquesne,Atl10
249,250,Hofstra,CAA
250,251,Presbyterian,BigSou
251,252,Cleveland State,Horiz
252,253,Cornell,Ivy
253,254,Siena,MAAC
254,255,Grambling State,SWAC
255,256,Northern Illinois,MAC
256,257,Western Michigan,MAC
257,258,Navy,Patriot
258,259,Bradley,MVC
259,260,Temple,Atl10
260,261,Hartford,AmEast
261,262,Buffalo,MAC
262,263,Youngstown State,Horiz
263,264,Columbia,Ivy
264,265,Mississippi Valley State,SWAC
265,266,Jackson State,SWAC
266,267,Yale,Ivy
267,268,North Dakota State,Summ
268,269,Niagara,MAAC
269,270,Fairleigh Dickinson,NEC
270,271,Charleston Southern,BigSou
271,272,UNC Asheville,BigSou
272,273,Penn,Ivy
273,274,Delaware State,MEAC
274,275,SIU-Edwardsville,OVC
275,276,North Carolina A&T,MEAC
276,277,North Dakota,IndyNCAA
277,278,Norfolk State,MEAC
278,279,Western Illinois,Summ
279,280,IPFW,Summ
280,281,Air Force,MWC
281,282,Alcorn State,SWAC
282,283,Lehigh,Patriot
283,284,Houston Baptist,IndyNCAA
284,285,St. Peter's,MAAC
285,286,Butler,Horiz
286,287,Prairie View A&M,SWAC
287,288,Florida A&M,MEAC
288,289,Texas Southern,SWAC
289,290,Long Island,NEC
290,291,Alabama A&M,SWAC
291,292,Northern Colorado,IndyNCAA
292,293,UMBC,AmEast
293,294,Chicago State,IndyNCAA
294,295,Iona,MAAC
295,296,UT Pan American,IndyNCAA
296,297,New Jersey Tech,IndyNCAA
297,298,UMES,MEAC
298,299,NC Central,IndyNCAA
299,300,Savannah State,IndyNCAA
300,301,Coppin State,MEAC
301,302,Alabama State,SWAC
