 


  
  

NCAA Baseball
Division IBatting Average
Through Games 06/25/2012


"Rank","Name","G","AB","H","BA"
"1","Utah Valley","59","2031","711","0.350"
"2","Hofstra","56","2004","669","0.334"
"3","Stony Brook","67","2245","743","0.331"
"4","Arizona","65","2296","756","0.329"
"5","New Mexico","61","2236","728","0.326"
"6","Northern Colo.","60","2022","645","0.319"
"7","Purdue","59","2107","665","0.316"
"8","Nebraska","58","2057","647","0.315"
"9","Campbell","59","2038","639","0.314"
"10","Wright St.","58","2050","637","0.311"
"11","Western Caro.","56","1998","620","0.310"
"12","Baylor","66","2183","675","0.309"
"13","San Diego","57","1946","598","0.307"
"14","Delaware St.","58","1847","566","0.306"
"15","App State","59","2045","625","0.306"
"16","New Mexico St.","59","2054","627","0.305"
"17","UCLA","64","2135","650","0.304"
"18","Auburn","59","2005","610","0.304"
"19","Tulane","58","1955","594","0.304"
"20","DBU","60","2058","625","0.304"
"21","UTRGV","52","1739","528","0.304"
"22","UNCW","62","2174","657","0.302"
"23","Samford","64","2232","674","0.302"
"24","Mercer","59","2006","605","0.302"
"25","Liberty","60","2088","627","0.300"
"26","Tennessee Tech","53","1869","559","0.299"
"27","Gonzaga","56","1959","585","0.299"
"28","Buffalo","56","1956","584","0.299"
"29","Dartmouth","42","1408","420","0.298"
"30","Sacramento St.","59","2097","625","0.298"
"31","Kent St.","67","2446","729","0.298"
"32","UNLV","57","2038","606","0.297"
"33","NC State","63","2223","661","0.297"
"34","Illinois St.","52","1767","525","0.297"
"35","Michigan St.","60","2173","645","0.297"
"36","Cal Poly","56","1942","576","0.297"
"37","Virginia","59","1974","585","0.296"
"38","Ole Miss","63","2153","638","0.296"
"39","Chicago St.","53","1728","512","0.296"
"40","Central Conn. St.","52","1675","495","0.296"
"41","Louisville","63","2139","632","0.295"
"42","East Carolina","61","2120","626","0.295"
"43","VCU","59","2079","613","0.295"
"44","Georgia Tech","64","2245","661","0.294"
"45","Morehead St.","55","1919","565","0.294"
"46","Kentucky","63","2178","641","0.294"
"47","Southern Ill.","59","2076","610","0.294"
"48","Arizona St.","56","1904","558","0.293"
"49","Little Rock","54","1897","555","0.293"
"50","Texas Tech","55","1892","553","0.292"
"51","California","54","1880","549","0.292"
"52","Stanford","59","2103","614","0.292"
"53","Miami (OH)","59","2032","593","0.292"
"54","Western Mich.","55","1927","562","0.292"
"55","Kennesaw St.","59","2052","598","0.291"
"56","Sam Houston","62","2083","607","0.291"
"57","Rutgers","56","1934","563","0.291"
"58","Austin Peay","64","2226","648","0.291"
"59","Dayton","61","2183","635","0.291"
"60","Northeastern","51","1781","517","0.290"
"61","Valparaiso","60","2129","618","0.290"
"62","Pittsburgh","56","1919","557","0.290"
"63","UCF","62","2128","617","0.290"
"64","Eastern Ky.","54","1939","562","0.290"
"65","Niagara","48","1653","479","0.290"
"66","Maine","56","1865","540","0.290"
"67","Bowling Green","53","1863","539","0.289"
"68","FIU","57","1950","564","0.289"
"69","Villanova","55","1907","551","0.289"
"70","Memphis","59","2008","580","0.289"
"71","St. John's (NY)","63","2147","619","0.288"
"72","Charlotte","53","1797","518","0.288"
"73","Furman","59","2085","601","0.288"
"74","James Madison","53","1811","522","0.288"
"75","Texas A&M","61","2058","593","0.288"
"76","Bucknell","49","1593","459","0.288"
"77","Indiana St.","60","2114","609","0.288"
"78","Virginia Tech","55","1885","543","0.288"
"79","Grambling","48","1685","485","0.288"
"80","Georgetown","53","1880","541","0.288"
"81","Milwaukee","54","1891","544","0.288"
"82","Louisiana Tech","55","1867","537","0.288"
"83","Central Ark.","55","1802","518","0.287"
"84","Army West Point","56","1748","502","0.287"
"85","Ga. Southern","60","2079","597","0.287"
"86","Washington St.","56","1947","559","0.287"
"87","USC Upstate","53","1859","533","0.287"
"88","Nevada","57","1861","533","0.286"
"89","Lamar University","52","1790","512","0.286"
"90","Coastal Carolina","61","2028","580","0.286"
"91","Longwood","48","1581","452","0.286"
"92","Ohio","57","2005","572","0.285"
"93","LSU","65","2209","630","0.285"
"94","Fla. Atlantic","54","1839","524","0.285"
"95","UConn","59","2055","585","0.285"
"96","Harvard","42","1349","384","0.285"
"97","Cornell","49","1592","453","0.285"
"98","Radford","58","2004","570","0.284"
"99","North Dakota St.","60","1990","566","0.284"
"100","Washington","55","1819","517","0.284"
"101","Houston Christian","61","2032","577","0.284"
"102","Middle Tenn.","59","2008","570","0.284"
"103","Murray St.","56","1974","560","0.284"
"104","Florida","67","2242","636","0.284"
"105","N.C. A&T","56","1865","529","0.284"
"106","Delaware","58","1996","566","0.284"
"107","William & Mary","56","1862","528","0.284"
"108","Illinois","53","1779","503","0.283"
"109","Rhode Island","59","2021","571","0.283"
"110","Brown","44","1463","413","0.282"
"111","Southeast Mo. St.","59","2035","574","0.282"
"112","Kansas St.","58","1970","555","0.282"
"113","Pepperdine","59","1981","558","0.282"
"114","UNC Greensboro","52","1776","500","0.282"
"115","Florida St.","67","2230","627","0.281"
"116","Richmond","56","1950","548","0.281"
"117","Rice","60","2018","567","0.281"
"118","Oregon St.","60","2011","564","0.280"
"119","Nicholls","54","1811","507","0.280"
"120","UAlbany","55","1808","506","0.280"
"121","Texas Southern","53","1729","483","0.279"
"","Georgia","57","1976","552","0.279"
"123","Georgia St.","55","1883","526","0.279"
"124","George Mason","57","1953","545","0.279"
"125","Missouri St.","62","2108","588","0.279"
"126","Saint Louis","59","1987","554","0.279"
"127","Southern Miss.","56","1877","523","0.279"
"128","Lehigh","50","1624","452","0.278"
