 


  
  

NCAA Baseball
Division IBatting Average
Through Games 06/26/2013


"Rank","Name","G","W-L","AB","H","BA"
"1","New Mexico","59","37-22","2169","724","0.334"
"2","Kansas St.","64","45-19","2199","708","0.322"
"3","Georgia St.","56","35-21","2022","650","0.321"
"4","James Madison","55","25-30","1960","623","0.318"
"5","Delaware St.","48","33-15","1572","499","0.317"
"6","Louisiana","63","43-20","2199","697","0.317"
"7","North Florida","59","40-19","2172","686","0.316"
"8","Campbell","59","49-10","1985","623","0.314"
"9","Vanderbilt","66","54-12","2238","700","0.313"
"10","Austin Peay","62","47-15","2152","672","0.312"
"11","Virginia","62","50-12","2157","672","0.312"
"12","UNC Greensboro","55","24-31","2000","622","0.311"
"13","The Citadel","60","35-25","2091","647","0.309"
"14","Western Caro.","59","39-20","2120","653","0.308"
"15","Delaware","55","33-22","1946","598","0.307"
"16","UNLV","57","37-20","2054","630","0.307"
"17","Canisius","59","42-17","1955","598","0.306"
"18","Arizona","55","34-21","1819","556","0.306"
"19","LSU","68","57-11","2366","722","0.305"
"20","Georgia Tech","64","37-27","2244","683","0.304"
"21","Maine","59","37-22","2006","610","0.304"
"22","Dartmouth","41","32-9","1370","416","0.304"
"23","Saint Louis","62","41-21","2182","662","0.303"
"24","North Carolina","71","59-12","2506","759","0.303"
"25","Tennessee Tech","57","40-17","1973","597","0.303"
"26","Pittsburgh","59","42-17","2068","625","0.302"
"27","Indiana","65","49-16","2254","680","0.302"
"28","Mercer","61","43-18","2138","643","0.301"
"29","Seton Hall","56","37-19","1962","590","0.301"
"30","FGCU","57","37-20","1980","595","0.301"
"31","South Alabama","63","43-20","2203","661","0.300"
"32","Lamar University","59","39-20","2035","610","0.300"
"33","UTSA","60","35-25","2101","629","0.299"
"34","USC Upstate","58","28-30","2058","615","0.299"
"35","Milwaukee","50","29-21","1739","519","0.298"
"36","Marist","52","27-24-1","1715","511","0.298"
"37","BYU","53","32-21","1840","548","0.298"
"38","High Point","58","29-29","2064","611","0.296"
"39","Towson","60","30-30","2122","628","0.296"
"40","Furman","57","32-25","2081","615","0.296"
"41","CSU Bakersfield","59","37-22","2011","594","0.295"
"42","Illinois","55","35-20","1937","571","0.295"
"43","Mississippi St.","71","51-20","2431","713","0.293"
"44","Washington St.","55","23-32","1920","563","0.293"
"45","Illinois St.","58","39-19","1908","559","0.293"
"46","Eastern Ky.","57","23-34","2040","596","0.292"
"47","Wichita St.","67","39-28","2302","672","0.292"
"48","Troy","62","42-20","2083","608","0.292"
"49","UNCW","61","38-23","2074","605","0.292"
"50","North Dakota","48","25-22-1","1512","441","0.292"
"51","Samford","57","27-30","1976","576","0.291"
"52","Virginia Tech","62","40-22","2194","639","0.291"
"53","Northern Colo.","57","33-24","1879","547","0.291"
"54","Nebraska","59","29-30","2075","604","0.291"
"55","Bradley","49","17-32","1672","486","0.291"
"56","Houston Christian","59","34-24-1","1895","550","0.290"
"57","William & Mary","63","39-24","2160","626","0.290"
"58","Louisville","65","51-14","2174","629","0.289"
"59","Holy Cross","53","28-25","1726","499","0.289"
"60","Toledo","58","25-33","1994","575","0.288"
"61","ETSU","60","36-24","2071","597","0.288"
"62","Charlotte","60","37-23","2033","586","0.288"
"63","Elon","64","34-30","2262","652","0.288"
"64","New Mexico St.","57","29-28","1888","544","0.288"
"65","Oregon St.","65","52-13","2194","632","0.288"
"66","Sam Houston","60","38-22","2060","593","0.288"
"67","Bryant","64","45-18-1","2065","594","0.288"
"68","Florida St.","64","47-17","2101","604","0.287"
"69","Arizona St.","60","37-22-1","2086","599","0.287"
"70","Charleston So.","56","22-34","1934","555","0.287"
"71","A&M-Corpus Christi","57","33-24","1928","553","0.287"
"72","Monmouth","55","30-24-1","1823","522","0.286"
"73","Jackson St.","56","34-22","1842","527","0.286"
"74","San Jose St.","58","17-41","1983","567","0.286"
"75","Southeast Mo. St.","59","26-33","2046","583","0.285"
"76","Cal St. Fullerton","61","51-10","2052","584","0.285"
"77","UC Irvine","55","33-22","1845","525","0.285"
"78","South Carolina","63","43-20","2113","601","0.284"
"79","Fla. Atlantic","64","42-22","2170","617","0.284"
"80","San Diego","62","37-25","2127","604","0.284"
"81","UT Arlington","58","31-27","1994","566","0.284"
"82","UTRGV","58","28-30","1851","525","0.284"
"83","Texas St.","58","29-29","1978","561","0.284"
"84","FIU","58","26-32","1989","564","0.284"
"85","DBU","60","30-30","2100","595","0.283"
"86","Creighton","48","30-18","1592","451","0.283"
"87","Murray St.","54","21-33","1900","538","0.283"
"88","South Fla.","58","36-22","2091","592","0.283"
"89","UC Davis","56","19-37","1964","556","0.283"
"90","Oklahoma St.","60","41-19","2012","569","0.283"
"91","Old Dominion","54","30-24","1834","518","0.282"
"92","UC Riverside","54","22-32","1806","510","0.282"
"93","Richmond","55","31-24","1878","530","0.282"
"94","Air Force","54","15-39","1857","524","0.282"
"95","Alabama St.","57","32-25","1862","525","0.282"
"96","Eastern Ill.","49","22-27","1689","476","0.282"
"97","App State","54","30-24","1882","530","0.282"
"98","Oklahoma","64","43-21","2170","611","0.282"
"99","Xavier","58","32-26","2004","564","0.281"
"100","Michigan St.","50","33-17","1717","483","0.281"
"101","Michigan","56","29-27","1846","519","0.281"
"102","Sacred Heart","58","34-24","1868","525","0.281"
"103","Kent St.","59","36-23","2064","580","0.281"
"104","Wagner","55","24-31","1783","501","0.281"
"105","Utah Valley","54","24-30","1785","501","0.281"
"106","SFA","57","28-29","1953","548","0.281"
"107","Rutgers","58","28-30","1978","555","0.281"
"108","Miami (OH)","56","26-30","1971","553","0.281"
"109","South Dakota St.","59","35-24","1928","540","0.280"
"110","Maryland","55","30-25","1836","513","0.279"
"111","East Carolina","57","31-26","1963","548","0.279"
"112","Norfolk St.","48","19-29","1530","427","0.279"
"113","VMI","55","20-35","1874","523","0.279"
"114","Rice","64","44-20","2204","615","0.279"
"115","Cal Poly","59","40-19","1993","556","0.279"
"116","Southern California","56","20-36","1883","525","0.279"
"117","Stanford","54","32-22","1858","518","0.279"
"118","Georgia","53","21-32","1831","510","0.279"
"119","Belmont","58","38-20","1916","533","0.278"
"120","Saint Mary's (CA)","55","21-34","1860","517","0.278"
"121","UC Santa Barbara","60","35-25","2009","558","0.278"
"122","Duke","55","26-29","1833","508","0.277"
"123","Rider","57","35-22","1859","515","0.277"
"124","NC State","66","50-16","2319","642","0.277"
"125","Ole Miss","62","38-24","2073","573","0.276"
"126","Southern Miss.","57","30-27","1911","528","0.276"
"127","Buffalo","57","33-24","1872","517","0.276"
"128","Siena","57","27-30","1920","530","0.276"
"129","Clemson","62","40-22","2124","586","0.276"
"130","Northwestern","48","22-26","1719","474","0.276"
"131","Notre Dame","58","34-24","1990","548","0.275"
"132","Valparaiso","60","32-28","1976","544","0.275"
"133","Wright St.","55","25-30","1861","512","0.275"
"134","West Virginia","59","33-26","2018","555","0.275"
"135","Mount St. Mary's","48","11-37","1506","414","0.275"
"136","Auburn","56","33-23","1848","508","0.275"
"137","Washington","56","24-32","1910","525","0.275"
"138","Tennessee","52","22-30","1783","490","0.275"
"139","Navy","51","28-23","1707","469","0.275"
"140","UNC Asheville","51","16-35","1788","491","0.275"
"141","Eastern Mich.","54","26-28","1880","516","0.274"
"142","Bowling Green","55","24-31","1903","522","0.274"
"143","Houston","58","36-22","1885","517","0.274"
"144","Southern Ill.","58","25-33","2013","552","0.274"
"145","Kennesaw St.","60","30-30","2027","555","0.274"
"146","Wake Forest","55","28-27","1889","516","0.273"
"147","Middle Tenn.","56","28-28","1926","526","0.273"
"148","George Mason","53","18-35","1831","500","0.273"
"149","San Diego St.","62","31-31","2107","575","0.273"
"150","UAlbany","49","23-25-1","1583","432","0.273"
"151","Morehead St.","56","16-40","1918","523","0.273"
"152","Longwood","54","26-28","1838","501","0.273"
"153","Ball St.","55","31-24","1884","513","0.272"
"154","Radford","56","30-26","1925","524","0.272"
"155","Savannah St.","56","33-23","1819","494","0.272"
"156","LIU","55","21-33-1","1761","478","0.271"
"157","Cincinnati","56","24-32","1894","514","0.271"
"158","Lehigh","47","18-29","1544","418","0.271"
"159","Nicholls","55","26-29","1851","501","0.271"
"160","Sacramento St.","59","34-25","2026","548","0.270"
"161","Central Conn. St.","53","28-25","1687","456","0.270"
"162","Texas A&M","63","34-29","2047","553","0.270"
"163","UConn","63","35-28","2166","584","0.270"
"164","Southern U.","44","21-23","1499","404","0.270"
"165","Coastal Carolina","60","37-23","1983","534","0.269"
"166","VCU","54","28-26","1844","496","0.269"
"167","Seattle U","54","21-33","1834","493","0.269"
"168","Florida","59","29-30","1983","533","0.269"
"169","Kansas","59","34-25","1975","530","0.268"
"170","Rhode Island","59","35-24","1994","535","0.268"
"171","Col. of Charleston","57","31-26","1946","522","0.268"
"172","California","54","23-31","1852","496","0.268"
"173","Liberty","65","36-29","2197","588","0.268"
"174","Grambling","48","18-30","1626","435","0.268"
"175","Western Ky.","57","28-29","1963","525","0.267"
"176","Little Rock","56","28-28","1874","500","0.267"
"177","Hofstra","53","26-27","1788","477","0.267"
"178","Columbia","49","28-21","1537","410","0.267"
"179","Baylor","55","27-28","1862","496","0.266"
"180","Temple","46","18-28","1563","416","0.266"
"181","Northeastern","57","31-26","1943","517","0.266"
"182","North Dakota St.","53","26-27","1748","465","0.266"
"183","Binghamton","55","30-25","1756","467","0.266"
"184","Memphis","59","35-24","1899","505","0.266"
"185","Penn","43","22-21","1384","368","0.266"
"186","Long Beach St.","56","29-27","1809","481","0.266"
"187","Fresno St.","56","23-33","1870","496","0.265"
"188","Missouri St.","54","31-23","1840","488","0.265"
"189","Army West Point","52","29-23","1648","437","0.265"
"190","Jacksonville St.","58","32-26","1978","524","0.265"
"191","Youngstown St.","57","14-43","1903","504","0.265"
"192","Central Ark.","64","42-22","2100","556","0.265"
"193","St. Bonaventure","47","19-28","1516","401","0.265"
"194","Evansville","58","24-34","1871","494","0.264"
"195","San Francisco","59","35-24","2036","537","0.264"
"196","LMU (CA)","51","24-27","1661","438","0.264"
"197","Gonzaga","54","32-21-1","1819","479","0.263"
"198","Stetson","57","26-31","1960","516","0.263"
"199","Wofford","56","20-36","1801","474","0.263"
"200","Massachusetts","45","14-31","1544","406","0.263"
"201","Western Ill.","56","19-37","1803","474","0.263"
"202","Southeastern La.","60","36-24","1911","502","0.263"
"203","Iowa","49","22-27","1684","442","0.262"
"204","Saint Joseph's","52","26-26","1807","474","0.262"
"205","Fairfield","49","20-29","1617","424","0.262"
"206","Prairie View","54","27-27","1682","441","0.262"
"207","FDU","48","12-36","1549","406","0.262"
"208","CSUN","57","31-26","1903","498","0.262"
"209","Gardner-Webb","57","29-27-1","1924","503","0.261"
"210","Ohio","53","14-39","1806","472","0.261"
"211","Lipscomb","59","25-34","1980","517","0.261"
"212","Davidson","49","18-31","1678","437","0.260"
"213","Arkansas","61","39-22","2015","524","0.260"
"214","N.C. A&T","54","16-38","1740","452","0.260"
"215","Alabama","63","35-28","2128","552","0.259"
"216","Bethune-Cookman","59","34-25","1948","505","0.259"
"217","Texas","51","27-24","1655","429","0.259"
"218","UIC","55","27-28","1812","469","0.259"
"219","Ga. Southern","59","27-32","2014","521","0.259"
"220","Texas Tech","56","26-30","1864","482","0.259"
"221","Ohio St.","58","35-23","1904","492","0.258"
"222","Miami (FL)","62","37-25","1972","509","0.258"
"223","Penn St.","50","14-36","1686","435","0.258"
"224","Nevada","57","25-32","1888","487","0.258"
"225","Saint Peter's","51","17-34","1614","416","0.258"
"226","Minnesota","54","32-22","1777","458","0.258"
"227","Oregon","64","48-16","2066","532","0.258"
"228","N.C. Central","56","27-29","1803","464","0.257"
"229","UAB","59","23-36","1932","497","0.257"
"230","McNeese","54","23-31","1849","474","0.256"
"231","Arkansas St.","59","28-31","1998","512","0.256"
"232","Pepperdine","51","27-24","1716","439","0.256"
"233","Pacific","54","15-39","1806","462","0.256"
"234","St. John's (NY)","58","23-35","1943","497","0.256"
"235","Butler","52","25-27","1787","457","0.256"
"236","Western Mich.","54","16-38","1838","470","0.256"
"237","Marshall","54","20-34","1792","458","0.256"
"238","Kentucky","55","30-25","1836","469","0.255"
"239","Purdue","51","17-34","1747","446","0.255"
"240","Jacksonville","55","17-38","1863","475","0.255"
