,Team,G,AB,H,BA,HPG,ABPG,HPAB,BB,BBPG,IP,ER,ERA,RA,PO,A,E,PCT,APG,EPG,HBP,OBP,HBPPG,RPG,RS,TB,SLG,KP9,WP9,WHIP,OPS,PYTHAG,wOBA,wRAA,oWAR_z,pWAR_z,fWAR,ISO,wRC+,BB%,BABIP,RA9,FIP,LOB%,K/BB,Rating,Conference
1,Florida,68,2281,634,0.278,9.323529411764707,33.544117647058826,0.2779482683033757,299,4.397058823529412,613.1,198,2.91,221,1840,724,46,0.982,10.647058823529411,0.6764705882352942,50,0.37,0.7352941176470589,6.0,408,953,0.418,9.8,2.44,1.11,0.788,0.754,0.33421360643745435,72.82322745011132,0.5402998332074895,3.1454539708859515,3.6857538040934408,0.13985094256904868,119.1610339024443,0.10936356986100951,0.2516240796881767,3.2441689773283313,-0.5079717340842675,0.7371751848313808,4.04,5.85,SEC
2,Louisville,64,2209,711,0.322,11.109375,34.515625,0.3218650973291082,244,3.8125,569.0,178,2.82,202,1707,661,53,0.978,10.328125,0.828125,77,0.402,1.203125,7.359375,471,1086,0.492,9.0,3.35,1.15,0.894,0.825,0.3684407796101949,283.0761676631256,2.100236580123829,1.8581905028052192,3.9584270829290484,0.16976007243096425,176.3246829955531,0.09145427286356822,0.28806767586821014,3.195079086115993,0.0021710407657366555,0.7541267533627395,2.68,5.62,ACC
3,Texas A&M,65,2287,712,0.311,10.953846153846154,35.184615384615384,0.31132487975513773,261,4.015384615384615,581.0,197,3.05,233,1743,677,57,0.977,10.415384615384616,0.8769230769230769,46,0.388,0.7076923076923077,7.246153846153846,471,1067,0.467,9.2,3.1,1.21,0.855,0.784,0.3579659133012227,220.72767361603476,1.6376522905514,2.199137501256655,3.836789791808055,0.15522518583296896,158.83034950323304,0.09670248240088922,0.28029322984044847,3.6092943201376935,-0.13585692925127021,0.7255335901971772,2.97,5.31,SEC
4,TCU,67,2297,693,0.302,10.343283582089553,34.28358208955224,0.3016978667827601,315,4.701492537313433,586.1,207,3.18,248,1759,701,65,0.974,10.462686567164178,0.9701492537313433,47,0.393,0.7014925373134329,6.970149253731344,467,1041,0.453,8.2,2.93,1.23,0.8460000000000001,0.761,0.3540186915887851,202.02081241409041,1.4988598428509694,2.0806017063764837,3.579461549227453,0.15150195907705702,152.23799682123627,0.11322789360172537,0.2746448557899268,3.808223852584883,0.04390160027918048,0.7109535513336552,2.81,4.89,Big 12
5,Cal St. Fullerton,59,1971,516,0.262,8.745762711864407,33.40677966101695,0.2617960426179604,211,3.5762711864406778,534.2,132,2.22,166,1604,576,53,0.976,9.76271186440678,0.8983050847457628,42,0.343,0.711864406779661,4.728813559322034,279,726,0.368,8.5,2.54,1.04,0.7110000000000001,0.721,0.3055030355594102,-92.28718309850332,-0.6847094173279977,1.482104721449064,0.7973953041210662,0.106544901065449,71.21079884644381,0.09150043365134432,0.24623115577889448,2.796705353800075,-0.16646141398509037,0.7694780036104011,3.32,4.71,Big West
6,Miami (FL),64,2125,634,0.298,9.90625,33.203125,0.2983529411764706,299,4.671875,577.1,233,3.63,264,1732,655,42,0.983,10.234375,0.65625,78,0.399,1.21875,6.828125,437,912,0.429,6.7,3.57,1.34,0.8280000000000001,0.716,0.3548784253184099,193.3226368796024,1.4343251750663968,1.3532559917863833,2.78758116685278,0.1308235294117647,153.67385940286846,0.11539945966808182,0.27099767981438516,4.1171374111939,0.5791636149639648,0.7079071869552639,1.86,4.65,ACC
7,Coastal Carolina,73,2417,709,0.293,9.712328767123287,33.10958904109589,0.2933388498138188,342,4.684931506849315,646.1,245,3.41,305,1939,734,78,0.972,10.054794520547945,1.0684931506849316,77,0.393,1.0547945205479452,7.068493150684931,516,1138,0.471,7.7,3.47,1.32,0.864,0.724,0.3585167785234899,247.5194242789456,1.8364292319390092,2.669127420122489,4.5055566520614985,0.17749275961936284,159.7503631457374,0.11476510067114094,0.25030624744793795,4.248568333075375,0.3292393427944203,0.693579054512795,2.22,4.58,Big South
8,Louisiana,64,2104,576,0.274,9.0,32.875,0.2737642585551331,223,3.484375,564.2,204,3.25,237,1694,687,58,0.976,10.734375,0.90625,76,0.361,1.1875,5.5625,356,856,0.407,8.7,2.65,1.14,0.768,0.678,0.32766077170418006,28.419419773016095,0.2108531618395178,1.9536001661168494,2.1644533279563674,0.13307984790874525,108.2169824212558,0.08963022508038586,0.24953007518796994,3.780574264445232,-0.15732839029474624,0.6892795502361185,3.28,4.18,Sun Belt
9,South Carolina,64,2195,638,0.291,9.96875,34.296875,0.2906605922551253,270,4.21875,574.0,210,3.29,242,1722,523,50,0.978,8.171875,0.78125,66,0.381,1.03125,6.28125,402,905,0.412,9.7,3.34,1.21,0.7929999999999999,0.717,0.33928,100.7964976525364,0.7478428624558469,2.124810368426529,2.872653230882376,0.12164009111617312,127.62254319260103,0.10285714285714286,0.2671171171171171,3.7944250871080136,-0.1703217383350102,0.7075976265369172,2.91,4.17,SEC
10,Vanderbilt,62,2076,568,0.274,9.161290322580646,33.483870967741936,0.27360308285163776,268,4.32258064516129,551.1,199,3.25,249,1654,601,59,0.975,9.693548387096774,0.9516129032258065,65,0.369,1.0483870967741935,6.709677419354839,416,864,0.416,9.7,3.44,1.24,0.7849999999999999,0.719,0.3309533227848101,48.20094423473309,0.3576188949921369,1.7070671839557028,2.06468607894784,0.14258188824662812,113.71595347692482,0.1060126582278481,0.24916943521594684,4.06641262928688,-0.12235217133535026,0.6886096635966208,2.81,4.16,SEC
11,Oklahoma St.,65,2155,567,0.263,8.723076923076922,33.15384615384615,0.2631090487238979,275,4.230769230769231,583.1,208,3.21,247,1750,745,57,0.978,11.461538461538462,0.8769230769230769,54,0.358,0.8307692307692308,5.584615384615384,363,846,0.393,8.9,3.93,1.32,0.751,0.669,0.32018583042973287,-15.321804099234695,-0.11367757910654724,1.8428973725646436,1.7292197934580964,0.1294663573085847,95.73289798204175,0.1064653503677894,0.2393005062126093,3.812382095695421,0.2162015505145121,0.7312871041139801,2.25,4.06,Big 12
12,Fla. Atlantic,58,2028,584,0.288,10.068965517241379,34.96551724137931,0.2879684418145957,266,4.586206896551724,528.0,190,3.24,225,1584,645,52,0.977,11.120689655172415,0.896551724137931,62,0.382,1.0689655172413792,6.155172413793103,357,823,0.406,6.4,2.91,1.23,0.788,0.699,0.3401850328947369,98.49565423577272,0.730772137113914,0.7994321977809893,1.5302043348949033,0.1178500986193294,129.1340610311137,0.109375,0.2676056338028169,3.835227272727273,0.4152358157951835,0.7080305047558265,2.19,4.06,Conference USA
13,Houston,59,1976,536,0.271,9.084745762711865,33.49152542372882,0.27125506072874495,211,3.5762711864406778,522.0,144,2.48,197,1566,624,70,0.969,10.576271186440678,1.1864406779661016,54,0.354,0.9152542372881356,4.898305084745763,289,753,0.381,8.2,1.97,1.05,0.735,0.668,0.31583979328165374,-37.20278495342699,-0.2760198800439145,1.3984753744682967,1.1224554944243823,0.10981781376518218,88.47447376965978,0.090869939707149,0.24974974974974976,3.396551724137931,-0.2795472937755465,0.7038883700722025,4.17,3.98,American Athletic
14,LSU,66,2283,674,0.295,10.212121212121213,34.59090909090909,0.2952255803766973,271,4.106060606060606,591.0,262,3.99,296,1773,631,59,0.976,9.56060606060606,0.8939393939393939,78,0.385,1.1818181818181819,6.454545454545454,426,964,0.422,8.2,3.75,1.37,0.8069999999999999,0.661,0.34121685434071924,118.09106831365781,0.8761570552043133,1.8744126787281545,2.7505697339324677,0.12702584318878668,130.85733156728097,0.09843806756265892,0.27197921177999135,4.50761421319797,0.29593726905976286,0.6813958087795163,2.2,3.98,SEC
15,Wright St.,63,2130,605,0.284,9.603174603174603,33.80952380952381,0.284037558685446,296,4.698412698412699,561.2,218,3.49,251,1685,777,67,0.974,12.333333333333334,1.0634920634920635,85,0.387,1.3492063492063493,7.111111111111111,448,907,0.426,6.4,2.45,1.2,0.813,0.743,0.34228819969742813,119.99193063700164,0.8902601872984883,1.4560716336303396,2.346331820928828,0.14178403755868543,132.6466119650327,0.11195158850226929,0.2578558225508318,4.025302922309336,0.26443962987597325,0.6813083686968564,2.63,3.91,Horizon League
16,Ohio St.,65,2207,589,0.267,9.061538461538461,33.95384615384615,0.26687811508835524,276,4.246153846153846,587.2,219,3.35,255,1763,747,65,0.975,11.492307692307692,1.0,70,0.363,1.0769230769230769,5.7384615384615385,373,923,0.418,7.6,2.47,1.24,0.7809999999999999,0.667,0.3276977611940298,30.842710153380697,0.22883236207781074,2.1428347735018334,2.371667135579644,0.15133665609424557,108.27875948380297,0.10298507462686567,0.23824451410658307,3.908378746594005,0.0035203067183446845,0.7035188224644934,3.07,3.89,Big Ten
17,Florida St.,63,2159,635,0.294,10.079365079365079,34.26984126984127,0.29411764705882354,332,5.26984126984127,568.0,233,3.69,293,1704,678,78,0.968,10.761904761904763,1.2380952380952381,92,0.404,1.4603174603174602,7.301587301587301,460,972,0.45,8.1,3.57,1.31,0.8540000000000001,0.695,0.36317182258665676,251.847060381937,1.8685374087735334,1.5744055230035525,3.442942931777086,0.15609078276980085,167.52486745542308,0.12374207976146105,0.2633257403189066,4.642605633802817,0.25071042303942975,0.6517975188068119,2.28,3.82,ACC
