Rank,Name,G,W-L,AB,H,BB,HBP,SF,SH,PCT
1,Texas Southern,53,28-25,1732,550,298,97,38,24,0.436
2,Davidson,56,43-13,1953,592,331,102,23,23,0.425
3,Wake Forest,61,41-19-1,2200,702,364,58,25,8,0.425
4,Grambling,57,26-31,1952,613,271,103,24,17,0.42
5,Tennessee,66,57-9,2283,704,388,70,32,9,0.419
6,Georgia Tech,60,36-24,2235,730,295,85,34,8,0.419
7,Wofford,59,42-16-1,1940,611,277,91,31,56,0.419
8,Maryland,62,48-14,2215,682,337,105,33,23,0.418
9,Rutgers,59,44-15,2189,701,292,90,27,27,0.417
10,Central Mich.,62,43-19,2021,597,355,90,35,39,0.417
11,Louisville,64,42-21-1,2294,709,342,97,29,22,0.416
12,Charlotte,58,36-22,2031,597,371,66,24,10,0.415
13,UNLV,58,36-22,2185,713,280,69,28,5,0.415
14,Oklahoma,69,45-24,2312,678,378,97,23,35,0.41
15,Prairie View,57,30-27,1915,582,273,94,31,27,0.41
16,Campbell,60,41-19,2084,624,289,121,27,26,0.41
17,Texas,69,47-22,2396,753,319,84,35,35,0.408
18,Virginia Tech,59,45-14,2105,651,307,61,28,10,0.407
19,Virginia,58,39-19,2038,629,301,61,33,20,0.407
20,Oregon St.,66,48-18,2310,683,389,63,27,38,0.407
21,FGCU,58,35-23,2068,611,286,112,20,7,0.406
22,LSU,62,40-22,2133,616,306,125,25,23,0.404
23,Nevada,55,29-26,1981,610,245,99,38,20,0.404
24,UTSA,58,38-20,2041,620,264,89,36,13,0.4
25,Southern U.,58,27-31,1862,512,291,111,19,29,0.4
26,Saint Joseph's,54,29-25,1941,588,275,57,26,1,0.4
27,Texas Tech,61,39-22,2144,621,334,85,36,10,0.4
28,Coastal Carolina,60,39-20-1,1964,566,309,82,39,49,0.4
29,Oklahoma St.,64,42-22,2245,668,330,71,29,24,0.4
30,Texas St.,61,47-14,2078,609,322,66,30,16,0.399
31,Alabama St.,59,34-25,2028,584,301,89,23,37,0.399
32,South Alabama,54,31-23,1886,554,264,78,18,33,0.399
33,Abilene Christian,59,30-29,2074,610,283,92,21,9,0.399
34,Coppin St.,54,24-30,1714,483,276,72,23,28,0.399
35,Mercer,58,40-18,2007,572,336,60,26,36,0.399
36,Ohio,53,29-24,1750,518,247,69,27,25,0.398
37,Texas A&M,64,44-20,2201,637,351,73,39,7,0.398
38,Tennessee Tech,57,30-27,2055,622,284,61,28,12,0.398
39,Sam Houston,56,31-25,1961,600,248,71,29,14,0.398
40,Canisius,54,29-25,1939,572,258,87,21,12,0.398
41,Jackson St.,56,29-27,1821,525,268,77,22,69,0.398
42,Delaware St.,48,25-23,1446,391,262,56,21,12,0.397
43,Air Force,61,32-29,2235,697,232,100,26,15,0.397
44,Western Mich.,54,18-36,1787,526,230,81,16,29,0.396
45,Marist,46,29-17,1618,478,230,55,25,18,0.396
46,UNC Greensboro,64,34-30,2279,700,287,62,23,23,0.396
47,McNeese,57,34-23,2010,612,229,90,24,24,0.396
48,Wright St.,57,30-27,1967,557,318,64,25,15,0.396
49,Richmond,56,30-26,2057,636,224,84,23,34,0.395
50,Ga. Southern,61,41-20,2079,615,263,92,23,59,0.395
51,Manhattan,50,24-26,1717,489,258,67,21,18,0.395
52,Charleston So.,54,24-30,1781,508,251,94,37,24,0.394
53,UConn,66,50-16,2330,694,310,89,44,22,0.394
54,Purdue,50,29-21,1756,508,206,112,22,17,0.394
55,Maine,49,27-22,1699,492,225,81,28,39,0.393
56,Xavier,60,33-27,2108,631,280,64,32,10,0.393
57,UMBC,55,23-32,1857,521,279,84,33,11,0.392
58,Pittsburgh,56,29-27,1907,521,318,68,21,20,0.392
59,Miami (FL),60,40-20,2073,597,310,61,27,5,0.392
60,Oregon,61,36-25,2160,670,243,58,18,21,0.392
61,Penn,48,33-15,1685,506,220,48,24,16,0.392
62,Illinois,53,31-22,1880,545,249,76,18,21,0.391
63,Fla. Atlantic,58,35-23,2033,583,289,73,21,13,0.391
64,Old Dominion,58,41-17,2094,618,287,58,25,17,0.391
65,Eastern Ill.,53,33-20,1840,540,255,53,22,35,0.391
66,Oral Roberts,58,38-20,2053,622,275,40,31,15,0.391
67,Southern Ill.,60,44-16,2106,623,289,57,29,5,0.391
68,UC Santa Barbara,58,44-14,2013,571,281,87,24,19,0.39
69,Central Conn. St.,47,29-18,1694,496,241,39,17,15,0.39
70,UCLA,64,40-24,2222,619,318,106,33,30,0.389
71,Michigan,62,34-28,2170,616,304,85,26,22,0.389
72,Ball St.,59,40-19,1918,566,239,69,24,18,0.388
73,Columbia,50,32-18,1767,531,220,52,30,8,0.388
74,NC State,57,36-21,2027,595,279,54,32,25,0.388
75,Saint Louis,53,29-24,1780,500,259,69,27,14,0.388
76,A&M-Corpus Christi,55,27-28,1886,548,225,92,28,13,0.388
77,Missouri St.,60,31-29,2106,608,282,74,25,4,0.388
78,USC Upstate,58,35-22-1,2039,603,219,103,27,28,0.387
79,Western Caro.,58,26-31-1,2002,564,270,94,30,22,0.387
80,UMass Lowell,58,28-30,2018,564,277,97,32,22,0.387
81,Kent St.,53,24-29,1789,530,208,70,23,26,0.387
