Rank,Name,G,W-L,R
1,Tennessee,66,57-9,613
2,Maryland,62,48-14,572
3,Rutgers,59,44-15,565
4,Georgia Tech,60,36-24,564
5,Wake Forest,61,41-19-1,561
6,Louisville,64,42-21-1,551
7,Texas,69,47-22,541
8,UNLV,58,36-22,530
9,UConn,66,50-16,528
10,Campbell,60,41-19,523
11,Oklahoma,69,45-24,520
12,Grambling,57,26-31,514
13,Virginia Tech,59,45-14,513
14,Air Force,61,32-29,507
15,Texas Tech,61,39-22,506
16,Texas Southern,53,28-25,503
,LSU,62,40-22,503
18,Virginia,58,39-19,499
19,Oklahoma St.,64,42-22,492
,Michigan,62,34-28,492
21,Old Dominion,58,41-17,491
22,Oregon St.,66,48-18,490
23,Charlotte,58,36-22,489
,Stanford,65,47-18,489
25,Wofford,59,42-16-1,485
26,Davidson,56,43-13,483
,Ole Miss,65,42-23,483
28,FGCU,58,35-23,482
29,Central Mich.,62,43-19,480
,Mercer,58,40-18,480
31,Texas A&M,64,44-20,474
32,Arkansas,67,46-21,472
33,Texas St.,61,47-14,471
34,Coastal Carolina,60,39-20-1,468
35,UTSA,58,38-20,467
36,Louisiana Tech,64,43-21,466
37,Missouri St.,60,31-29,464
38,Southern Ill.,60,44-16,459
39,UNC Greensboro,64,34-30,458
40,Miami (FL),60,40-20,457
41,Auburn,65,43-22,455
,Kennesaw St.,64,36-28,455
,Wright St.,57,30-27,455
44,Tennessee Tech,57,30-27,452
,Oregon,61,36-25,452
46,NC State,57,36-21,450
,Xavier,60,33-27,450
,Nevada,55,29-26,450
49,Alabama St.,59,34-25,445
50,Abilene Christian,59,30-29,444
51,VCU,62,42-20,443
52,Oral Roberts,58,38-20,441
,Ga. Southern,61,41-20,441
54,McNeese,57,34-23,440
,Richmond,56,30-26,440
,East Carolina,67,46-21,440
,Clemson,58,35-23,440
58,Florida,66,42-24,437
59,North Carolina,64,42-22,435
60,Western Caro.,58,26-31-1,432
61,SIUE,55,27-28,430
62,Jackson St.,56,29-27,429
63,Notre Dame,58,41-17,428
,TCU,60,38-22,428
,UC Santa Barbara,58,44-14,428
66,Indiana,59,27-32,427
67,Southeast Mo. St.,59,37-22,426
68,Vanderbilt,62,39-23,425
69,Saint Joseph's,54,29-25,423
,Ball St.,59,40-19,423
,Grand Canyon,62,41-21,423
,USC Upstate,58,35-22-1,423
73,Georgia,59,36-23,422
74,Liberty,60,37-23,421
75,Arizona,64,39-25,420
76,Fla. Atlantic,58,35-23,413
,UCF,60,35-25,413
78,San Jose St.,59,30-29,411
79,Sam Houston,56,31-25,410
80,UCLA,64,40-24,409
,Southern Miss.,66,47-19,409
82,Prairie View,57,30-27,406
83,UMass Lowell,58,28-30,404
,Evansville,56,32-24,404
85,Columbia,50,32-18,403
,Southern U.,58,27-31,403
87,Georgetown,56,32-24,400
88,New Orleans,53,30-23,399
89,California,56,29-27,397
90,Tulane,60,33-26-1,395
,A&M-Corpus Christi,55,27-28,395
92,Houston,61,37-24,392
,Canisius,54,29-25,392
94,New Mexico St.,58,24-34,391
95,San Diego,57,37-20,390
,Fairfield,52,31-21,390
97,Mississippi St.,56,26-30,389
,Charleston So.,54,24-30,389
99,Eastern Ill.,53,33-20,388
100,Murray St.,55,30-25,386
101,Col. of Charleston,57,37-20,383
102,Marist,46,29-17,382
,South Alabama,54,31-23,382
104,Belmont,59,39-20,380
105,Cincinnati,55,24-31,379
,UTRGV,58,33-25,379
,ETSU,51,30-21,379
108,Arizona St.,58,26-32,377
,Army West Point,56,31-25,377
,Ohio,53,29-24,377
,Morehead St.,54,27-27,377
112,Cal Poly,58,37-21,376
,Eastern Ky.,58,38-20,376
114,Western Mich.,54,18-36,375
,Kentucky,59,33-26,375
,Illinois,53,31-22,375
117,Kent St.,53,24-29,374
118,Oakland,58,31-27,372
,Purdue,50,29-21,372
120,Bryant,57,30-27,370
121,Lipscomb,58,35-23,368
,Coppin St.,54,24-30,368
123,Louisiana,60,37-23,367
,Troy,56,32-24,367
125,Austin Peay,56,19-37,366
,Pittsburgh,56,29-27,366
127,UMBC,55,23-32,365
128,Southeastern La.,61,30-31,362
,Penn,48,33-15,362
130,Northwestern,51,24-27,361
,Lamar University,58,37-21,361
