Rank,Name,IP,W-L,BB,HA,WHIP
1,Tennessee,594.2,57-9,164,428,1
2,Southern Miss.,596.1,47-19,181,512,1.16
3,Northeastern,533.1,31-29-1,186,469,1.23
4,Oregon St.,594.2,48-18,188,556,1.25
5,Long Beach St.,496,29-27,184,438,1.25
6,UCLA,577,40-24,193,531,1.25
7,Davidson,497,43-13,209,415,1.26
8,Vanderbilt,545,39-23,243,449,1.27
9,Oral Roberts,506,38-20,178,465,1.27
10,Florida,587,42-24,220,527,1.27
11,Iowa,489.1,36-19,255,374,1.29
12,VCU,550.2,42-20,191,520,1.29
13,Florida St.,534,34-25,210,480,1.29
14,UConn,592.1,50-16,191,575,1.29
15,East Carolina,597.1,46-21,217,559,1.3
16,Louisiana Tech,567.2,43-21,194,545,1.3
17,Notre Dame,517.2,41-17,228,447,1.3
18,Texas,603.1,47-22,245,545,1.31
19,Ole Miss,564.1,42-23,234,510,1.32
20,LSU,546,40-22,220,504,1.33
21,Arkansas,591,46-21,285,505,1.34
22,Oklahoma St.,571,42-22,241,523,1.34
23,Col. of Charleston,498.1,37-20,209,461,1.34
24,BYU,479.1,33-21,175,470,1.35
25,Rutgers,523,44-15,254,451,1.35
26,UC Irvine,506.1,32-24,179,506,1.35
27,Alabama,511.1,31-27,197,495,1.35
28,Elon,488.1,27-28,138,526,1.36
29,Virginia,511.2,39-19,247,450,1.36
30,Belmont,516,39-20,217,489,1.37
31,Wofford,512.1,42-16-1,159,545,1.37
32,Ball St.,478,40-19,255,402,1.37
33,Miami (FL),534,40-20,224,510,1.37
34,Stanford,581,47-18,259,540,1.38
35,Portland,481,32-23,215,447,1.38
36,Grand Canyon,541,41-21,199,548,1.38
37,Maryland,557,48-14,249,521,1.38
38,Louisiana,532.1,37-23,227,510,1.38
39,South Alabama,476,31-23,208,452,1.39
40,Texas St.,538.1,47-14,236,512,1.39
41,Penn,420.2,33-15,225,361,1.39
42,Coastal Carolina,518,39-20-1,206,517,1.4
43,Cal Poly,517.1,37-21,173,551,1.4
44,Wake Forest,536.1,41-19-1,260,491,1.4
45,Ga. Southern,539,41-20,250,506,1.4
46,Virginia Tech,531,45-14,221,524,1.4
47,James Madison,462.1,27-26,173,476,1.4
48,Stetson,492,26-29,182,509,1.4
49,UC Santa Barbara,519,44-14,266,463,1.4
50,CSUN,479.2,32-22,183,491,1.41
51,Saint Mary's (CA),474.1,25-30,195,472,1.41
52,Washington,495.1,30-26,208,489,1.41
53,Houston,539,37-24,211,548,1.41
54,UCF,522.2,35-25,238,499,1.41
55,Texas Tech,539.1,39-22,234,528,1.41
56,Gonzaga,504.1,37-19,245,468,1.41
57,Charlotte,516.2,36-22,248,483,1.41
58,Nebraska,458,23-30,189,459,1.41
59,Liberty,535,37-23,222,535,1.41
60,Auburn,579,43-22,260,560,1.42
61,Texas A&M,566,44-20,220,582,1.42
62,McNeese,506.1,34-23,236,482,1.42
63,Central Mich.,512.2,43-19,219,508,1.42
64,Nicholls,440,26-25,168,458,1.42
65,San Diego,513.2,37-20,195,537,1.43
66,Campbell,534,41-19,268,493,1.43
67,William & Mary,429.1,26-23,214,398,1.43
68,Pepperdine,445.1,24-26,184,452,1.43
69,Lamar University,512,37-21,208,524,1.43
70,Old Dominion,524.2,41-17,225,528,1.44
71,Indiana St.,432,26-22-1,181,440,1.44
72,Jacksonville,492,27-28,251,458,1.44
73,North Carolina,577.1,42-22,258,575,1.44
74,Creighton,430,31-18,195,428,1.45
75,Illinois St.,449.2,20-31,206,446,1.45
76,Fresno St.,493.2,27-28,181,535,1.45
77,Central Ark.,466.1,24-29,170,508,1.45
78,Clemson,510.2,35-23,240,503,1.45
79,Oklahoma,614.1,45-24,235,659,1.46
80,NC State,512.1,36-21,239,509,1.46
81,DBU,514.1,34-24-1,244,507,1.46
82,Toledo,478.1,33-25,206,497,1.47
83,TCU,525.1,38-22,264,509,1.47
84,Army West Point,469.2,31-25,235,458,1.48
85,Tulane,520.1,33-26-1,233,535,1.48
86,Illinois,468.2,31-22,213,479,1.48
87,Southern Ill.,530,44-16,203,580,1.48
88,South Dakota St.,380.2,22-23,180,383,1.48
89,Central Conn. St.,415,29-18,164,450,1.48
90,Troy,496,32-24,231,504,1.48
91,UAB,484.2,31-25,197,522,1.48
92,Monmouth,444.1,24-27,181,479,1.49
93,Arizona,569.2,39-25,248,600,1.49
94,Kentucky,513,33-26,254,512,1.49
95,Mercer,515.1,40-18,220,550,1.49
96,Fla. Atlantic,513.1,35-23,226,542,1.5
97,Northwestern St.,458,25-29,228,458,1.5
98,Fairfield,458.2,31-21,220,467,1.5
99,Oregon,539,36-25,274,534,1.5
100,Southern California,467.1,25-28,195,506,1.5
101,Washington St.,466.2,27-26,242,462,1.51
102,FGCU,511.2,35-23,221,551,1.51
103,Missouri,438.1,28-23,209,453,1.51
104,Cal St. Fullerton,477.2,22-33,215,507,1.51
105,Bethune-Cookman,513,27-32,242,534,1.51
106,ETSU,449,30-21,212,469,1.52
107,Eastern Ky.,510.1,38-20,270,505,1.52
108,Louisville,575.1,42-21-1,298,576,1.52
109,UNCW,488.1,31-24,269,473,1.52
110,California,497.1,29-27,226,531,1.52
111,Eastern Ill.,456.1,33-20,174,521,1.52
112,Sacramento St.,500,32-26,216,546,1.52
113,LIU,516.2,37-21,248,540,1.53
114,San Diego St.,499.1,18-38,271,491,1.53
115,North Dakota St.,424,31-19,167,481,1.53
116,Evansville,481.1,32-24,193,545,1.53
117,Lipscomb,511,35-23,331,453,1.53
118,Georgia St.,495.1,30-27,234,526,1.53
119,South Carolina,479,27-28,246,489,1.53
120,Brown,310.1,13-23,133,344,1.54
121,Wichita St.,497.2,21-36,231,535,1.54
122,Duke,478,22-32,252,485,1.54
123,Hawaii,464.2,28-24,217,500,1.54
124,Delaware,444.1,25-26,248,438,1.54
125,Omaha,498.2,26-31,232,538,1.54
126,North Florida,477,22-33,212,525,1.55
127,Sam Houston,484.2,31-25,187,562,1.55
128,UTSA,502,38-20,279,497,1.55
129,Mississippi St.,489.2,26-30,263,494,1.55
130,Kennesaw St.,554.2,36-28,277,581,1.55
131,UNC Greensboro,557,34-30,241,621,1.55
132,Hofstra,471,30-23,270,459,1.55
133,Middle Tenn.,479.2,29-26,222,522,1.55
134,Murray St.,486.2,30-25,209,546,1.55
135,UIC,402,22-25,156,468,1.55
136,Georgia,519,36-23,288,518,1.55
137,San Francisco,516.1,28-29,242,561,1.56
138,Georgetown,495,32-24,254,520,1.56
139,Yale,334.1,20-18,155,368,1.56
140,West Virginia,479.1,33-22,270,480,1.56
141,South Fla.,494.2,28-29,215,559,1.56
142,Marist,399.1,29-17,176,450,1.57
143,Jackson St.,468.1,29-27,264,471,1.57
144,Youngstown St.,473.1,21-36,278,466,1.57
145,Dartmouth,374,24-19,161,428,1.57
146,USC Upstate,513.1,35-22-1,251,558,1.58
147,Missouri St.,518.1,31-29,248,569,1.58
148,The Citadel,495.1,26-31,252,529,1.58
149,Dayton,434,23-27,210,476,1.58
150,Pittsburgh,489.2,29-27,210,564,1.58
151,Southeast Mo. St.,516.1,37-22,226,591,1.58
152,Western Ky.,464,18-36,172,563,1.58
153,Canisius,465.2,29-25,267,472,1.59
154,Jacksonville St.,487.2,27-28,245,530,1.59
155,Alabama St.,512.2,34-25,282,533,1.59
156,UTRGV,490,33-25,225,554,1.59
157,Binghamton,450.1,22-30,215,501,1.59
158,New Orleans,464,30-23,248,490,1.59
159,UT Arlington,462.1,15-39,186,551,1.59
160,Columbia,432.1,32-18,200,490,1.6
161,Ohio St.,445.1,21-30,233,478,1.6
162,Kansas St.,506.2,29-29,280,529,1.6
163,FDU,473.2,24-30,231,526,1.6
164,Valparaiso,397.2,16-32,169,467,1.6
