Rank,Name,G,W-L,BB
1,Wake Forest,66,54-12,424
2,LSU,71,54-17,413
3,Texas A&M,65,38-27,405
4,Maryland,63,42-21,385
5,South Carolina,63,42-21,380
6,Oregon St.,61,41-20,373
7,Texas Tech,64,41-23,367
8,Central Mich.,57,34-23,362
9,Charlotte,64,36-28,356
10,Campbell,61,46-15,351
11,Oklahoma,60,32-28,350
12,Tennessee,66,44-22,346
13,Alabama,64,43-21,340
,Kansas St.,59,35-24,340
15,Grambling,55,29-26,338
,North Carolina,60,36-24,338
17,UConn,61,44-17,335
,TCU,68,44-24,335
19,Lipscomb,62,36-26,334
20,Northern Ky.,57,30-27,333
21,Oral Roberts,66,52-14,332
22,Eastern Ky.,59,29-30,331
23,Iowa,60,44-16,326
,Pittsburgh,55,24-31,326
25,Miami (OH),56,21-35,323
,West Virginia,60,40-20,323
27,Manhattan,56,22-34,321
,Arkansas,61,43-18,321
29,Virginia,65,50-15,319
30,Florida,71,54-17,317
,East Carolina,66,47-19,317
32,Southern Miss.,66,46-20,316
33,Jacksonville,58,34-24,313
,DBU,63,47-16,313
,Fairfield,55,37-18,313
,Coastal Carolina,63,42-21,313
,Ohio St.,56,31-25,313
38,Evansville,61,37-24,312
39,Fla. Atlantic,59,34-25,310
,FGCU,60,42-18,310
41,Miami (FL),63,42-21,309
42,Oklahoma St.,61,41-20,308
43,Bethune-Cookman,60,33-27,307
44,Troy,62,40-22,306
45,Georgia St.,59,31-28,305
46,Virginia Tech,53,30-23,304
,Boston College,57,37-20,304
,UC Irvine,55,38-17,304
49,Mississippi St.,53,27-26,303
,Kentucky,61,40-21,303
,Oakland,60,29-31,303
,Old Dominion,55,32-23,303
53,Clemson,63,44-19,302
,Wright St.,62,39-23,302
,Delaware,59,30-29,302
,Texas,64,42-22,302
57,William & Mary,57,32-25,299
58,Stanford,64,44-20,298
59,South Alabama,54,23-31,297
60,Duke,63,39-24,296
61,Wofford,59,40-19,294
,Davidson,54,30-24,294
63,Louisiana,65,41-24,293
64,Texas Southern,53,31-22,292
,USC Upstate,60,38-22,292
66,Tulane,61,19-42,291
,Indiana,63,43-20,291
68,Sacred Heart,58,28-30,289
,Southern U.,51,23-28,289
70,Ga. Southern,56,27-29,288
,Tennessee Tech,55,21-34,288
,Grand Canyon,58,37-21,288
73,Auburn,58,34-23-1,287
74,Eastern Ill.,59,38-21,286
,Kent St.,58,42-16,286
76,Vanderbilt,62,42-20,285
,Jackson St.,53,28-25,285
78,Cincinnati,57,24-33,283
,NC State,57,36-21,283
80,Xavier,64,39-25,282
81,Murray St.,59,31-28,281
,Coppin St.,52,21-31,281
83,Saint Louis,56,33-23,280
,FDU,53,31-21-1,280
85,Texas St.,59,36-23,279
,Liberty,58,27-31,279
87,Mercer,58,33-25,277
88,Dayton,60,26-34,276
,Canisius,52,26-25-1,276
90,New Orleans,60,36-24,275
91,Col. of Charleston,58,36-22,274
92,Sam Houston,64,39-25,272
,UTSA,57,38-19,272
94,VCU,55,25-30,271
95,Missouri St.,56,33-23,270
,Georgia Tech,57,30-27,270
97,UIC,53,28-25,269
,Santa Clara,56,36-20,269
,Northwestern St.,56,29-27,269
,Alabama St.,59,41-18,269
101,UCLA,53,28-24-1,268
,Samford,62,37-25,268
,Stetson,58,35-23,268
104,Kennesaw St.,54,25-29,267
105,Northeastern,60,44-16,266
106,Washington,55,35-20,265
,Ball St.,59,36-23,265
108,UMBC,57,30-27,263
,Michigan St.,55,33-22,263
,Niagara,47,24-22-1,263
,Morehead St.,56,36-20,263
,North Florida,55,28-27,263
113,Florida A&M,59,29-30,262
,Richmond,55,27-28,262
,UNC Greensboro,59,25-34,262
,Arkansas St.,51,20-31,262
117,Holy Cross,51,16-35,261
118,Southern California,58,34-23-1,259
119,Air Force,59,28-31,258
,Elon,55,33-22,258
121,App State,55,30-25,257
,San Jose St.,58,31-27,257
,Rutgers,56,33-23,257
,South Dakota St.,52,24-28,257
125,St. John's (NY),53,28-25,256
,Cal St. Fullerton,56,32-24,256
127,Memphis,57,29-28,255
,Maine,53,32-21,255
129,Rider,57,36-21,254
,Western Caro.,54,21-33,254
131,Georgia,56,29-27,253
,Louisiana Tech,59,28-31,253
,Saint Joseph's,53,28-24-1,253
,Southeastern La.,50,25-25,253
,UTRGV,56,30-26,253
,Austin Peay,58,26-32,253
137,Toledo,55,26-29,252
,Arizona,59,33-26,252
139,High Point,54,20-34,251
,Nebraska,57,33-23-1,251
,Bowling Green,50,20-30,251
,McNeese,58,35-23,251
143,Rice,58,21-37,250
144,LIU,55,19-36,248
,Illinois,52,25-27,248
,James Madison,56,31-25,248
,Ark.-Pine Bluff,51,18-33,248
,Akron,55,21-34,248
