Rank,Name,G,W-L,HR,PG
1,FGCU,60,42-18,142,2.37
2,Maryland,63,42-21,131,2.08
3,Florida,71,54-17,146,2.06
4,LSU,71,54-17,144,2.03
5,Campbell,61,46-15,123,2.02
6,Wake Forest,66,54-12,130,1.97
7,Miami (FL),63,42-21,122,1.94
8,Mercer,58,33-25,111,1.91
9,Tennessee,66,44-22,126,1.91
10,DBU,63,47-16,119,1.89
11,Georgia St.,59,31-28,110,1.86
12,South Carolina,63,42-21,117,1.86
13,Virginia Tech,53,30-23,98,1.85
14,UCF,59,33-26,109,1.85
15,Stanford,64,44-20,117,1.83
16,Old Dominion,55,32-23,100,1.82
17,Georgia,56,29-27,101,1.8
18,Toledo,55,26-29,98,1.78
19,Oklahoma St.,61,41-20,108,1.77
20,Northeastern,60,44-16,106,1.77
21,Fairfield,55,37-18,97,1.76
22,Lipscomb,62,36-26,109,1.76
23,Alabama,64,43-21,112,1.75
24,Troy,62,40-22,108,1.74
25,Morehead St.,56,36-20,97,1.73
26,Duke,63,39-24,109,1.73
27,Mississippi St.,53,27-26,91,1.72
28,Coastal Carolina,63,42-21,108,1.71
29,South Dakota St.,52,24-28,89,1.71
,Illinois,52,25-27,89,1.71
31,New Mexico,51,26-25,87,1.71
32,Davidson,54,30-24,92,1.7
33,Nebraska,57,33-23-1,97,1.7
34,Samford,62,37-25,103,1.66
35,Arizona,59,33-26,98,1.66
36,Sacramento St.,56,30-26,92,1.64
37,Maine,53,32-21,87,1.64
38,California,52,24-28,85,1.63
39,Tennessee Tech,55,21-34,89,1.62
40,NC State,57,36-21,92,1.61
41,Charlotte,64,36-28,103,1.61
42,Oregon,63,41-22,101,1.6
43,Columbia,45,23-22,72,1.6
44,Missouri St.,56,33-23,89,1.59
45,Georgia Tech,57,30-27,90,1.58
46,Louisiana Tech,59,28-31,93,1.58
47,New Mexico St.,51,14-37,80,1.57
48,UC Santa Barbara,55,35-20,86,1.56
49,Georgetown,57,30-27,89,1.56
50,BYU,52,24-28,81,1.56
51,Ole Miss,54,25-29,83,1.54
52,Washington,55,35-20,84,1.53
53,Arizona St.,55,32-23,83,1.51
54,Arkansas,61,43-18,92,1.51
55,Rhode Island,52,23-29,78,1.5
,New Orleans,60,36-24,90,1.5
57,Saint Mary's (CA),51,23-28,76,1.49
58,Oral Roberts,66,52-14,98,1.48
59,Mount St. Mary's,52,25-27,77,1.48
60,Eastern Ky.,59,29-30,87,1.47
61,Eastern Mich.,53,27-26,78,1.47
62,Missouri,54,30-24,79,1.46
63,Oregon St.,61,41-20,89,1.46
64,Ball St.,59,36-23,86,1.46
,Fla. Atlantic,59,34-25,86,1.46
