Rank,Name,G,W-L,SH
1,Wofford,59,40-19,86
2,Jackson St.,53,28-25,58
3,Eastern Ill.,59,38-21,57
4,Western Ky.,59,33-26,56
5,Kentucky,61,40-21,55
6,Charleston So.,50,22-28,54
7,Mississippi Val.,52,15-37,52
,George Mason,63,36-27,52
9,UMES,55,18-37,51
10,James Madison,56,31-25,50
11,VMI,55,26-29,47
,Utah,55,22-32-1,47
13,UC Irvine,55,38-17,46
14,Mount St. Mary's,52,25-27,45
,Southern California,58,34-23-1,45
16,Mercer,58,33-25,44
17,Sacred Heart,58,28-30,43
,Cal St. Fullerton,56,32-24,43
19,Longwood,54,23-31,42
,Creighton,49,25-24,42
,UNCW,57,34-23,42
,Rutgers,56,33-23,42
,Winthrop,56,28-28,42
24,CSUN,51,34-17,41
25,Santa Clara,56,36-20,40
,Grambling,55,29-26,40
27,The Citadel,54,23-31,39
,Central Ark.,54,23-31,39
29,Oakland,60,29-31,38
30,East Carolina,66,47-19,37
,Northern Ky.,57,30-27,37
,Louisiana,65,41-24,37
,Elon,55,33-22,37
34,Kent St.,58,42-16,36
,Texas,64,42-22,36
,Quinnipiac,56,30-26,36
,Yale,40,17-23,36
38,Ga. Southern,56,27-29,35
,UTRGV,56,30-26,35
,Oregon St.,61,41-20,35
,South Alabama,54,23-31,35
42,West Virginia,60,40-20,34
,Coastal Carolina,63,42-21,34
44,Arkansas St.,51,20-31,33
,Southeast Mo. St.,56,26-30,33
46,Hawaii,49,29-20,32
,Washington St.,52,29-23,32
,Bradley,48,16-32,32
49,Butler,55,Dec-43,31
,Kennesaw St.,54,25-29,31
,NJIT,53,22-31,31
,USC Upstate,60,38-22,31
,Omaha,49,21-28,31
,San Diego,50,24-25-1,31
55,Bethune-Cookman,60,33-27,30
,UT Martin,56,22-34,30
,Western Ill.,52,Dec-40,30
,UConn,61,44-17,30
59,UAB,53,17-36,29
,Bowling Green,50,20-30,29
,William & Mary,57,32-25,29
,Miami (OH),56,21-35,29
,TCU,68,44-24,29
,Notre Dame,54,30-24,29
,Pacific,49,14-35,29
66,Liberty,58,27-31,28
,LIU,55,19-36,28
,Iowa,60,44-16,28
,Long Beach St.,55,33-22,28
,Oral Roberts,66,52-14,28
,Virginia,65,50-15,28
,California Baptist,58,28-30,28
,UCLA,53,28-24-1,28
74,A&M-Corpus Christi,54,24-30,27
75,Jacksonville,58,34-24,26
,Austin Peay,58,26-32,26
,Nebraska,57,33-23-1,26
,Towson,56,19-37,26
,Army West Point,56,38-18,26
,Central Mich.,57,34-23,26
81,LMU (CA),53,29-24,25
,Binghamton,52,29-23,25
,Fresno St.,57,30-27,25
,UCF,59,33-26,25
,Gardner-Webb,56,31-25,25
,ULM,54,17-37,25
,Saint Peter's,50,Sep-41,25
,Southern U.,51,23-28,25
,Lipscomb,62,36-26,25
,Maryland,63,42-21,25
,McNeese,58,35-23,25
,Richmond,55,27-28,25
93,Campbell,61,46-15,24
,Purdue,53,24-29,24
,Oklahoma,60,32-28,24
,N.C. A&T,47,19-28,24
,Northwestern St.,56,29-27,24
,Belmont,60,27-33,24
99,Tulane,61,19-42,23
,Wake Forest,66,54-12,23
,Rice,58,21-37,23
,St. John's (NY),53,28-25,23
,Minnesota,52,18-34,23
,Nicholls,58,34-24,23
,Oregon,63,41-22,23
,Michigan St.,55,33-22,23
107,Georgetown,57,30-27,22
,Kansas St.,59,35-24,22
,Purdue Fort Wayne,56,13-43,22
,Alabama A&M,48,14-34,22
,Cal Poly,56,21-35,22
,FDU,53,31-21-1,22
,Middle Tenn.,56,27-29,22
,Saint Louis,56,33-23,22
,San Diego St.,53,24-29,22
,Siena,55,14-41,22
,UNC Greensboro,59,25-34,22
,North Dakota St.,53,23-30,22
,Vanderbilt,62,42-20,22
120,Florida A&M,59,29-30,21
,Alabama,64,43-21,21
,Baylor,55,20-35,21
,CSU Bakersfield,52,18-34,21
,Cincinnati,57,24-33,21
,Clemson,63,44-19,21
,Samford,62,37-25,21
,Seton Hall,55,31-24,21
,South Carolina,63,42-21,21
,SIUE,54,26-28,21
,UT Arlington,58,29-29,21
,High Point,54,20-34,21
,Maine,53,32-21,21
,Hofstra,52,26-26,21
134,Lehigh,50,24-26,20
,BYU,52,24-28,20
,Wagner,56,32-24,20
,Monmouth,46,16-30,20
,Prairie View,57,20-37,20
,Sam Houston,64,39-25,20
,Grand Canyon,58,37-21,20
141,Lamar University,55,32-23,19
,ETSU,55,26-29,19
,Navy,50,23-27,19
,Western Caro.,54,21-33,19
,Western Mich.,52,21-31,19
,Ark.-Pine Bluff,51,18-33,19
,Morehead St.,56,36-20,19
,Murray St.,59,31-28,19
,Northwestern,50,Oct-40,19
,Penn,50,34-16,19
151,Fla. Atlantic,59,34-25,18
,Ohio,49,19-30,18
,Georgia St.,59,31-28,18
,Georgia,56,29-27,18
,Louisiana Tech,59,28-31,18
,Alabama St.,59,41-18,18
,Boston College,57,37-20,18
,Eastern Mich.,53,27-26,18
,Wright St.,62,39-23,18
,Xavier,64,39-25,18
,Pittsburgh,55,24-31,18
,Texas Southern,53,31-22,18
,Toledo,55,26-29,18
,Marist,52,16-36,18
,North Ala.,51,14-37,18
,Florida St.,54,23-31,18
167,Indiana,63,43-20,17
,Alcorn,48,Aug-40,17
,California,52,24-28,17
,UC Riverside,52,Nov-41,17
,Coppin St.,52,21-31,17
,Davidson,54,30-24,17
,Niagara,47,24-22-1,17
