Rank,Name,App,W-L,IP,SO,BB,K/BB
1,Wake Forest,0,54-12,581,779,183,4.26
2,Tennessee,0,44-22,568,738,183,4.03
3,Wofford,0,40-19,521,473,138,3.43
4,East Carolina,0,47-19,593,663,214,3.1
5,Virginia,0,50-15,573,627,203,3.09
6,Elon,0,33-22,488,474,155,3.06
7,South Carolina,0,42-21,541,608,205,2.97
8,LSU,0,54-17,612,798,271,2.94
9,UCLA,0,28-24-1,471,507,173,2.93
10,Wichita St.,0,30-25,474,505,177,2.85
11,Long Beach St.,0,33-22,492,549,193,2.84
12,DBU,0,47-16,558,656,234,2.8
13,UC Irvine,0,38-17,492,474,170,2.79
14,Indiana St.,0,45-17,558,534,193,2.77
15,Washington St.,0,29-23,454,518,188,2.76
16,Southern Miss.,0,46-20,580,654,242,2.7
17,Grand Canyon,0,37-21,518,525,195,2.69
18,Miami (FL),0,42-21,551,602,224,2.69
19,Oral Roberts,0,52-14,582,615,229,2.69
20,NC State,0,36-21,504,552,210,2.63
21,Duke,0,39-24,562,675,258,2.62
22,Oregon St.,0,41-20,542,580,222,2.61
23,Charlotte,0,36-28,559,619,238,2.6
24,UC Santa Barbara,0,35-20,488,569,220,2.59
25,LMU (CA),0,29-24,468,424,166,2.55
26,Boston College,0,37-20,506,510,201,2.54
27,Northeastern,0,44-16,530,466,185,2.52
28,Southeast Mo. St.,0,26-30,478,455,181,2.51
29,Alabama,0,43-21,555,593,236,2.51
30,Nebraska,0,33-23-1,494,469,191,2.46
31,Fresno St.,0,30-27,504,478,195,2.45
32,Santa Clara,0,36-20,502,484,198,2.44
33,UTSA,0,38-19,503,473,194,2.44
34,Lipscomb,0,36-26,539,557,229,2.43
35,Wright St.,0,39-23,539,524,216,2.43
36,UCF,0,33-26,518,603,249,2.42
37,Vanderbilt,0,42-20,547,600,251,2.39
38,William & Mary,0,32-25,500,470,197,2.39
39,Oklahoma St.,0,41-20,527,627,263,2.38
40,Florida,0,54-17,613,725,305,2.38
41,Clemson,0,44-19,561,604,255,2.37
42,Kansas St.,0,35-24,507,507,215,2.36
43,Arizona,0,33-26,524,478,203,2.35
44,Penn,0,34-16,440,520,222,2.34
45,Xavier,0,39-25,561,491,211,2.33
46,San Diego St.,0,24-29,456,492,212,2.32
47,UTRGV,0,30-26,486,528,229,2.31
48,Bethune-Cookman,0,33-27,520,521,226,2.31
49,Alabama St.,0,41-18,514,523,227,2.3
50,Kent St.,0,42-16,512,547,240,2.28
51,Stetson,0,35-23,494,543,239,2.27
52,Northwestern St.,0,29-27,486,469,207,2.27
53,Cal Poly,0,21-35,495,463,205,2.26
54,Evansville,0,37-24,541,505,225,2.24
55,Indiana,0,43-20,556,593,267,2.22
56,Memphis,0,29-28,496,493,222,2.22
57,West Virginia,0,40-20,527,510,230,2.22
58,Col. of Charleston,0,36-22,520,463,210,2.2
59,New Mexico,0,26-25,435,341,155,2.2
60,UConn,0,44-17,543,554,252,2.2
61,Notre Dame,0,30-24,474,444,202,2.2
62,Kentucky,0,40-21,526,537,245,2.19
63,Illinois,0,25-27,462,431,199,2.17
64,Missouri St.,0,33-23,501,517,239,2.16
65,Southern California,0,34-23-1,514,466,216,2.16
66,Arkansas,0,43-18,530,552,257,2.15
67,Western Ky.,0,33-26,516,473,221,2.14
68,Sam Houston,0,39-25,554,518,243,2.13
69,TCU,0,44-24,599,573,269,2.13
70,Saint Mary's (CA),0,23-28,451,413,194,2.13
71,Troy,0,40-22,541,636,299,2.13
72,Stanford,0,44-20,577,671,316,2.12
73,Cal St. Fullerton,0,32-24,503,490,232,2.11
74,Sacramento St.,0,30-26,485,464,220,2.11
75,Army West Point,0,38-18,477,451,214,2.11
76,Missouri,0,30-24,449,484,230,2.1
77,Central Mich.,0,34-23,507,473,225,2.1
78,Coastal Carolina,0,42-21,561,649,309,2.1
79,Nicholls,0,34-24,522,445,212,2.1
80,Murray St.,0,31-28,509,480,229,2.1
81,Lamar University,0,32-23,495,425,203,2.09
82,Bryant,0,26-24,429,431,207,2.08
83,Dayton,0,26-34,517,552,267,2.07
84,Texas St.,0,36-23,520,536,260,2.06
85,Utah Valley,0,34-24,488,480,233,2.06
86,Texas,0,42-22,565,560,273,2.05
87,Washington,0,35-20,493,424,207,2.05
88,UIW,0,28-26,473,418,205,2.04
89,Charleston So.,0,22-28,427,419,206,2.03
90,Iowa,0,44-16,522,630,310,2.03
91,Utah,0,22-32-1,479,451,222,2.03
92,Louisville,0,31-24,481,514,254,2.02
93,San Diego,0,24-25-1,434,408,202,2.02
94,Illinois St.,0,20-30,435,411,204,2.01
95,Portland,0,31-23,473,457,227,2.01
96,Fla. Atlantic,0,34-25,523,491,244,2.01
97,North Carolina,0,36-24,534,527,262,2.01
98,South Fla.,0,21-39,522,517,258,2
99,Campbell,0,46-15,546,565,282,2
100,Eastern Ill.,0,38-21,518,418,209,2
,Hawaii,0,29-20,429,402,201,2
102,Old Dominion,0,32-23,491,462,232,1.99
103,Quinnipiac,0,30-26,485,410,206,1.99
104,Texas A&M,0,38-27,566,633,320,1.98
105,CSUN,0,34-17,448,394,200,1.97
106,Ole Miss,0,25-29,459,522,266,1.96
107,LIU,0,19-36,472,465,237,1.96
108,Georgia St.,0,31-28,515,503,257,1.96
109,Samford,0,37-25,532,526,269,1.96
110,North Dakota St.,0,23-30,451,391,200,1.96
111,Harvard,0,20-24,380,385,197,1.95
112,Texas Tech,0,41-23,566,589,302,1.95
113,Belmont,0,27-33,524,483,248,1.95
114,Louisiana,0,41-24,569,512,263,1.95
115,Presbyterian,0,21-34,474,408,210,1.94
116,Arizona St.,0,32-23,484,458,236,1.94
117,Gardner-Webb,0,31-25,492,456,235,1.94
118,Florida St.,0,23-31,477,518,267,1.94
119,Winthrop,0,28-28,496,494,255,1.94
120,Georgetown,0,30-27,491,473,245,1.93
121,Louisiana Tech,0,28-31,527,442,229,1.93
122,McNeese,0,35-23,513,456,237,1.92
123,Richmond,0,27-28,469,446,233,1.91
124,George Mason,0,36-27,555,516,270,1.91
125,Jacksonville,0,34-24,512,508,267,1.9
126,California Baptist,0,28-30,508,487,256,1.9
127,Virginia Tech,0,30-23,464,521,274,1.9
128,Rice,0,21-37,506,478,252,1.9
129,California,0,24-28,450,396,209,1.89
130,Nevada,0,20-33,459,458,242,1.89
131,Navy,0,23-27,415,338,180,1.88
132,UT Arlington,0,29-29,497,411,219,1.88
133,Rutgers,0,33-23,494,517,276,1.87
134,UNLV,0,21-30,444,361,193,1.87
135,Binghamton,0,29-23,442,385,206,1.87
136,Central Ark.,0,23-31,465,443,239,1.85
137,New Mexico St.,0,14-37,433,376,203,1.85
138,Jacksonville St.,0,27-30,483,474,257,1.84
139,Ga. Southern,0,27-29,479,446,242,1.84
140,Georgia,0,29-27,483,507,276,1.84
141,Mercer,0,33-25,498,466,254,1.83
142,Seton Hall,0,31-24,481,429,234,1.83
143,Kennesaw St.,0,25-29,466,461,252,1.83
144,ETSU,0,26-29,462,431,236,1.83
145,Rhode Island,0,23-29,450,460,252,1.83
146,Texas Southern,0,31-22,432,464,255,1.82
147,Pittsburgh,0,24-31,475,473,260,1.82
148,Michigan St.,0,33-22,477,403,222,1.82
149,Tulane,0,19-42,519,543,300,1.81
150,South Alabama,0,23-31,468,485,268,1.81
151,Michigan,0,28-28,486,443,245,1.81
152,North Florida,0,28-27,479,399,221,1.81
153,Ohio St.,0,31-25,481,514,285,1.8
154,UAB,0,17-36,463,391,217,1.8
155,USC Upstate,0,38-22,535,497,276,1.8
156,Brown,0,26-Dec,332,351,195,1.8
157,NJIT,0,22-31,443,361,201,1.8
158,St. John's (NY),0,28-25,463,416,232,1.79
159,Holy Cross,0,16-35,406,350,196,1.79
160,Omaha,0,21-28,410,381,214,1.78
161,A&M-Corpus Christi,0,24-30,461,411,231,1.78
162,Kansas,0,25-32,491,418,235,1.78
163,Purdue,0,24-29,457,385,217,1.77
164,Houston,0,36-23,524,528,298,1.77
165,N.C. A&T,0,19-28,411,364,208,1.75
166,Auburn,0,34-23-1,509,502,287,1.75
167,Saint Joseph's,0,28-24-1,457,440,253,1.74
168,Georgia Tech,0,30-27,498,521,300,1.74
169,Sacred Heart,0,28-30,514,433,250,1.73
170,Miami (OH),0,21-35,490,594,343,1.73
171,Abilene Christian,0,35-24,509,498,288,1.73
172,Fairfield,0,37-18,478,402,233,1.73
173,FIU,0,21-34,485,452,262,1.73
174,Yale,0,17-23,350,295,171,1.73
175,Marshall,0,16-37,466,468,272,1.72
176,ULM,0,17-37,465,420,245,1.71
,Baylor,0,20-35,486,492,287,1.71
178,Southern Ill.,0,30-27,500,449,262,1.71
179,UT Martin,0,22-34,471,381,223,1.71
180,Penn St.,0,25-25,432,411,241,1.71
181,Northwestern,0,Oct-40,430,371,218,1.7
182,Canisius,0,26-25-1,437,486,286,1.7
183,Milwaukee,0,25-32,482,463,273,1.7
184,Middle Tenn.,0,27-29,489,414,245,1.69
185,Northern Ky.,0,30-27,498,444,263,1.69
186,South Dakota St.,0,24-28,429,442,262,1.69
187,FGCU,0,42-18,509,487,289,1.69
188,Mississippi St.,0,27-26,453,538,321,1.68
189,Bowling Green,0,20-30,422,362,217,1.67
190,Lehigh,0,24-26,412,357,215,1.66
191,Central Conn. St.,0,36-14,442,357,217,1.65
192,BYU,0,24-28,449,388,238,1.63
