Rank,Name,G,W-L,AB,H,BA
1,Austin Peay,56,35-21,2038,732,0.359
2,Wofford,62,42-20,2142,716,0.334
3,Virginia,63,46-17,2261,752,0.333
4,Jackson St.,56,36-20,1850,599,0.324
5,Alabama St.,56,29-27,1927,618,0.321
6,Morehead St.,61,37-24,2178,696,0.32
7,New Mexico,54,28-26,1883,600,0.319
8,ETSU,56,36-20,1923,611,0.318
9,Florida St.,66,49-17,2317,729,0.315
10,Northern Ky.,59,35-24,2047,644,0.315
11,UC Irvine,59,45-14,2129,668,0.314
12,Arizona St.,58,32-26,2080,652,0.313
13,Western Mich.,55,32-23,1908,597,0.313
14,Grand Canyon,61,36-25,2133,667,0.313
15,Virginia Tech,54,32-22,1863,582,0.312
16,Wright St.,56,32-24,1973,615,0.312
17,Louisville,56,32-24,1922,597,0.311
18,Oklahoma,61,40-21,2080,646,0.311
19,Samford,58,36-22,1963,609,0.31
20,Tennessee,73,60-13,2463,764,0.31
21,Duke,60,40-20,2091,648,0.31
22,Northeastern,55,38-17,1928,597,0.31
23,Grambling,54,26-28,1803,558,0.309
24,East Carolina,63,46-17,2174,671,0.309
25,Rutgers,53,28-25,1860,571,0.307
26,Columbia,44,26-18,1589,487,0.306
27,Col. of Charleston,55,41-14,1926,589,0.306
28,Penn St.,53,29-24,1822,557,0.306
29,Georgia Tech,58,33-25,1968,600,0.305
30,Niagara,55,38-17,1946,593,0.305
31,USC Upstate,60,36-24,2099,637,0.303
32,Fairfield,58,34-24,1987,603,0.303
33,Georgia,60,43-17,2049,621,0.303
34,Nicholls,60,38-22,2038,617,0.303
35,Bowling Green,53,33-20,1858,562,0.302
36,Saint Louis,53,37-16,1852,560,0.302
37,Alabama,57,33-24,1961,592,0.302
38,North Carolina,64,48-16,2213,668,0.302
39,DBU,60,45-15,2074,625,0.301
40,UTSA,56,32-24,1958,590,0.301
41,Florida A&M,56,29-27,1909,575,0.301
42,Louisiana,62,42-20,2092,630,0.301
43,San Diego,56,41-15,2008,604,0.301
44,Iowa,54,31-23,1872,563,0.301
45,Merrimack,59,33-26,2095,630,0.301
46,George Washington,57,31-26,1977,594,0.3
47,Eastern Mich.,52,14-38,1796,539,0.3
48,New Mexico St.,54,25-29,1861,558,0.3
49,UNLV,52,26-26,1840,551,0.299
50,Evansville,65,39-26,2240,669,0.299
51,Dayton,55,33-22,1887,563,0.298
52,Oakland,58,31-27,1981,591,0.298
53,Texas A&M,68,53-15,2339,697,0.298
54,Texas Tech,59,33-26,2056,612,0.298
55,Clemson,60,44-16,2107,627,0.298
56,James Madison,61,36-25,2016,599,0.297
57,Oregon St.,61,45-16,2057,611,0.297
58,Kansas,54,31-23,1858,551,0.297
59,Louisiana Tech,64,45-19,2260,670,0.296
60,Prairie View,55,29-26,1738,515,0.296
61,Coastal Carolina,61,36-25,2057,609,0.296
62,UC Santa Barbara,58,44-14,2020,598,0.296
63,App State,55,33-21-1,1948,576,0.296
64,Saint Mary's (CA),56,34-22,1928,570,0.296
65,Indiana,60,33-26-1,2117,625,0.295
66,Hofstra,57,24-33,1996,589,0.295
67,Murray St.,57,37-20,2006,591,0.295
68,Indiana St.,59,44-15,2028,597,0.294
69,Southern Miss.,63,43-20,2145,631,0.294
70,Portland,56,37-19,1979,582,0.294
71,Nevada,51,25-26,1809,532,0.294
72,Hawaii,53,37-16,1777,522,0.294
73,Illinois,56,35-21,1938,569,0.294
74,Central Conn. St.,42,18-24,1506,442,0.293
75,High Point,62,35-27,2100,616,0.293
76,FIU,57,27-30,1937,568,0.293
77,Cal Poly,57,35-22,1976,579,0.293
78,Michigan St.,51,24-27,1772,519,0.293
79,VMI,56,27-29,1810,530,0.293
80,Ball St.,59,35-23-1,2006,586,0.292
81,Ark.-Pine Bluff,49,15-34,1616,472,0.292
82,New Orleans,57,31-26,1915,559,0.292
83,California,55,36-19,1915,559,0.292
84,Campbell,53,31-22,1814,529,0.292
85,Western Caro.,54,28-26,1869,545,0.292
86,Illinois St.,57,30-27,1955,570,0.292
87,Sam Houston,58,34-24,1957,569,0.291
88,Troy,59,37-22,1969,572,0.291
89,Southeast Mo. St.,63,36-27,2155,625,0.29
90,Fresno St.,62,33-29,2121,615,0.29
91,UIC,55,35-20,1866,541,0.29
92,Stetson,63,41-22,2104,608,0.289
93,Utah Valley,58,29-29,2019,583,0.289
94,Utah,55,33-22,1923,555,0.289
95,Creighton,52,35-17,1740,502,0.289
96,Purdue,57,33-24,1915,552,0.288
97,Cornell,38,17-21,1364,393,0.288
98,Nebraska,62,40-22,2107,607,0.288
99,Texas,60,36-24,2076,598,0.288
100,Georgetown,57,36-21,1981,570,0.288
101,NC State,61,38-23,2086,600,0.288
102,Penn,49,24-25,1753,504,0.288
103,Wichita St.,61,32-29,2092,600,0.287
104,Richmond,59,27-32,2002,574,0.287
105,Air Force,55,27-28,1854,531,0.286
106,California Baptist,62,38-24,2109,604,0.286
107,South Fla.,55,26-29,1816,520,0.286
108,Southern Ill.,60,33-27,2097,600,0.286
109,UTRGV,54,29-25,1837,525,0.286
110,Vanderbilt,61,38-23,2026,579,0.286
111,Delaware St.,49,22-27,1724,492,0.285
112,FGCU,56,30-26,1922,548,0.285
113,Lamar University,59,44-15,2015,574,0.285
114,Eastern Ill.,53,20-33,1858,529,0.285
115,Harvard,39,13-26,1384,394,0.285
116,St. John's (NY),57,38-18-1,1951,555,0.284
117,UNC Greensboro,54,33-21,1843,524,0.284
118,LSU,66,43-23,2202,626,0.284
119,UIW,57,26-31,1927,547,0.284
120,Bucknell,46,22-24,1466,416,0.284
121,South Dakota St.,49,20-29,1719,487,0.283
122,George Mason,53,21-32,1792,507,0.283
123,Stanford,55,22-33,1899,537,0.283
124,Mercer,58,29-29,1946,550,0.283
125,Minnesota,48,25-23,1688,477,0.283
126,Oklahoma St.,61,42-19,2096,592,0.282
127,Pittsburgh,55,26-29,1836,518,0.282
128,Abilene Christian,58,33-25,1900,536,0.282
129,Southeastern La.,58,30-28,1943,548,0.282
130,Butler,55,20-35,1943,548,0.282
131,Kennesaw St.,56,32-24,1876,529,0.282
132,Kentucky,62,46-16,2011,567,0.282
133,UCF,58,37-21,1983,559,0.282
134,Miami (OH),54,27-27,1863,525,0.282
135,Oregon,60,40-20,2042,575,0.282
136,Southern U.,51,22-29,1681,473,0.281
137,Georgia St.,57,25-32,1959,551,0.281
138,SIUE,56,21-34-1,1902,533,0.28
139,UT Martin,56,21-35,1942,544,0.28
140,Middle Tenn.,56,20-36,1908,534,0.28
141,Mississippi St.,63,40-23,2094,586,0.28
142,Ohio St.,55,29-26,1859,520,0.28
143,Delaware,57,31-26,1999,559,0.28
144,Cincinnati,57,32-25,1948,544,0.279
145,A&M-Corpus Christi,57,22-35,1917,535,0.279
146,UNCW,61,40-21,2083,581,0.279
147,Ga. Southern,59,33-26,1954,545,0.279
148,Tulane,62,36-26,2112,589,0.279
149,Houston,54,26-28,1831,510,0.279
150,Bryant,57,36-21,1916,533,0.278
151,Saint Joseph's,55,29-26,1899,528,0.278
152,Bethune-Cookman,59,32-27,1961,545,0.278
153,St. Bonaventure,49,18-31,1678,466,0.278
154,Arizona,59,36-23,2050,569,0.278
155,Missouri St.,57,23-34,1974,547,0.277
156,CSUN,54,30-24,1830,507,0.277
157,Wake Forest,60,38-22,2040,565,0.277
158,Western Ky.,58,36-22,1801,498,0.277
159,VCU,61,38-23,2106,582,0.276
160,UMass Lowell,55,24-31,1913,528,0.276
161,McNeese,59,32-27,1982,547,0.276
162,Navy,51,28-23,1627,449,0.276
163,Auburn,53,27-26,1733,478,0.276
164,FDU,56,26-30,1897,523,0.276
165,Davidson,52,24-28,1723,474,0.275
166,Miami (FL),57,27-30,1934,532,0.275
167,Sacred Heart,58,35-23,1939,533,0.275
168,Liberty,58,24-34,1973,542,0.275
169,Southern California,59,31-28,2015,553,0.274
170,South Carolina,62,37-25,2039,559,0.274
171,LMU (CA),54,24-30,1839,504,0.274
172,Army West Point,54,31-23,1672,458,0.274
173,Ohio,50,18-32,1706,467,0.274
174,Elon,53,21-32,1788,489,0.273
175,N.C. A&T,53,25-28,1807,494,0.273
176,ULM,55,25-30,1804,493,0.273
177,Baylor,53,22-31,1797,491,0.273
178,Tennessee Tech,55,29-26,1852,506,0.273
179,NJIT,54,26-28,1905,520,0.273
180,UC Riverside,52,16-36,1804,492,0.273
181,Little Rock,56,32-24,1951,532,0.273
182,Maryland,56,34-22,1909,519,0.272
183,LIU,58,33-25,1950,530,0.272
184,Kansas St.,61,35-26,2094,569,0.272
185,Xavier,57,30-27,1956,531,0.271
186,Purdue Fort Wayne,56,19-37,1884,511,0.271
187,UConn,61,35-26,2069,561,0.271
188,Jacksonville,58,27-31,1923,521,0.271
189,Arkansas,60,44-16,1977,535,0.271
190,TCU,54,33-21,1804,488,0.271
191,Oral Roberts,60,27-32-1,2048,554,0.271
192,Texas St.,56,27-29,1856,502,0.27
193,Washington St.,53,21-32,1860,503,0.27
194,William & Mary,58,32-26,1927,521,0.27
195,Mississippi Val.,46,Dec-34,1455,393,0.27
196,Texas Southern,48,23-25,1496,404,0.27
197,UNC Asheville,50,22-28,1689,456,0.27
198,West Virginia,60,36-24,2004,541,0.27
199,Mount St. Mary's,57,22-34-1,1920,518,0.27
200,Youngstown St.,60,16-44,1998,539,0.27
201,Florida,66,36-30,2254,608,0.27
202,Milwaukee,55,19-36,1850,498,0.269
203,Bradley,51,13-37-1,1672,450,0.269
204,UMBC,52,27-25,1785,480,0.269
205,Binghamton,50,21-29,1723,463,0.269
206,Quinnipiac,50,20-30,1668,448,0.269
207,Eastern Ky.,58,21-37,1926,517,0.268
208,San Diego St.,54,17-37,1856,498,0.268
209,Boston College,53,22-31,1737,466,0.268
210,Longwood,52,23-29,1660,445,0.268
211,Notre Dame,52,27-25,1747,468,0.268
212,Towson,54,15-39,1842,493,0.268
213,Northern Colo.,55,16-38-1,1858,495,0.266
214,Rider,51,28-23,1746,465,0.266
215,Massachusetts,53,24-29,1769,471,0.266
216,Omaha,51,18-32-1,1751,464,0.265
217,Monmouth,48,18-30,1650,437,0.265
218,Marist,55,20-35,1821,482,0.265
219,Santa Clara,52,26-26,1814,480,0.265
220,Dartmouth,39,13-26,1340,354,0.264
221,San Jose St.,57,24-33,1999,528,0.264
222,Sacramento St.,57,26-31,1936,511,0.264
223,Toledo,59,27-32,2008,530,0.264
224,Pepperdine,53,15-38,1804,476,0.264
225,Lipscomb,56,22-34,1842,486,0.264
226,UCLA,52,19-33,1770,467,0.264
227,Houston Christian,49,18-31,1590,419,0.264
228,The Citadel,53,21-32,1733,456,0.263
229,Seattle U,53,17-36,1807,475,0.263
230,Seton Hall,54,24-30,1820,478,0.263
231,North Dakota St.,51,20-30-1,1746,458,0.262
232,Kent St.,54,27-27,1830,480,0.262
233,Radford,50,16-34,1644,431,0.262
234,Presbyterian,56,29-27,1779,466,0.262
235,Lehigh,48,24-23-1,1520,398,0.262
236,Northwestern St.,55,22-33,1818,476,0.262
237,Manhattan,52,22-30,1723,451,0.262
238,Maine,49,Dec-37,1588,414,0.261
239,Stony Brook,52,24-28,1758,458,0.261
240,Central Ark.,56,26-30,1832,477,0.26
241,Alcorn,49,Jun-43,1511,393,0.26
242,Charleston So.,54,22-32,1812,471,0.26
243,CSU Bakersfield,53,15-38,1813,471,0.26
244,UT Arlington,56,22-34,1869,485,0.259
245,Wagner,56,26-30,1901,493,0.259
246,Alabama A&M,51,13-38,1597,414,0.259
247,Valparaiso,52,14-38,1745,452,0.259
248,Fla. Atlantic,57,28-29,1859,481,0.259
249,Charlotte,58,24-34,1906,493,0.259
250,Iona,50,Dec-38,1702,440,0.259
251,NIU,54,21-33,1809,467,0.258
252,Central Mich.,55,17-38,1826,471,0.258
253,Belmont,58,26-32,1966,507,0.258
254,Jacksonville St.,52,18-34,1730,446,0.258
255,UAB,55,26-29,1831,471,0.257
256,Winthrop,49,19-29-1,1567,403,0.257
257,Siena,52,Dec-40,1700,437,0.257
258,Yale,41,18-23,1328,341,0.257
259,Michigan,60,32-28,2040,523,0.256
260,Gardner-Webb,53,22-31,1730,443,0.256
261,Fordham,52,19-33,1727,441,0.255
262,Ole Miss,56,27-29,1827,466,0.255
263,UC Davis,56,29-27,1926,491,0.255
264,Princeton,44,18-26,1524,388,0.255
265,Arkansas St.,54,21-32-1,1768,450,0.255
266,Memphis,55,23-32,1876,477,0.254
267,Norfolk St.,53,Dec-41,1849,470,0.254
268,Saint Peter's,52,Dec-40,1713,434,0.253
269,Missouri,55,23-32,1822,461,0.253
270,Holy Cross,53,26-27,1684,426,0.253
271,North Ala.,54,18-35-1,1799,454,0.252
272,Brown,39,28-Nov,1291,325,0.252
273,BYU,52,21-31,1783,448,0.251
274,Gonzaga,53,21-32,1788,449,0.251
275,Rice,59,23-36,2001,502,0.251
276,Western Ill.,50,13-37,1663,416,0.25
277,Akron,54,15-39,1797,449,0.25
278,Villanova,51,18-33,1731,432,0.25
279,Old Dominion,57,31-26,1861,464,0.249
280,Washington,51,19-31-1,1781,442,0.248
281,Canisius,48,18-30,1607,398,0.248
282,SFA,54,Oct-44,1765,437,0.248
283,South Alabama,56,31-25,1781,440,0.247
284,North Florida,52,21-30-1,1709,421,0.246
285,Long Beach St.,55,25-29-1,1827,447,0.245
286,Lafayette,49,14-35,1515,369,0.244
287,UAlbany,50,15-34-1,1584,385,0.243
288,Cal St. Fullerton,54,16-38,1780,431,0.242
289,Rhode Island,47,19-28,1549,374,0.241
290,Northwestern,52,18-34,1751,422,0.241
291,Coppin St.,45,Dec-33,1511,362,0.24
292,San Francisco,55,21-34,1764,412,0.234
293,Marshall,55,18-37,1814,422,0.233
294,UMES,48,0-48,1541,343,0.223
295,Pacific,55,Nov-44,1799,387,0.215
296,St. Thomas (MN),46,22-24,1641,487,0.297
297,Tarleton St.,61,32-29,2051,586,0.286
298,Stonehill,47,18-29,1649,462,0.28
299,Southern Ind.,59,27-32,1984,554,0.279
300,Bellarmine,55,Oct-45,1793,487,0.272
301,UC San Diego,53,30-23,1795,480,0.267
302,Queens (NC),55,14-41,1851,493,0.266
303,Lindenwood,54,16-38,1813,461,0.254
304,Utah Tech,56,14-42,1845,466,0.253
305,Le Moyne,50,22-27-1,1688,425,0.252
