Rank,Name,G,W-L,2B
1,Tennessee,73,60-13,160
2,Evansville,65,39-26,159
3,Austin Peay,56,35-21,156
4,Virginia,63,46-17,151
5,Fresno St.,62,33-29,148
6,Arizona St.,58,32-26,143
7,Nevada,51,25-26,142
8,Samford,58,36-22,141
9,Indiana,60,33-26-1,140
10,Florida St.,66,49-17,138
11,UC Irvine,59,45-14,137
12,Southern Miss.,63,43-20,135
13,Col. of Charleston,55,41-14,135
14,Morehead St.,61,37-24,134
15,DBU,60,45-15,134
16,Texas A&M,68,53-15,132
17,California Baptist,62,38-24,132
18,Texas,60,36-24,132
19,Columbia,44,26-18,131
20,Kentucky,62,46-16,130
21,Louisiana,62,42-20,130
22,Wofford,62,42-20,129
23,Northeastern,55,38-17,129
24,Kansas,54,31-23,129
25,Wichita St.,61,32-29,129
26,Oklahoma,61,40-21,129
27,Nebraska,62,40-22,128
28,Northern Ky.,59,35-24,128
29,Coastal Carolina,61,36-25,128
30,Texas Tech,59,33-26,128
31,Bryant,57,36-21,128
32,Oregon St.,61,45-16,128
33,Nicholls,60,38-22,127
34,FGCU,56,30-26,127
35,Oklahoma St.,61,42-19,127
36,Vanderbilt,61,38-23,126
37,James Madison,61,36-25,126
38,Michigan,60,32-28,126
39,Grand Canyon,61,36-25,125
40,Louisville,56,32-24,125
41,George Washington,57,31-26,125
42,High Point,62,35-27,125
43,Delaware,57,31-26,124
44,Tulane,62,36-26,124
45,Duke,60,40-20,123
46,Liberty,58,24-34,123
47,Georgia,60,43-17,123
48,ETSU,56,36-20,123
49,Wright St.,56,32-24,122
50,New Mexico,54,28-26,121
51,Southern Ill.,60,33-27,121
52,St. John's (NY),57,38-18-1,121
53,UNLV,52,26-26,120
54,LSU,66,43-23,120
55,Alabama St.,56,29-27,120
56,Portland,56,37-19,119
57,Cal Poly,57,35-22,119
58,Western Caro.,54,28-26,119
59,Troy,59,37-22,119
60,Louisiana Tech,64,45-19,118
61,Oakland,58,31-27,118
62,Purdue,57,33-24,117
63,Wake Forest,60,38-22,117
64,Georgia Tech,58,33-25,117
65,Florida,66,36-30,117
66,UConn,61,35-26,117
67,North Carolina,64,48-16,116
68,Miami (FL),57,27-30,115
69,UT Martin,56,21-35,115
70,UT Arlington,56,22-34,114
71,VCU,61,38-23,114
