Rank,Name,G,W-L,IP,R,ER,ERA
1,Hawaii,53,37-16,476.1,227,200,3.78
2,Lamar University,59,44-15,517.1,251,218,3.79
3,UC Santa Barbara,58,44-14,516,249,220,3.84
4,Texas A&M,68,53-15,592,286,254,3.86
5,Arkansas,60,44-16,523.2,245,225,3.87
6,Tennessee,73,60-13,622,301,269,3.89
7,DBU,60,45-15,525.2,270,234,4.01
8,East Carolina,63,46-17,554,293,249,4.05
9,Col. of Charleston,55,41-14,491.2,260,221,4.05
10,Oregon St.,61,45-16,530.2,287,240,4.07
11,Oklahoma St.,61,42-19,544.1,282,247,4.08
12,San Diego,56,41-15,511.1,263,236,4.15
13,Mississippi St.,63,40-23,553,277,256,4.17
14,Cal Poly,57,35-22,516,262,242,4.22
15,North Carolina,64,48-16,558.2,307,267,4.3
16,Army West Point,54,31-23,438.2,255,212,4.35
17,St. John's (NY),57,38-18-1,510.2,285,247,4.35
18,LSU,66,43-23,575.2,312,279,4.36
19,Portland,56,37-19,495.2,283,242,4.39
20,UCF,58,37-21,509.2,289,251,4.43
21,Arizona,59,36-23,524.2,301,260,4.46
22,Louisiana,62,42-20,540,309,269,4.48
23,UNCW,61,40-21,543.1,309,271,4.49
24,Duke,60,40-20,524.1,292,262,4.5
25,Indiana St.,59,44-15,514,295,258,4.52
26,Nebraska,62,40-22,547.1,319,280,4.6
27,Long Beach St.,55,25-29-1,495.2,312,254,4.61
28,Clemson,60,44-16,536.2,336,276,4.63
29,Old Dominion,57,31-26,495.1,292,257,4.67
30,Georgetown,57,36-21,501.1,319,261,4.69
31,Grand Canyon,61,36-25,527.2,324,275,4.69
32,TCU,54,33-21,475.1,267,248,4.7
33,Bethune-Cookman,59,32-27,512.2,326,268,4.7
34,William & Mary,58,32-26,506,348,267,4.75
35,San Francisco,55,21-34,481.1,299,254,4.75
36,Sacred Heart,58,35-23,510,333,270,4.76
37,Sam Houston,58,34-24,504,292,267,4.77
38,Yale,41,18-23,354.2,225,189,4.8
39,UC Davis,56,29-27,503,306,269,4.81
40,Seton Hall,54,24-30,470.2,291,252,4.82
41,Kansas,54,31-23,470.1,293,252,4.82
42,California,55,36-19,487,299,262,4.84
43,VCU,61,38-23,539,341,291,4.86
44,Southern California,59,31-28,523.1,335,283,4.87
45,Oregon,60,40-20,535.1,318,290,4.88
46,UC Irvine,59,45-14,537.2,332,293,4.9
47,Texas,60,36-24,537,328,293,4.91
48,Stetson,63,41-22,539.1,322,295,4.92
49,Saint Louis,53,37-16,462.1,286,253,4.93
50,Florida St.,66,49-17,584.1,356,320,4.93
51,West Virginia,60,36-24,527.1,311,289,4.93
52,Creighton,52,35-17,452.1,280,251,4.99
53,California Baptist,62,38-24,540.1,351,300,5
54,Oklahoma,61,40-21,533.2,354,299,5.04
55,Fairfield,58,34-24,496,345,278,5.04
56,Utah,55,33-22,492,306,276,5.05
57,Western Ky.,58,36-22,495.1,315,278,5.05
58,South Carolina,62,37-25,532.2,342,299,5.05
59,Wichita St.,61,32-29,527.2,338,297,5.07
60,CSU Bakersfield,53,15-38,474.1,321,267,5.07
61,Southern Miss.,63,43-20,550.2,350,310,5.07
62,Kentucky,62,46-16,543.1,336,308,5.1
63,Wake Forest,60,38-22,523.1,343,297,5.11
64,Sacramento St.,57,26-31,500.2,317,285,5.12
65,Purdue,57,33-24,499,321,285,5.14
66,Kennesaw St.,56,32-24,473.2,310,271,5.15
67,Cal St. Fullerton,54,16-38,472.2,315,271,5.16
68,Louisiana Tech,64,45-19,567,367,326,5.17
69,Texas St.,56,27-29,483.1,317,278,5.18
70,Vanderbilt,61,38-23,522.2,347,301,5.18
71,Minnesota,48,25-23,421,295,243,5.19
72,UConn,61,35-26,530.1,342,307,5.21
73,Northeastern,55,38-17,483,317,280,5.22
74,Nicholls,60,38-22,521.1,341,303,5.23
75,Santa Clara,52,26-26,466,304,271,5.23
76,Manhattan,52,22-30,440.2,340,258,5.27
77,UNC Greensboro,54,33-21,474.1,312,278,5.27
78,UAB,55,26-29,479.1,340,282,5.29
79,Southeastern La.,58,30-28,497.1,351,294,5.32
80,Lehigh,48,24-23-1,390.1,279,231,5.33
81,South Alabama,56,31-25,484.2,321,287,5.33
82,UTSA,56,32-24,492.2,326,292,5.33
83,Saint Mary's (CA),56,34-22,489,331,290,5.34
84,Presbyterian,56,29-27,486,346,289,5.35
85,Rice,59,23-36,521,364,310,5.36
86,Bryant,57,36-21,490.2,355,292,5.36
87,Abilene Christian,58,33-25,493.1,341,294,5.36
88,Virginia,63,46-17,554.2,381,332,5.39
89,Tennessee Tech,55,29-26,482,361,289,5.4
90,Tulane,62,36-26,545,371,328,5.42
91,Ga. Southern,59,33-26,500.1,367,302,5.43
92,UMBC,52,27-25,454.2,318,275,5.44
93,Kansas St.,61,35-26,546.2,384,331,5.45
94,Virginia Tech,54,32-22,470,317,286,5.48
95,UCLA,52,19-33,463,335,283,5.5
96,Little Rock,56,32-24,496.1,350,304,5.51
97,Stony Brook,52,24-28,449.2,322,277,5.54
98,Western Mich.,55,32-23,480.1,341,296,5.55
99,Jackson St.,56,36-20,469.2,343,291,5.58
100,Houston,54,26-28,472,326,293,5.59
101,Troy,59,37-22,499.2,363,311,5.6
102,Rutgers,53,28-25,462.1,329,288,5.61
103,Fresno St.,62,33-29,536.2,370,336,5.63
104,Monmouth,48,18-30,418.1,308,262,5.64
105,Niagara,55,38-17,473.2,361,297,5.64
106,CSUN,54,30-24,478.2,331,301,5.66
107,Toledo,59,27-32,511.2,372,322,5.66
108,UTRGV,54,29-25,471.2,321,297,5.67
109,Alabama,57,33-24,489,339,309,5.69
110,Binghamton,50,21-29,428.2,305,271,5.69
111,Fla. Atlantic,57,28-29,485.1,358,307,5.69
112,Florida A&M,56,29-27,467.2,345,296,5.7
113,Georgia,60,43-17,515.1,370,327,5.71
114,Oral Roberts,60,27-32-1,527,367,335,5.72
115,George Washington,57,31-26,498.2,369,319,5.76
116,Southeast Mo. St.,63,36-27,548.2,389,351,5.76
117,Miami (FL),57,27-30,501.2,363,321,5.76
118,FDU,56,26-30,481.1,348,308,5.76
119,Navy,51,28-23,418.2,293,269,5.78
120,Washington,51,19-31-1,459,322,295,5.78
121,Maryland,56,34-22,488.1,364,314,5.79
122,Wofford,62,42-20,534.2,369,344,5.79
