Rank,Name,G,W-L,PO,A,E,PCT
1,Notre Dame,52,27-25,1343,463,27,0.985
2,Cal Poly,57,35-22,1548,572,38,0.982
3,Florida,66,36-30,1740,568,42,0.982
4,DBU,60,45-15,1577,544,39,0.982
5,Virginia Tech,54,32-22,1410,450,35,0.982
6,San Diego,56,41-15,1534,491,39,0.981
7,Navy,51,28-23,1256,398,32,0.981
8,CSUN,54,30-24,1436,578,39,0.981
9,Arkansas,60,44-16,1571,443,39,0.981
10,Northwestern,52,18-34,1340,470,36,0.98
11,Delaware,57,31-26,1486,525,40,0.98
12,Mississippi St.,63,40-23,1659,452,42,0.98
13,Kentucky,62,46-16,1630,519,43,0.98
14,Duke,60,40-20,1573,498,42,0.98
15,Louisiana Tech,64,45-19,1701,608,48,0.98
16,Washington,51,19-31-1,1377,484,39,0.979
17,Illinois,56,35-21,1471,525,42,0.979
18,UConn,61,35-26,1591,461,44,0.979
19,Michigan,60,32-28,1606,673,49,0.979
20,Rider,51,28-23,1314,452,38,0.979
21,UIC,55,35-20,1425,522,42,0.979
22,NIU,54,21-33,1366,483,40,0.979
23,Florida St.,66,49-17,1753,553,50,0.979
24,Fresno St.,62,33-29,1610,523,47,0.978
25,St. John's (NY),57,38-18-1,1532,552,46,0.978
26,Belmont,58,26-32,1501,531,45,0.978
27,Lamar University,59,44-15,1552,525,46,0.978
28,Boston College,53,22-31,1377,470,41,0.978
29,Texas A&M,68,53-15,1776,518,51,0.978
30,Rutgers,53,28-25,1387,535,43,0.978
31,The Citadel,53,21-32,1382,446,41,0.978
32,Georgia Tech,58,33-25,1492,504,45,0.978
33,Mercer,58,29-29,1515,508,46,0.978
34,Creighton,52,35-17,1357,446,41,0.978
35,Auburn,53,27-26,1354,443,41,0.978
36,LSU,66,43-23,1727,487,51,0.977
37,TCU,54,33-21,1426,437,43,0.977
38,Oral Roberts,60,27-32-1,1581,524,49,0.977
39,East Carolina,63,46-17,1662,507,51,0.977
40,Hawaii,53,37-16,1429,475,45,0.977
41,Vanderbilt,61,38-23,1568,505,49,0.977
42,Oregon,60,40-20,1606,532,51,0.977
43,Illinois St.,57,30-27,1449,473,46,0.977
44,App State,55,33-21-1,1439,440,45,0.977
45,Iowa,54,31-23,1412,425,44,0.977
46,Wofford,62,42-20,1604,519,51,0.977
47,Southern Miss.,63,43-20,1652,505,52,0.976
48,Sam Houston,58,34-24,1512,437,47,0.976
49,NC State,61,38-23,1581,527,51,0.976
50,West Virginia,60,36-24,1582,567,52,0.976
51,Alabama,57,33-24,1467,467,47,0.976
52,Tennessee,73,60-13,1866,602,60,0.976
53,Virginia,63,46-17,1664,582,55,0.976
54,Purdue,57,33-24,1497,573,51,0.976
55,Saint Mary's (CA),56,34-22,1467,475,48,0.976
56,UNCW,61,40-21,1630,594,55,0.976
57,Bowling Green,53,33-20,1366,411,44,0.976
58,California Baptist,62,38-24,1621,640,56,0.976
59,Washington St.,53,21-32,1398,539,48,0.976
60,UC Irvine,59,45-14,1613,565,54,0.976
61,South Alabama,56,31-25,1454,478,48,0.976
62,UCF,58,37-21,1529,519,51,0.976
63,Saint Louis,53,37-16,1386,459,46,0.976
64,Indiana St.,59,44-15,1542,493,51,0.976
65,High Point,62,35-27,1626,602,56,0.975
66,Evansville,65,39-26,1655,571,56,0.975
67,Grand Canyon,61,36-25,1583,561,54,0.975
68,Central Ark.,56,26-30,1467,437,48,0.975
69,Cornell,38,17-21,993,379,35,0.975
70,Miami (OH),54,27-27,1419,484,49,0.975
71,VCU,61,38-23,1617,554,56,0.975
72,Radford,50,16-34,1288,515,47,0.975
73,Central Mich.,55,17-38,1387,491,49,0.975
74,UTRGV,54,29-25,1415,496,50,0.975
75,North Carolina,64,48-16,1676,502,57,0.974
76,Santa Clara,52,26-26,1398,465,49,0.974
77,Binghamton,50,21-29,1286,424,45,0.974
78,Wake Forest,60,38-22,1570,480,54,0.974
79,Western Caro.,54,28-26,1401,532,51,0.974
80,Northeastern,55,38-17,1449,520,52,0.974
81,Tulane,62,36-26,1634,597,59,0.974
82,Nicholls,60,38-22,1564,532,56,0.974
83,Nebraska,62,40-22,1642,555,59,0.974
84,San Francisco,55,21-34,1441,561,54,0.974
85,Portland,56,37-19,1487,513,54,0.974
86,Missouri,55,23-32,1428,459,51,0.974
87,Kansas St.,61,35-26,1640,569,60,0.974
88,UC Davis,56,29-27,1509,578,57,0.973
89,UNC Greensboro,54,33-21,1423,516,53,0.973
90,Texas,60,36-24,1611,578,60,0.973
91,Jacksonville St.,52,18-34,1341,476,50,0.973
92,Georgia,60,43-17,1546,448,55,0.973
93,Nevada,51,25-26,1335,476,50,0.973
94,LMU (CA),54,24-30,1425,458,52,0.973
95,ETSU,56,36-20,1430,485,53,0.973
96,Army West Point,54,31-23,1316,511,51,0.973
97,Western Mich.,55,32-23,1441,486,54,0.973
98,Coastal Carolina,61,36-25,1603,608,62,0.973
99,UC Santa Barbara,58,44-14,1548,482,57,0.973
100,Milwaukee,55,19-36,1391,567,55,0.973
101,Houston,54,26-28,1416,495,54,0.973
102,Texas St.,56,27-29,1450,530,56,0.972
103,McNeese,59,32-27,1556,529,59,0.972
104,Rice,59,23-36,1563,624,62,0.972
105,Southeast Mo. St.,63,36-27,1646,569,63,0.972
106,Cincinnati,57,32-25,1494,510,57,0.972
107,Longwood,52,23-29,1295,420,49,0.972
108,Morehead St.,61,37-24,1563,607,62,0.972
109,Oklahoma St.,61,42-19,1633,431,59,0.972
110,Old Dominion,57,31-26,1486,507,57,0.972
111,FDU,56,26-30,1444,476,55,0.972
112,Arizona,59,36-23,1574,519,60,0.972
113,UT Arlington,56,22-34,1434,549,57,0.972
114,Louisiana,62,42-20,1620,566,63,0.972
115,Stetson,63,41-22,1618,532,62,0.972
116,Kansas,54,31-23,1411,459,54,0.972
117,Ball St.,59,35-23-1,1514,494,58,0.972
118,Utah,55,33-22,1476,561,59,0.972
119,Col. of Charleston,55,41-14,1475,596,60,0.972
120,UTSA,56,32-24,1478,414,55,0.972
121,James Madison,61,36-25,1591,608,64,0.972
122,UNC Asheville,50,22-28,1302,514,53,0.972
123,Monmouth,48,18-30,1255,483,51,0.971
124,Stanford,55,22-33,1443,461,56,0.971
125,Ohio St.,55,29-26,1425,511,57,0.971
126,UIW,57,26-31,1432,469,56,0.971
127,BYU,52,21-31,1383,518,56,0.971
128,South Fla.,55,26-29,1404,528,57,0.971
129,Central Conn. St.,42,18-24,1100,459,46,0.971
130,Stony Brook,52,24-28,1349,515,55,0.971
131,Gonzaga,53,21-32,1358,432,53,0.971
132,Wichita St.,61,32-29,1583,571,64,0.971
133,San Jose St.,57,24-33,1494,488,59,0.971
134,Seattle U,53,17-36,1363,517,56,0.971
135,South Carolina,62,37-25,1598,522,64,0.971
136,New Orleans,57,31-26,1454,497,59,0.971
137,Oakland,58,31-27,1495,550,62,0.971
138,Southern California,59,31-28,1570,539,64,0.971
139,California,55,36-19,1461,483,59,0.971
140,Lipscomb,56,22-34,1420,523,59,0.971
141,Toledo,59,27-32,1535,571,64,0.971
142,Arizona St.,58,32-26,1509,460,60,0.97
143,Kent St.,54,27-27,1397,496,58,0.97
144,Wright St.,56,32-24,1446,509,60,0.97
145,UMBC,52,27-25,1364,493,57,0.97
146,Abilene Christian,58,33-25,1480,465,60,0.97
147,Kennesaw St.,56,32-24,1421,491,59,0.97
148,Charlotte,58,24-34,1478,464,60,0.97
149,Miami (FL),57,27-30,1505,532,63,0.97
150,Pittsburgh,55,26-29,1396,443,57,0.97
151,Davidson,52,24-28,1311,428,54,0.97
152,Presbyterian,56,29-27,1458,439,59,0.97
153,Fordham,52,19-33,1333,434,55,0.97
154,ULM,55,25-30,1434,492,60,0.97
155,Valparaiso,52,14-38,1308,453,55,0.97
156,Seton Hall,54,24-30,1412,472,59,0.97
157,Texas Tech,59,33-26,1531,505,64,0.97
158,Rhode Island,47,19-28,1217,437,52,0.97
159,Southern Ill.,60,33-27,1581,514,66,0.969
160,North Dakota St.,51,20-30-1,1312,459,56,0.969
161,Campbell,53,31-22,1394,440,58,0.969
162,Western Ky.,58,36-22,1486,529,64,0.969
163,UMass Lowell,55,24-31,1407,511,61,0.969
164,Purdue Fort Wayne,56,19-37,1385,521,61,0.969
165,Saint Joseph's,55,29-26,1423,420,59,0.969
166,Maryland,56,34-22,1465,501,63,0.969
167,Penn St.,53,29-24,1375,493,60,0.969
168,Ohio,50,18-32,1290,453,56,0.969
169,Xavier,57,30-27,1481,503,64,0.969
170,USC Upstate,60,36-24,1548,496,66,0.969
171,North Ala.,54,18-35-1,1367,427,58,0.969
172,Baylor,53,22-31,1390,462,60,0.969
173,New Mexico,54,28-26,1386,520,62,0.968
174,Samford,58,36-22,1462,472,63,0.968
175,CSU Bakersfield,53,15-38,1423,508,63,0.968
176,Clemson,60,44-16,1610,534,70,0.968
177,Austin Peay,56,35-21,1411,457,61,0.968
178,Dayton,55,33-22,1444,515,64,0.968
179,Utah Valley,58,29-29,1509,600,69,0.968
180,Oklahoma,61,40-21,1601,500,69,0.968
181,LIU,58,33-25,1499,479,65,0.968
182,Oregon St.,61,45-16,1592,536,70,0.968
183,Northern Ky.,59,35-24,1494,512,66,0.968
184,Murray St.,57,37-20,1501,530,67,0.968
185,Ga. Southern,59,33-26,1501,590,69,0.968
186,Michigan St.,51,24-27,1352,466,60,0.968
187,FGCU,56,30-26,1439,469,63,0.968
188,Hofstra,57,24-33,1465,503,65,0.968
189,Troy,59,37-22,1499,525,67,0.968
190,Northwestern St.,55,22-33,1389,482,62,0.968
191,Eastern Ky.,58,21-37,1445,482,64,0.968
192,Georgia St.,57,25-32,1462,459,64,0.968
193,Bryant,57,36-21,1472,568,68,0.968
194,New Mexico St.,54,25-29,1360,469,61,0.968
195,Liberty,58,24-34,1497,541,68,0.968
196,Air Force,55,27-28,1406,600,67,0.968
197,Wagner,56,26-30,1467,507,66,0.968
198,Holy Cross,53,26-27,1273,430,57,0.968
199,Sacramento St.,57,26-31,1502,526,68,0.968
200,Louisville,56,32-24,1449,489,65,0.968
201,Merrimack,59,33-26,1530,585,71,0.968
202,SIUE,56,21-34-1,1417,488,64,0.967
203,Columbia,44,26-18,1151,426,53,0.967
204,UNLV,52,26-26,1350,457,61,0.967
205,Penn,49,24-25,1279,346,55,0.967
206,Little Rock,56,32-24,1489,490,67,0.967
207,Marist,55,20-35,1363,436,61,0.967
208,Cal St. Fullerton,54,16-38,1418,494,65,0.967
209,Richmond,59,27-32,1524,476,68,0.967
210,George Washington,57,31-26,1496,562,70,0.967
211,Florida A&M,56,29-27,1402,562,67,0.967
212,UAB,55,26-29,1438,490,66,0.967
213,Bradley,51,13-37-1,1237,456,58,0.967
214,Memphis,55,23-32,1468,543,69,0.967
215,Arkansas St.,54,21-32-1,1392,538,67,0.966
216,Southeastern La.,58,30-28,1492,555,72,0.966
217,Ole Miss,56,27-29,1441,429,66,0.966
218,Indiana,60,33-26-1,1569,440,71,0.966
219,Butler,55,20-35,1412,475,67,0.966
220,Delaware St.,49,22-27,1270,411,60,0.966
221,Villanova,51,18-33,1306,482,64,0.965
222,UCLA,52,19-33,1389,478,67,0.965
223,Bethune-Cookman,59,32-27,1538,579,76,0.965
224,Saint Peter's,52,Dec-40,1267,460,62,0.965
225,N.C. A&T,53,25-28,1379,463,67,0.965
226,Gardner-Webb,53,22-31,1363,531,69,0.965
227,Elon,53,21-32,1377,503,69,0.965
228,UC Riverside,52,16-36,1362,453,67,0.964
229,Fla. Atlantic,57,28-29,1456,465,71,0.964
230,Pepperdine,53,15-38,1377,461,68,0.964
231,Yale,41,18-23,1064,395,54,0.964
232,Marshall,55,18-37,1434,514,73,0.964
233,A&M-Corpus Christi,57,22-35,1481,519,75,0.964
234,Grambling,54,26-28,1317,490,68,0.964
235,George Mason,53,21-32,1380,479,70,0.964
236,Minnesota,48,25-23,1263,433,64,0.964
237,Brown,39,28-Nov,984,382,52,0.963
238,Akron,54,15-39,1369,495,71,0.963
239,Fairfield,58,34-24,1488,477,76,0.963
240,San Diego St.,54,17-37,1399,409,70,0.963
241,Omaha,51,18-32-1,1307,388,66,0.963
242,Maine,49,Dec-37,1198,418,63,0.962
243,Eastern Ill.,53,20-33,1384,434,71,0.962
244,Missouri St.,57,23-34,1460,486,76,0.962
245,Canisius,48,18-30,1224,464,66,0.962
246,Tennessee Tech,55,29-26,1446,515,77,0.962
247,VMI,56,27-29,1421,484,75,0.962
248,Jacksonville,58,27-31,1501,475,78,0.962
249,Middle Tenn.,56,20-36,1420,503,76,0.962
250,UT Martin,56,21-35,1447,468,76,0.962
251,Niagara,55,38-17,1421,466,75,0.962
252,Coppin St.,45,Dec-33,1164,389,63,0.961
253,Alabama St.,56,29-27,1411,461,76,0.961
254,Georgetown,57,36-21,1504,539,83,0.961
255,Lehigh,48,24-23-1,1171,427,65,0.961
256,NJIT,54,26-28,1412,501,78,0.961
257,Pacific,55,Nov-44,1395,490,77,0.961
258,Long Beach St.,55,25-29-1,1487,541,83,0.961
259,Massachusetts,53,24-29,1327,473,75,0.96
260,Bucknell,46,22-24,1086,377,61,0.96
261,Jackson St.,56,36-20,1408,481,79,0.96
262,Mount St. Mary's,57,22-34-1,1467,426,80,0.959
263,UAlbany,50,15-34-1,1213,397,70,0.958
264,Youngstown St.,60,16-44,1473,526,87,0.958
265,Eastern Mich.,52,14-38,1276,416,74,0.958
266,Western Ill.,50,13-37,1261,391,73,0.958
267,Quinnipiac,50,20-30,1265,471,77,0.958
268,Iona,50,Dec-38,1267,439,76,0.957
269,Winthrop,49,19-29-1,1237,376,72,0.957
270,Manhattan,52,22-30,1321,470,80,0.957
271,St. Bonaventure,49,18-31,1241,437,75,0.957
272,Houston Christian,49,18-31,1204,425,73,0.957
273,Harvard,39,13-26,996,327,61,0.956
274,Charleston So.,54,22-32,1395,485,87,0.956
275,Northern Colo.,55,16-38-1,1353,481,85,0.956
276,FIU,57,27-30,1484,490,92,0.955
277,Towson,54,15-39,1389,557,91,0.955
278,Lafayette,49,14-35,1169,391,75,0.954
279,William & Mary,58,32-26,1518,459,96,0.954
280,Texas Southern,48,23-25,1139,420,77,0.953
281,Southern U.,51,22-29,1262,431,84,0.953
282,Sacred Heart,58,35-23,1529,486,100,0.953
283,SFA,54,Oct-44,1320,432,88,0.952
284,Princeton,44,18-26,1142,423,79,0.952
285,Dartmouth,39,13-26,999,379,72,0.95
286,South Dakota St.,49,20-29,1247,419,88,0.95
287,Ark.-Pine Bluff,49,15-34,1202,389,87,0.948
288,Prairie View,55,29-26,1367,445,100,0.948
289,Mississippi Val.,46,Dec-34,1083,353,80,0.947
290,Alabama A&M,51,13-38,1207,416,93,0.946
291,UMES,48,0-48,1166,399,91,0.945
292,Alcorn,49,Jun-43,1120,401,93,0.942
293,North Florida,52,21-30-1,1349,428,111,0.941
294,Siena,52,Dec-40,1272,441,110,0.94
295,Norfolk St.,53,Dec-41,1400,475,125,0.938
296,Tarleton St.,61,32-29,1585,563,47,0.979
297,UC San Diego,53,30-23,1432,487,42,0.979
298,Lindenwood,54,16-38,1393,521,62,0.969
299,Stonehill,47,18-29,1211,431,56,0.967
300,Utah Tech,56,14-42,1427,525,69,0.966
301,Southern Ind.,59,27-32,1529,524,74,0.965
302,Queens (NC),55,14-41,1386,469,71,0.963
303,St. Thomas (MN),46,22-24,1195,370,67,0.959
304,Le Moyne,50,22-27-1,1286,471,77,0.958
305,Bellarmine,55,Oct-45,1293,410,89,0.95
      ,,,,,,,
