Rank,Name,G,W-L,HBP
1,UC Irvine,59,45-14,175
2,Utah Valley,58,29-29,144
3,LMU (CA),54,24-30,134
4,Coastal Carolina,61,36-25,132
5,Georgia,60,43-17,128
6,App State,55,33-21-1,124
7,Mount St. Mary's,57,22-34-1,121
8,Bethune-Cookman,59,32-27,121
9,FGCU,56,30-26,121
10,William & Mary,58,32-26,121
11,VCU,61,38-23,120
12,Florida,66,36-30,119
13,Indiana St.,59,44-15,118
14,Fresno St.,62,33-29,117
15,Kentucky,62,46-16,117
16,Dayton,55,33-22,116
17,Northeastern,55,38-17,116
18,Wichita St.,61,32-29,116
19,San Francisco,55,21-34,115
20,Akron,54,15-39,114
21,Purdue,57,33-24,113
22,UTSA,56,32-24,113
23,Oakland,58,31-27,110
24,South Carolina,62,37-25,109
25,Central Ark.,56,26-30,109
26,Wofford,62,42-20,108
27,Alabama,57,33-24,107
28,Bryant,57,36-21,106
29,Longwood,52,23-29,106
30,Michigan,60,32-28,104
31,Rutgers,53,28-25,102
32,Troy,59,37-22,101
33,Jacksonville St.,52,18-34,101
34,USC Upstate,60,36-24,100
35,Evansville,65,39-26,99
36,Western Ky.,58,36-22,99
37,Alabama A&M,51,13-38,99
38,Holy Cross,53,26-27,98
39,Grambling,54,26-28,98
40,Louisiana Tech,64,45-19,98
41,Tulane,62,36-26,98
42,LSU,66,43-23,98
43,Coppin St.,45,Dec-33,97
44,LIU,58,33-25,97
45,Miami (OH),54,27-27,97
46,FIU,57,27-30,96
47,Campbell,53,31-22,96
48,UC Santa Barbara,58,44-14,95
49,VMI,56,27-29,94
50,Richmond,59,27-32,93
51,George Mason,53,21-32,93
52,Southern U.,51,22-29,93
53,Wagner,56,26-30,93
54,California Baptist,62,38-24,93
55,Mercer,58,29-29,93
56,Merrimack,59,33-26,91
57,Lipscomb,56,22-34,91
58,Northern Colo.,55,16-38-1,91
59,UMBC,52,27-25,91
60,Maryland,56,34-22,91
61,Cincinnati,57,32-25,91
62,CSUN,54,30-24,91
63,UConn,61,35-26,90
64,Southeast Mo. St.,63,36-27,90
65,Georgetown,57,36-21,90
66,Southern Miss.,63,43-20,89
67,Villanova,51,18-33,89
68,ULM,55,25-30,89
69,Nebraska,62,40-22,89
70,New Mexico St.,54,25-29,89
71,Navy,51,28-23,89
72,Charleston So.,54,22-32,89
73,Louisiana,62,42-20,89
74,Missouri,55,23-32,88
75,Central Mich.,55,17-38,88
76,Duke,60,40-20,87
77,Louisville,56,32-24,87
78,Oregon,60,40-20,87
79,Abilene Christian,58,33-25,87
80,Kent St.,54,27-27,87
81,Winthrop,49,19-29-1,86
82,Southeastern La.,58,30-28,86
83,N.C. A&T,53,25-28,86
84,Iowa,54,31-23,86
85,Columbia,44,26-18,85
86,East Carolina,63,46-17,85
87,Memphis,55,23-32,85
88,Morehead St.,61,37-24,84
89,South Alabama,56,31-25,84
90,Indiana,60,33-26-1,84
91,Austin Peay,56,35-21,84
92,Utah,55,33-22,84
93,UNCW,61,40-21,83
94,North Dakota St.,51,20-30-1,83
95,Portland,56,37-19,83
96,Ga. Southern,59,33-26,83
97,Air Force,55,27-28,83
98,Bowling Green,53,33-20,83
