Rank,Name,G,W-L,AB,H
1,Tennessee,73,60-13,2463,764
2,Virginia,63,46-17,2261,752
3,Austin Peay,56,35-21,2038,732
4,Florida St.,66,49-17,2317,729
5,Wofford,62,42-20,2142,716
6,Texas A&M,68,53-15,2339,697
7,Morehead St.,61,37-24,2178,696
8,East Carolina,63,46-17,2174,671
9,Louisiana Tech,64,45-19,2260,670
10,Evansville,65,39-26,2240,669
11,UC Irvine,59,45-14,2129,668
12,North Carolina,64,48-16,2213,668
13,Grand Canyon,61,36-25,2133,667
14,Arizona St.,58,32-26,2080,652
15,Duke,60,40-20,2091,648
16,Oklahoma,61,40-21,2080,646
17,Northern Ky.,59,35-24,2047,644
18,USC Upstate,60,36-24,2099,637
19,Southern Miss.,63,43-20,2145,631
20,Louisiana,62,42-20,2092,630
21,Merrimack,59,33-26,2095,630
22,Clemson,60,44-16,2107,627
23,LSU,66,43-23,2202,626
24,Southeast Mo. St.,63,36-27,2155,625
25,DBU,60,45-15,2074,625
26,Indiana,60,33-26-1,2117,625
27,Georgia,60,43-17,2049,621
28,Alabama St.,56,29-27,1927,618
29,Nicholls,60,38-22,2038,617
30,High Point,62,35-27,2100,616
31,Wright St.,56,32-24,1973,615
32,Fresno St.,62,33-29,2121,615
33,Texas Tech,59,33-26,2056,612
34,ETSU,56,36-20,1923,611
35,Oregon St.,61,45-16,2057,611
36,Samford,58,36-22,1963,609
37,Coastal Carolina,61,36-25,2057,609
38,Stetson,63,41-22,2104,608
39,Florida,66,36-30,2254,608
40,Nebraska,62,40-22,2107,607
41,California Baptist,62,38-24,2109,604
42,San Diego,56,41-15,2008,604
43,Fairfield,58,34-24,1987,603
44,Wichita St.,61,32-29,2092,600
45,NC State,61,38-23,2086,600
46,New Mexico,54,28-26,1883,600
47,Southern Ill.,60,33-27,2097,600
48,Georgia Tech,58,33-25,1968,600
49,Jackson St.,56,36-20,1850,599
50,James Madison,61,36-25,2016,599
51,UC Santa Barbara,58,44-14,2020,598
52,Texas,60,36-24,2076,598
53,Western Mich.,55,32-23,1908,597
54,Louisville,56,32-24,1922,597
55,Indiana St.,59,44-15,2028,597
56,Northeastern,55,38-17,1928,597
57,George Washington,57,31-26,1977,594
58,Niagara,55,38-17,1946,593
59,Oklahoma St.,61,42-19,2096,592
60,Alabama,57,33-24,1961,592
61,Murray St.,57,37-20,2006,591
62,Oakland,58,31-27,1981,591
63,UTSA,56,32-24,1958,590
64,Hofstra,57,24-33,1996,589
65,Col. of Charleston,55,41-14,1926,589
66,Tulane,62,36-26,2112,589
67,Mississippi St.,63,40-23,2094,586
68,Ball St.,59,35-23-1,2006,586
69,Utah Valley,58,29-29,2019,583
70,Portland,56,37-19,1979,582
71,VCU,61,38-23,2106,582
72,Virginia Tech,54,32-22,1863,582
73,UNCW,61,40-21,2083,581
74,Vanderbilt,61,38-23,2026,579
75,Cal Poly,57,35-22,1976,579
76,App State,55,33-21-1,1948,576
77,Florida A&M,56,29-27,1909,575
78,Oregon,60,40-20,2042,575
79,Richmond,59,27-32,2002,574
80,Lamar University,59,44-15,2015,574
81,Troy,59,37-22,1969,572
82,Rutgers,53,28-25,1860,571
83,Georgetown,57,36-21,1981,570
84,Saint Mary's (CA),56,34-22,1928,570
85,Illinois St.,57,30-27,1955,570
86,Arizona,59,36-23,2050,569
87,Sam Houston,58,34-24,1957,569
88,Kansas St.,61,35-26,2094,569
89,Illinois,56,35-21,1938,569
90,FIU,57,27-30,1937,568
91,Kentucky,62,46-16,2011,567
92,Wake Forest,60,38-22,2040,565
93,Iowa,54,31-23,1872,563
94,Dayton,55,33-22,1887,563
95,Bowling Green,53,33-20,1858,562
96,UConn,61,35-26,2069,561
97,Saint Louis,53,37-16,1852,560
98,California,55,36-19,1915,559
99,UCF,58,37-21,1983,559
100,South Carolina,62,37-25,2039,559
101,New Orleans,57,31-26,1915,559
102,Delaware,57,31-26,1999,559
103,New Mexico St.,54,25-29,1861,558
104,Grambling,54,26-28,1803,558
105,Penn St.,53,29-24,1822,557
106,Utah,55,33-22,1923,555
107,St. John's (NY),57,38-18-1,1951,555
108,Oral Roberts,60,27-32-1,2048,554
109,Southern California,59,31-28,2015,553
110,Purdue,57,33-24,1915,552
111,Georgia St.,57,25-32,1959,551
112,UNLV,52,26-26,1840,551
