Rank,Name,G,W-L,SF
1,Nicholls,60,38-22,48
2,Lamar University,59,44-15,41
3,Wofford,62,42-20,41
4,Miami (OH),54,27-27,40
5,ETSU,56,36-20,40
6,Abilene Christian,58,33-25,40
7,Indiana,60,33-26-1,38
8,Murray St.,57,37-20,37
9,UC Irvine,59,45-14,37
10,Virginia,63,46-17,37
11,Presbyterian,56,29-27,36
12,Troy,59,37-22,36
13,Hawaii,53,37-16,36
14,Coastal Carolina,61,36-25,36
15,Virginia Tech,54,32-22,36
16,Central Ark.,56,26-30,35
17,Samford,58,36-22,35
18,Jackson St.,56,36-20,35
19,East Carolina,63,46-17,35
20,Florida St.,66,49-17,35
21,William & Mary,58,32-26,35
22,Ole Miss,56,27-29,34
23,Tulane,62,36-26,34
24,Oklahoma,61,40-21,34
25,St. John's (NY),57,38-18-1,33
26,Texas St.,56,27-29,33
27,Louisiana Tech,64,45-19,33
28,Western Mich.,55,32-23,33
29,Bethune-Cookman,59,32-27,33
30,UTSA,56,32-24,33
31,North Carolina,64,48-16,32
32,Penn St.,53,29-24,32
33,Southern California,59,31-28,32
34,Toledo,59,27-32,32
35,Grambling,54,26-28,32
36,VMI,56,27-29,32
37,Dayton,55,33-22,32
38,Duke,60,40-20,32
39,VCU,61,38-23,32
40,Nevada,51,25-26,31
41,New Orleans,57,31-26,31
42,Saint Mary's (CA),56,34-22,31
43,SIUE,56,21-34-1,31
44,Kentucky,62,46-16,31
45,Western Ky.,58,36-22,31
46,Alabama,57,33-24,31
47,James Madison,61,36-25,31
48,Kansas,54,31-23,31
49,Wagner,56,26-30,31
50,Grand Canyon,61,36-25,30
51,Northeastern,55,38-17,30
52,Oklahoma St.,61,42-19,30
53,UTRGV,54,29-25,30
54,Pepperdine,53,15-38,30
55,Evansville,65,39-26,30
56,Saint Louis,53,37-16,30
57,Southern Ill.,60,33-27,30
58,High Point,62,35-27,30
59,Campbell,53,31-22,30
60,Prairie View,55,29-26,30
61,Mount St. Mary's,57,22-34-1,29
62,Ohio St.,55,29-26,29
63,TCU,54,33-21,29
64,Texas Tech,59,33-26,29
65,A&M-Corpus Christi,57,22-35,29
66,Manhattan,52,22-30,29
67,Auburn,53,27-26,29
68,Fresno St.,62,33-29,29
69,Columbia,44,26-18,29
70,Eastern Ill.,53,20-33,29
71,Merrimack,59,33-26,29
72,Morehead St.,61,37-24,28
73,New Mexico,54,28-26,28
74,N.C. A&T,53,25-28,28
75,Southeast Mo. St.,63,36-27,28
76,Ga. Southern,59,33-26,28
77,Alabama St.,56,29-27,28
78,Arkansas,60,44-16,28
79,Eastern Ky.,58,21-37,28
80,Fairfield,58,34-24,28
81,Wright St.,56,32-24,28
82,UNCW,61,40-21,27
83,Texas Southern,48,23-25,27
84,West Virginia,60,36-24,27
85,Georgia,60,43-17,27
86,UAlbany,50,15-34-1,27
87,Cincinnati,57,32-25,27
88,Clemson,60,44-16,27
89,George Mason,53,21-32,27
90,Mercer,58,29-29,27
91,UNC Asheville,50,22-28,26
92,Nebraska,62,40-22,26
93,Portland,56,37-19,26
94,Sam Houston,58,34-24,26
95,South Dakota St.,49,20-29,26
96,McNeese,59,32-27,26
97,Tennessee,73,60-13,26
98,Texas A&M,68,53-15,26
99,Ball St.,59,35-23-1,26
100,Long Beach St.,55,25-29-1,26
101,Tennessee Tech,55,29-26,26
102,UNC Greensboro,54,33-21,25
103,LSU,66,43-23,25
104,Oregon,60,40-20,25
105,San Diego,56,41-15,25
