Rank,Name,G,W-L,AB,TB,SLG PCT
1,Austin Peay,56,35-21,2038,1348,0.661
2,Tennessee,73,60-13,2463,1494,0.607
3,Georgia,60,43-17,2049,1207,0.589
4,Columbia,44,26-18,1589,903,0.568
5,Virginia,63,46-17,2261,1281,0.567
6,Morehead St.,61,37-24,2178,1231,0.565
7,Florida St.,66,49-17,2317,1294,0.558
8,Wright St.,56,32-24,1973,1099,0.557
9,Oregon St.,61,45-16,2057,1133,0.551
10,Virginia Tech,54,32-22,1863,1026,0.551
11,Duke,60,40-20,2091,1138,0.544
12,Texas A&M,68,53-15,2339,1269,0.543
13,DBU,60,45-15,2074,1124,0.542
14,Campbell,53,31-22,1814,982,0.541
15,Arizona St.,58,32-26,2080,1125,0.541
16,Northern Ky.,59,35-24,2047,1102,0.538
17,Louisville,56,32-24,1922,1028,0.535
18,Samford,58,36-22,1963,1048,0.534
19,Merrimack,59,33-26,2095,1115,0.532
20,Wofford,62,42-20,2142,1136,0.53
21,Northeastern,55,38-17,1928,1018,0.528
22,Saint Mary's (CA),56,34-22,1928,1017,0.527
23,North Carolina,64,48-16,2213,1159,0.524
24,Texas,60,36-24,2076,1086,0.523
25,USC Upstate,60,36-24,2099,1091,0.52
26,Col. of Charleston,55,41-14,1926,1001,0.52
27,Oklahoma St.,61,42-19,2096,1087,0.519
28,Utah Valley,58,29-29,2019,1043,0.517
29,ETSU,56,36-20,1923,993,0.516
30,Georgia Tech,58,33-25,1968,1016,0.516
31,New Mexico,54,28-26,1883,969,0.515
32,Texas Tech,59,33-26,2056,1056,0.514
33,Clemson,60,44-16,2107,1081,0.513
34,Indiana St.,59,44-15,2028,1039,0.512
35,Wake Forest,60,38-22,2040,1043,0.511
36,Murray St.,57,37-20,2006,1025,0.511
37,Illinois,56,35-21,1938,988,0.51
38,Western Caro.,54,28-26,1869,951,0.509
39,App State,55,33-21-1,1948,990,0.508
40,Missouri St.,57,23-34,1974,1002,0.508
41,Delaware,57,31-26,1999,1014,0.507
42,Georgia St.,57,25-32,1959,993,0.507
43,Florida,66,36-30,2254,1141,0.506
44,James Madison,61,36-25,2016,1019,0.505
45,Fairfield,58,34-24,1987,1004,0.505
46,Evansville,65,39-26,2240,1130,0.504
47,Alabama,57,33-24,1961,989,0.504
48,Southeast Mo. St.,63,36-27,2155,1085,0.503
49,LSU,66,43-23,2202,1108,0.503
50,New Mexico St.,54,25-29,1861,936,0.503
51,Nevada,51,25-26,1809,909,0.502
52,Oklahoma,61,40-21,2080,1042,0.501
53,Alabama St.,56,29-27,1927,965,0.501
54,Bowling Green,53,33-20,1858,924,0.497
55,Louisiana,62,42-20,2092,1034,0.494
56,Ball St.,59,35-23-1,2006,991,0.494
57,California Baptist,62,38-24,2109,1041,0.494
58,Mercer,58,29-29,1946,960,0.493
59,Coastal Carolina,61,36-25,2057,1014,0.493
60,South Dakota St.,49,20-29,1719,845,0.492
61,High Point,62,35-27,2100,1031,0.491
62,Penn St.,53,29-24,1822,894,0.491
63,Troy,59,37-22,1969,966,0.491
64,Notre Dame,52,27-25,1747,857,0.491
