,Team,G,AB,H,BA,HPG,ABPG,HPAB,BB,BBPG,IP,RA,ER,ERA,PO,A,E,PCT,APG,EPG,HBP,OBP,HBPPG,RS,RPG,TB,SLG,KP9,WP9,WHIP,Rank,Conference,Record,Road,Neutral,Home,Non Div I,CBRank,Conf,CBR,Rec,SOR,Rk25,SOS,vs 1-25,vs 26-50,vs 51-100,vs 101-200,vs 201+,RPI,Prev,Trend,OPS,Rating
1,Florida,4,137,50,0.365,12.5,34.25,0.36496350364963503,18,4.5,34.0,9,5,1.32,102,20,4,0.968,5.0,1.0,8,0.461,2.0,38,9.5,85,0.62,16.1,1.85,0.68,11,SEC,36-30,13-13,4-4,19-13,0-0,18,SEC,1.0626806738503973,4-0,22,187,201,0-0,0-0,0-0,3-0,1-0,,11,-7,1.081,25.0
2,LSU,3,97,33,0.34,11.0,32.333333333333336,0.3402061855670103,23,7.666666666666667,27.0,2,2,0.67,81,22,2,0.981,7.333333333333333,0.6666666666666666,7,0.488,2.3333333333333335,32,10.666666666666666,54,0.557,15.0,0.67,0.59,15,SEC,43-23,7-13,9-1,27-9,0-0,11,SEC,1.2277623920229708,4-0,66,57,277,0-0,0-0,0-0,0-0,4-0,,7,-4,1.045,24.461
3,Tennessee,4,123,51,0.415,12.75,30.75,0.4146341463414634,49,12.25,28.0,6,5,1.61,84,23,5,0.955,5.75,1.25,5,0.587,1.25,75,18.75,98,0.797,13.8,2.57,0.71,1,SEC,60-13,9-6,11-3,40-4,0-0,1,SEC,1.5728050546484786,4-0,31,33,232,0-0,0-0,0-0,3-0,1-0,,1,0,1.384,23.2367
4,Virginia,3,100,27,0.27,9.0,33.333333333333336,0.27,13,4.333333333333333,28.1,6,6,1.91,85,26,1,0.991,8.666666666666666,0.3333333333333333,5,0.375,1.6666666666666667,14,4.666666666666667,36,0.36,11.4,2.86,0.92,10,ACC,46-17,11-5,4-5,31-7,0-0,8,ACC,1.2990708135510833,2-1,87,21,158,0-0,0-0,0-1,1-0,1-0,,4,-4,0.735,22.9957
5,South Carolina,4,122,32,0.262,8.0,30.5,0.26229508196721313,23,5.75,34.0,6,6,1.59,102,22,1,0.992,5.5,0.25,7,0.397,1.75,32,8.0,50,0.41,14.3,1.06,0.59,25,SEC,37-25,9-10,6-4,22-11,0-0,13,SEC,1.141324160351554,4-0,45,19,259,0-0,0-0,0-0,0-0,4-0,,24,11,0.8069999999999999,22.9768
6,UC Santa Barbara,4,135,37,0.274,9.25,33.75,0.2740740740740741,8,2.0,36.0,12,10,2.5,108,30,5,0.965,7.5,1.25,8,0.349,2.0,28,7.0,65,0.481,13.0,1.75,0.92,17,Big West,44-14,16-12,1-0,27-2,0-0,33,Big West,0.9483564603222459,3-1,53,148,120,0-0,0-0,3-1,0-0,0-0,,22,-11,0.83,22.878999999999998
7,Wake Forest,5,160,56,0.35,11.2,32.0,0.35,41,8.2,38.0,16,9,2.13,114,32,9,0.942,6.4,1.8,6,0.493,1.2,63,12.6,99,0.619,14.4,5.92,1.45,14,ACC,38-22,10-12,3-3,25-7,0-0,23,ACC,1.043982268757352,4-1,103,138,260,0-0,0-0,0-1,0-0,4-0,,12,-11,1.112,22.843600000000002
8,Vanderbilt,5,166,45,0.271,9.0,33.2,0.2710843373493976,26,5.2,45.0,20,18,3.6,135,41,2,0.989,8.2,0.4,4,0.379,0.8,25,5.0,73,0.44,13.8,3.8,1.27,26,SEC,38-23,4-12,7-3,27-8,0-0,19,SEC,1.0615290938927358,4-1,35,188,100,0-0,1-0,1-1,2-0,0-0,,9,-10,0.819,22.7283
9,North Carolina,4,128,33,0.258,8.25,32.0,0.2578125,22,5.5,36.0,15,13,3.25,108,31,3,0.979,7.75,0.75,4,0.378,1.0,29,7.25,42,0.328,11.0,3.5,1.28,4,ACC,48-16,9-8,2-5,37-3,0-0,22,ACC,1.0482806123250086,4-0,3,216,89,0-0,3-0,1-0,0-0,0-0,,8,-14,0.706,22.6201
10,Arkansas,4,121,38,0.314,9.5,30.25,0.3140495867768595,28,7.0,33.0,8,7,1.91,99,36,2,0.985,9.0,0.5,6,0.459,1.5,34,8.5,67,0.554,10.1,1.36,0.85,6,SEC,44-16,7-8,3-3,34-5,0-0,3,SEC,1.3862851140814985,4-0,11,85,164,0-0,0-0,0-0,4-0,0-0,,2,-1,1.0130000000000001,22.5278
