,Date,Correct,Total
0,,,
1,2025-02-14,0.0,380.0
2,2025-02-15,0.0,294.0
3,2025-02-16,0.0,218.0
4,2025-02-17,0.0,52.0
5,2025-02-18,0.0,105.0
6,2025-02-19,0.0,18.0
7,2025-02-20,0.0,14.0
8,2025-02-21,0.0,234.0
9,2025-02-22,0.0,360.0
10,2025-02-23,0.0,304.0
11,2025-02-24,0.0,47.0
12,2025-02-25,0.0,145.0
13,2025-02-26,0.0,85.0
14,2025-02-27,0.0,10.0
15,2025-02-28,0.0,312.0
16,2025-03-01,0.0,356.0
17,2025-03-02,0.0,290.0
18,2025-03-03,0.0,19.0
19,2025-03-04,0.0,164.0
20,2025-03-05,0.0,79.0
21,2025-03-06,0.0,8.0
22,2025-03-07,0.0,308.0
23,2025-03-08,0.0,327.0
24,2025-03-09,0.0,304.0
25,2025-03-10,0.0,6.0
26,2025-03-11,0.0,226.0
27,2025-03-12,0.0,108.0
28,2025-03-13,0.0,12.0
29,2025-03-14,0.0,321.0
30,2025-03-15,0.0,343.0
31,2025-03-16,0.0,239.0
32,2025-03-17,0.0,11.0
33,2025-03-18,0.0,201.0
34,2025-03-19,0.0,98.0
35,2025-03-20,0.0,6.0
36,2025-03-21,0.0,294.0
37,2025-03-22,0.0,344.0
38,2025-03-23,0.0,278.0
39,2025-03-24,0.0,8.0
40,2025-03-25,0.0,232.0
41,2025-03-26,0.0,67.0
42,2025-03-27,0.0,14.0
43,2025-03-28,0.0,338.0
44,2025-03-29,0.0,362.0
45,2025-03-30,0.0,202.0
46,2025-03-31,0.0,4.0
47,2025-04-01,0.0,233.0
48,2025-04-02,0.0,60.0
49,2025-04-03,0.0,14.0
50,2025-04-04,0.0,326.0
51,2025-04-05,0.0,266.0
52,2025-04-06,0.0,219.0
