,team,conference,avg_talent,season,sp_conf_rating,firstDowns,fourthDownConversions,fourthDowns,fumblesLost,fumblesRecovered,games,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,netPassingYards,passAttempts,passCompletions,passesIntercepted,passingTDs,penalties,penaltyYards,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,rushingAttempts,rushingTDs,rushingYards,sacks,tacklesForLoss,thirdDownConversions,thirdDowns,totalYards,turnovers,total_turnovers,thirdDownConversionRate,fourthDownConversionRate,possessionTimeMinutes,color,alt_color,logo,qb_average_ppa,qb_total_ppa,fpi,fpi_rank,fpi_sor,fpi_sos,def_eff,off_eff,special_eff,games_played,wins,losses,conference_games,conference_wins,conference_losses,Offense_success_rate,Defense_success_rate,Offense_explosiveness,Defense_explosiveness,Offense_ppa,Offense_power_success,Offense_stuff_rate,Defense_power_success,Defense_stuff_rate,Defense_ppa,Offense_points_per_opportunity,Defense_points_per_opportunity,Defense_havoc_total,Offense_field_position_average_predicted_points,Defense_field_position_average_predicted_points,Offense_field_position_average_start,Defense_field_position_average_start,sp_conf_scaled,total_turnovers_scaled,possession_scaled,third_down_scaled,offense_avg_field_position_scaled,defense_avg_field_position_scaled,offense_ppo_scaled,offense_success_scaled,offense_explosive,talent_scaled,defense_ppo_scaled,penalties_scaled,offense_ppa_scaled,defense_ppa_scaled,defense_success_scaled,defense_explosive,adjusted_metric,average_metric,in_house_pr,ranking,power_ranking,calculated_rank,combined_rank,PBR,PBR_rank,STM,STM_rank,DCE,DCE_rank,DefensivePossessionTime,DDE,DDE_rank,offensive_total,offensive_rank,defensive_total,defensive_rank,talent_scaled_rank,offense_success_rank,defense_success_rank,offense_explosive_rank,defense_explosive_rank,total_turnovers_rank,penalties_rank,power_rating,avg_expected_wins,SOS,wins_above_average,wins_above_good,wins_above_elite,SOR,most_deserving_wins,most_deserving
0,Alabama,SEC,100.00000000000001,2020,89.66818303451967,365.0,6.0,9.0,8.0,10.0,13.0,3.0,212.0,4.0,1.0,276.0,18.0,4656.0,425.0,324.0,12.0,42.0,78.0,625.0,24032.0,34.0,299.0,20.0,475.0,37.0,2378.0,27.0,71.0,87.0,145.0,7034.0,12.0,10.28125,100.0,67.0033,400.53,#9e1632,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/333.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png']",0.4375,144.7905,35.907,1.0,1.0,6.0,77.559,98.067,57.996,13.0,13.0,0.0,11.0,11.0,0.0,100.0,73.20050070207287,47.33089567453956,42.94164007994647,95.60695634669491,81.28533333333333,29.440278859197782,51.0289240972734,59.91797651903103,82.7251008495502,100.0,69.60603581601151,66.74030231397103,39.19418306244654,14.851851851851862,70.0,73.9,9.06074391222906,90.71875,95.6779738363249,100.0,37.62427745664742,6.827586206896555,100.0,100.0,47.33089567453956,1000.0,69.60603581601151,35.111398963730565,95.60695634669491,82.7251008495502,73.20050070207286,42.94164007994645,234.29104936357794,73.63418227546732,24.2,2.0,144.72021181652025,1.0,1.9432911117933682,0.625,35.0,34.18333333333334,31.0,2370.8759999999997,6.0,379.47,161.8,28.0,492.8576472762121,2,394.2720299157373,24,1.0,1.0,24.0,61.0,86.0,3.0,104.0,26.5,0.7131538461538462,3,8.94,6.33,3.78,1,5.754,1
1,Oklahoma,SEC,85.60798439613679,2020,89.66818303451967,274.0,8.0,10.0,6.0,3.0,11.0,1.0,215.0,8.0,1.0,391.0,16.0,3465.0,362.0,249.0,16.0,30.0,79.0,721.0,21294.0,1.0,198.0,16.0,419.0,27.0,1977.0,37.0,81.0,55.0,135.0,5442.0,14.0,25.75,52.3315,80.2,354.9,#a32036,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/201.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/201.png']",0.5315,93.70750000000001,24.338,4.0,5.0,19.0,81.858,82.053,61.156,11.0,9.0,2.0,9.0,7.0,2.0,80.72077173314,80.48928233402941,45.10743511210333,38.15149278266145,75.91420298731708,78.4980425531915,62.1576506045156,56.956521739130466,26.08146605185027,78.47163319613887,91.39944922198382,59.99700538016445,82.70288681051623,51.13515825491875,25.138888888888886,68.4,72.6,9.06074391222906,75.25,81.93483419531486,52.3315,46.78034682080924,5.034482758620683,91.39944922198382,80.72077173314,45.10743511210333,869.1634945103343,59.99700538016446,22.80051813471502,75.91420298731708,78.47163319613887,80.48928233402941,38.15149278266146,209.59226211140253,66.4758030242317,14.7,12.0,128.54772364706807,2.0,10.056612693935232,0.8295332288503372,64.0,41.01249999999999,11.0,2159.578636363636,10.0,305.1,157.8,30.0,484.93271046717007,5,365.28629037286385,45,9.0,9.0,13.0,71.0,96.0,24.0,113.0,19.4,0.9718,115,4.01,1.97,0.19,9,1.504,10
2,Clemson,ACC,89.19469830433826,2020,80.09138346267059,295.0,10.0,15.0,9.0,9.0,12.0,0.0,121.0,6.0,1.0,434.0,19.0,4182.0,490.0,326.0,14.0,31.0,64.0,568.0,21885.0,1.0,123.0,13.0,410.0,33.0,1848.0,46.0,109.0,83.0,179.0,6030.0,15.0,16.46875,66.26575,67.0033,364.75,#f56600,#522d80,"['http://a.espncdn.com/i/teamlogos/ncaa/500/228.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/228.png']",0.13349999999999998,52.44200000000001,26.935,3.0,6.0,20.0,86.282,82.024,43.747,12.0,10.0,2.0,10.0,9.0,1.0,71.14166237212604,92.5936567533623,60.19901231581042,25.34941042444126,71.71931275866748,64.46421052631577,37.50831665170433,48.72762148337597,19.928305646860736,87.63270127782513,81.51635290968142,80.34805538000073,99.99999999999999,39.61762189905903,20.759259259259267,69.7,73.1,8.19012576933369,84.53125,84.9015211439002,66.26575,39.341040462427756,5.724137931034477,81.51635290968142,71.14166237212604,60.19901231581042,901.7699845848932,80.34805538000073,42.420984455958546,71.71931275866748,87.63270127782513,92.5936567533623,25.34941042444123,219.5323559980531,68.10595931703877,18.5,4.0,124.5031708363887,3.0,4.688149211999226,0.6298723728994643,36.0,35.70364372469635,25.0,2033.119333333333,16.0,355.25,217.0,2.0,426.16648943336446,25,375.33901022512543,38,5.0,19.0,4.0,35.0,113.0,15.0,94.0,17.6,0.8341818181818182,43,4.83,2.71,0.81,5,2.316,5
3,Ohio State,Big Ten,99.41525623682638,2020,100.0,200.0,5.0,9.0,3.0,11.0,8.0,2.0,105.0,6.0,1.0,93.0,7.0,2100.0,225.0,158.0,7.0,22.0,49.0,437.0,15442.0,1.0,62.0,10.0,344.0,19.0,2050.0,21.0,46.0,52.0,106.0,4150.0,9.0,13.375,72.92349999999999,56.0044,257.37,#ce1141,#505056,"['http://a.espncdn.com/i/teamlogos/ncaa/500/194.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/194.png']",0.395,95.266,27.563,2.0,2.0,15.0,71.231,94.976,35.599,8.0,7.0,1.0,6.0,6.0,0.0,82.45626447400375,46.596640410308936,56.2511515861039,57.67460712959925,79.5728084230045,72.92216216216217,35.78750093867547,54.700210378681646,33.32457915555149,59.249858644960185,78.95825575698187,40.98603568165669,67.14765988139125,33.77416595380669,6.703703703703695,71.2,76.1,10.0,87.625,52.56011560693641,72.92349999999999,30.757225433526017,9.862068965517224,78.95825575698187,82.45626447400375,56.2511515861039,994.6841476075124,40.986035681656695,59.22020725388601,79.5728084230045,59.24985864496019,46.596640410308936,57.67460712959924,209.29797218530024,63.633555111330075,14.6,1.0,124.31597587323525,4.0,2.1739960385154182,0.4393354423623867,11.0,24.38571428571428,84.0,1881.4942499999997,32.0,222.63,151.2,37.0,439.72230929473835,16,299.2356351044619,98,2.0,6.0,76.0,44.0,39.0,8.0,59.0,17.5,0.6935,1,4.3,2.83,1.44,4,2.489,3
4,Notre Dame,FBS Independents,84.73865495328279,2020,41.51926679154402,290.0,11.0,17.0,8.0,10.0,12.0,0.0,68.0,3.0,1.0,492.0,23.0,2849.0,362.0,231.0,7.0,15.0,53.0,456.0,24357.0,67.0,128.0,14.0,506.0,33.0,2537.0,29.0,87.0,81.0,167.0,5386.0,11.0,22.65625,71.5375,65.0629,405.95,#0c2340,#c99700,"['http://a.espncdn.com/i/teamlogos/ncaa/500/87.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/87.png']",0.355,131.675,19.341,7.0,4.0,8.0,69.211,77.743,41.126,12.0,10.0,2.0,10.0,9.0,1.0,63.93867723938237,74.10772439186414,39.69331882860493,28.78060739399416,60.59523959893853,91.288,39.90186979622889,47.75314645308927,13.614160705862844,74.38015110118721,71.32966358328954,71.4387926987108,88.66078135356064,35.721984602224126,13.731481481481495,71.0,74.9,4.6835697083221834,78.34375,97.31040462427744,71.5375,31.90173410404627,8.206896551724142,71.32966358328954,63.93867723938237,39.69331882860493,861.260499575298,71.4387926987108,56.78367875647668,60.59523959893853,74.38015110118721,74.10772439186414,28.780607393994146,196.44200741628572,56.91595309232855,9.6,5.0,123.18506373779547,5.0,8.465279227339623,0.5294565351886696,23.0,34.43416149068324,29.0,2050.4621666666667,15.0,314.05,170.6,22.0,402.4687536486684,37,323.8060642261899,83,10.0,33.0,20.0,85.0,109.0,20.0,65.0,17.0,0.74275,7,4.97,2.86,1.04,3,2.431,4
5,Texas A&M,SEC,83.6602659892409,2020,89.66818303451967,232.0,3.0,8.0,4.0,4.0,10.0,1.0,116.0,4.0,1.0,27.0,2.0,2267.0,301.0,189.0,10.0,20.0,61.0,564.0,20275.0,1.0,96.0,16.0,374.0,21.0,2050.0,27.0,63.0,73.0,133.0,4317.0,8.0,22.65625,87.35275000000004,38.125,337.92,#500000,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/245.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/245.png']",0.2875,62.6445,18.161,8.0,3.0,12.0,69.862,77.465,57.42,10.0,9.0,1.0,9.0,8.0,1.0,79.00595985221943,69.08377176987923,34.45095999031659,39.045455111147334,69.93276660596499,85.32715789473683,55.80426215027095,44.896926536731655,44.99467183246942,68.60435891948532,73.00888810632043,44.5065856258248,68.831296968014,35.46792130025665,14.953703703703724,70.1,74.1,9.06074391222906,78.34375,76.82068755704289,87.35275000000004,37.052023121387336,7.103448275862064,73.00888810632043,79.00595985221943,34.45095999031659,851.4569635385535,44.50658562582479,42.9339378238342,69.93276660596499,68.60435891948532,69.08377176987922,39.045455111147334,199.9020516309101,60.02054537483548,10.9,14.0,119.16852268562538,6.0,14.404604770966067,0.6623940189015347,41.0,23.5,92.0,1669.8195000000005,59.0,262.08,121.0,69.0,432.9979159000859,18,326.0854734992415,82,13.0,11.0,31.0,99.0,92.0,20.0,92.0,15.2,0.9342,104,5.25,3.32,1.6,2,2.981,2
6,USC,Big Ten,90.38442995564225,2020,100.0,134.0,10.0,15.0,4.0,6.0,6.0,0.0,141.0,7.0,1.0,305.0,13.0,1916.0,263.0,178.0,9.0,17.0,40.0,431.0,10887.0,1.0,43.0,10.0,184.0,8.0,584.0,13.0,34.0,39.0,89.0,2500.0,11.0,28.84375,59.9545,67.0033,181.45,#9e2237,#ffcc00,"['http://a.espncdn.com/i/teamlogos/ncaa/500/30.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/30.png']",0.37,100.938,14.267,18.0,11.0,63.0,68.515,59.003,50.996,6.0,5.0,1.0,6.0,5.0,1.0,62.31164599228481,58.78238900293488,30.861135694583567,42.93309832037525,46.790380689328344,42.36676923076922,75.958817158258,64.72826086956522,42.43038522875378,58.43514331819327,72.89747672709456,38.79086924588128,54.660465878592916,68.75021385799828,10.064814814814824,64.6,75.0,10.0,72.15625,29.694037115911154,59.9545,68.52601156069369,8.34482758620689,72.89747672709456,62.31164599228481,30.861135694583567,912.5857268694749,38.79086924588129,59.98963730569948,46.790380689328344,58.435143318193276,58.78238900293488,42.93309832037524,185.38984249651952,50.01896550295002,5.3,22.0,117.84550145177802,7.0,26.987171148614475,0.47228439730095073,15.0,38.16153846153847,16.0,1969.8526666666667,21.0,178.55,105.2,87.0,399.9364393503168,39,316.1649608005185,89,4.0,38.0,51.0,108.0,88.0,31.0,57.0,14.6,0.8263333333333334,42,2.33,1.06,0.05,20,0.874,18
7,Georgia,SEC,98.64792603894676,2020,89.66818303451967,209.0,6.0,13.0,4.0,4.0,10.0,2.0,185.0,11.0,1.0,594.0,20.0,2496.0,306.0,178.0,9.0,19.0,54.0,513.0,18022.0,1.0,136.0,17.0,377.0,18.0,1742.0,33.0,61.0,62.0,135.0,4238.0,15.0,47.40625,65.17675,46.688500000000005,300.37,#ba0c2f,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/61.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/61.png']",0.3695,49.838499999999996,22.215,5.0,7.0,11.0,76.39,73.941,61.455,10.0,8.0,2.0,9.0,7.0,2.0,59.515039376660525,65.0286858226118,50.85625380053105,59.25673493024465,57.54912885574499,77.17456,41.20614135930706,39.470108695652186,58.886987081884314,72.88811823532274,66.36134247917687,65.00400974520353,66.26033499941491,72.4764756201882,38.78703703703705,63.7,70.6,9.06074391222906,53.59375,65.51113477334955,65.17675,73.67630057803468,2.275862068965509,66.36134247917687,59.515039376660525,50.85625380053105,987.7084185358794,65.00400974520353,49.47409326424871,57.54912885574499,72.88811823532274,65.0286858226118,59.25673493024463,182.63103446756799,60.84899350351929,4.3,8.0,115.951855670663,8.0,8.574731435585964,0.519384051378686,21.0,44.599999999999994,5.0,1615.5745000000002,67.0,299.63,157.4,31.0,425.1389414916087,26,399.32168154795625,22,3.0,48.0,37.0,50.0,34.0,73.0,78.0,13.8,0.9257000000000002,98,4.36,2.33,0.58,6,1.984,6
8,Texas,SEC,87.64563343505208,2020,89.66818303451967,224.0,6.0,12.0,4.0,8.0,10.0,0.0,184.0,5.0,50.5,666.0,23.0,2801.0,345.0,208.0,10.0,32.0,82.0,790.0,16565.0,34.0,78.0,18.0,368.0,20.0,1954.0,15.0,74.0,49.0,134.0,4755.0,9.0,13.375,42.01075000000001,50.5,276.08,#c15d26,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/251.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/251.png']",0.556,60.9865,19.519,6.0,19.0,34.0,65.839,73.411,50.277,10.0,7.0,3.0,8.0,5.0,3.0,56.34963049130971,52.81712771331374,64.56156498780467,76.59098050138888,61.23945158005407,50.89599999999999,50.40636062257685,49.961956521739154,29.32460479151179,71.1410385593155,84.00433422530433,51.34934467223604,71.61821095283138,41.48075278015399,56.91666666666667,69.1,68.1,9.06074391222906,87.625,58.195314876787336,42.01075000000001,42.77456647398849,-1.172413793103459,84.00433422530433,56.34963049130971,64.56156498780467,887.6875766822915,51.34934467223604,13.952072538860108,61.23945158005407,71.1410385593155,52.817127713313724,76.59098050138888,186.08793516921378,63.78329897219776,5.6,29.0,114.97697473257256,9.0,21.36440171949768,0.8899527499895896,69.0,32.289855072463766,39.0,1457.7155,96.0,323.92,136.4,48.0,408.93809468720366,34,388.1017194261718,28,7.0,59.0,62.0,26.0,8.0,8.0,122.0,13.4,0.9853000000000002,119,2.76,0.73,-0.93,23,0.395,24
9,BYU,Big 12,48.93108031585239,2020,80.59207920792079,308.0,13.0,22.0,5.0,7.0,12.0,1.0,54.0,4.0,1.0,330.0,16.0,3984.0,375.0,272.0,8.0,33.0,50.0,430.0,21539.0,1.0,80.0,20.0,424.0,35.0,2284.0,27.0,59.0,65.0,132.0,6268.0,9.0,22.65625,73.369,59.4991,358.98,#003da5,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/252.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/252.png']",0.4215,92.009,16.208,13.0,14.0,69.0,66.767,87.025,52.766,12.0,11.0,1.0,0.0,0.0,0.0,88.54226031345476,75.93333463861015,67.07929314795109,66.6197709453229,92.65474366911849,54.61958208955224,50.318238644380195,41.4130434782609,75.17203465877199,84.12933672543434,93.79540692401513,71.45700243980133,45.06430862622011,39.363558597091526,9.657407407407419,70.4,74.6,8.235643564356437,78.34375,83.16367508366291,73.369,35.33526011560693,7.793103448275858,93.79540692401513,88.54226031345476,67.07929314795109,535.7370937804762,71.45700243980133,60.11787564766839,92.65474366911849,84.12933672543434,75.93333463861015,66.6197709453229,241.60398457345855,79.15978990664861,27.1,7.0,113.92293377191285,10.0,14.416405281195438,0.8026324945425506,58.0,28.82499999999999,63.0,1953.587,23.0,361.02,136.60000000000002,47.0,486.3730833855634,4,424.381930293609,18,71.0,3.0,18.0,19.0,18.0,20.0,56.0,12.9,0.9651818181818183,111,3.89,1.78,0.34,11,1.3,13
