,team,power_rating,conference,week,year
1,Alabama,32.3,SEC,12,2020
2,Ohio State,27.6,Big Ten,12,2020
3,Clemson,26.2,ACC,12,2020
4,Oklahoma,21.2,Big 12,12,2020
5,Wisconsin,21.2,Big Ten,12,2020
6,Georgia,20.6,SEC,12,2020
7,Notre Dame,19.6,FBS Independents,12,2020
8,Florida,18.1,SEC,12,2020
9,BYU,17.1,FBS Independents,12,2020
10,Texas A&M,17.0,SEC,12,2020
11,Iowa,16.4,Big Ten,12,2020
12,Cincinnati,16.0,American Athletic,12,2020
13,Iowa State,15.7,Big 12,12,2020
14,Oregon,15.3,Pac-12,12,2020
15,Texas,15.0,Big 12,12,2020
16,Oklahoma State,13.9,Big 12,12,2020
17,USC,13.2,Pac-12,12,2020
18,North Carolina,13.1,ACC,12,2020
19,Indiana,12.5,Big Ten,12,2020
20,Penn State,12.5,Big Ten,12,2020
21,Auburn,12.5,SEC,12,2020
22,UCF,12.2,American Athletic,12,2020
23,Arizona State,11.3,Pac-12,12,2020
24,Northwestern,10.9,Big Ten,12,2020
25,Miami,10.9,ACC,12,2020
26,Utah,10.3,Pac-12,12,2020
27,Virginia Tech,9.7,ACC,12,2020
28,Washington,8.9,Pac-12,12,2020
29,LSU,7.5,SEC,12,2020
30,West Virginia,7.5,Big 12,12,2020
31,TCU,7.4,Big 12,12,2020
32,App State,7.3,Sun Belt,12,2020
33,Michigan,6.7,Big Ten,12,2020
34,Coastal Carolina,6.7,Sun Belt,12,2020
35,Louisiana,6.7,Sun Belt,12,2020
36,Louisville,6.0,ACC,12,2020
37,Nebraska,5.8,Big Ten,12,2020
38,Tulsa,5.7,American Athletic,12,2020
39,Ole Miss,5.4,SEC,12,2020
40,Boise State,5.3,Mountain West,12,2020
41,Pittsburgh,5.2,ACC,12,2020
42,Minnesota,4.7,Big Ten,12,2020
43,Marshall,4.6,Conference USA,12,2020
44,Stanford,4.4,Pac-12,12,2020
45,Purdue,4.3,Big Ten,12,2020
46,UCLA,4.1,Pac-12,12,2020
47,SMU,4.0,American Athletic,12,2020
48,Buffalo,3.5,Mid-American,12,2020
49,Kentucky,3.3,SEC,12,2020
50,UAB,3.1,Conference USA,12,2020
51,Wake Forest,2.9,ACC,12,2020
52,San Diego State,2.9,Mountain West,12,2020
53,Baylor,2.8,Big 12,12,2020
54,California,2.7,Pac-12,12,2020
55,Memphis,2.3,American Athletic,12,2020
56,Tulane,2.0,American Athletic,12,2020
57,Kansas State,2.0,Big 12,12,2020
58,Arkansas,2.0,SEC,12,2020
59,Washington State,1.8,Pac-12,12,2020
60,Tennessee,1.8,SEC,12,2020
61,Houston,1.8,American Athletic,12,2020
62,Boston College,1.7,ACC,12,2020
63,Liberty,1.6,FBS Independents,12,2020
64,Missouri,1.5,SEC,12,2020
65,Virginia,1.4,ACC,12,2020
66,Mississippi State,0.9,SEC,12,2020
67,Colorado,0.6,Pac-12,12,2020
68,NC State,0.6,ACC,12,2020
69,Oregon State,0.1,Pac-12,12,2020
70,Army,-0.1,FBS Independents,12,2020
71,Nevada,-0.2,Mountain West,12,2020
72,San José State,-0.5,Mountain West,12,2020
73,Maryland,-1.3,Big Ten,12,2020
74,Western Michigan,-1.4,Mid-American,12,2020
75,Texas Tech,-1.8,Big 12,12,2020
76,Wyoming,-1.8,Mountain West,12,2020
77,Troy,-2.2,Sun Belt,12,2020
78,South Carolina,-2.4,SEC,12,2020
79,Georgia Southern,-2.5,Sun Belt,12,2020
80,Ball State,-2.6,Mid-American,12,2020
81,Michigan State,-3.0,Big Ten,12,2020
82,Central Michigan,-3.1,Mid-American,12,2020
83,Toledo,-3.2,Mid-American,12,2020
84,Air Force,-3.3,Mountain West,12,2020
85,Georgia Tech,-3.5,ACC,12,2020
86,Ohio,-3.7,Mid-American,12,2020
87,Illinois,-3.9,Big Ten,12,2020
88,Florida State,-4.6,ACC,12,2020
89,Florida Atlantic,-4.6,Conference USA,12,2020
90,Rutgers,-4.9,Big Ten,12,2020
91,Georgia State,-5.4,Sun Belt,12,2020
92,Kent State,-5.7,Mid-American,12,2020
93,Arizona,-6.0,Pac-12,12,2020
94,Duke,-6.3,ACC,12,2020
95,Fresno State,-6.5,Mountain West,12,2020
96,Hawai'i,-7.2,Mountain West,12,2020
97,Western Kentucky,-7.5,Conference USA,12,2020
98,Colorado State,-7.7,Mountain West,12,2020
99,Arkansas State,-7.7,Sun Belt,12,2020
100,Rice,-8.1,Conference USA,12,2020
101,East Carolina,-8.1,American Athletic,12,2020
102,Miami (OH),-8.3,Mid-American,12,2020
103,UTSA,-9.0,Conference USA,12,2020
104,Syracuse,-9.3,ACC,12,2020
105,Navy,-9.5,American Athletic,12,2020
106,Louisiana Tech,-10.0,Conference USA,12,2020
107,Eastern Michigan,-10.4,Mid-American,12,2020
108,Charlotte,-10.5,Conference USA,12,2020
109,South Florida,-11.8,American Athletic,12,2020
110,Southern Miss,-12.2,Conference USA,12,2020
111,Temple,-12.2,American Athletic,12,2020
112,South Alabama,-12.8,Sun Belt,12,2020
113,New Mexico,-13.0,Mountain West,12,2020
