,team,power_rating,conference,week,year
1,Ohio State,27.2,Big Ten,17,2024
2,Penn State,21.4,Big Ten,17,2024
3,Notre Dame,20.1,FBS Independents,17,2024
4,Alabama,19.9,SEC,17,2024
5,Ole Miss,17.6,SEC,17,2024
6,Oregon,17.0,Big Ten,17,2024
7,Georgia,16.2,SEC,17,2024
8,Miami,15.5,ACC,17,2024
9,Texas,15.5,SEC,17,2024
10,Indiana,15.5,Big Ten,17,2024
11,LSU,15.0,SEC,17,2024
12,Clemson,14.2,ACC,17,2024
13,Tennessee,13.8,SEC,17,2024
14,Florida,11.7,SEC,17,2024
15,Texas A&M,11.3,SEC,17,2024
16,South Carolina,10.6,SEC,17,2024
17,Tulane,10.4,American Athletic,17,2024
18,Colorado,10.1,Big 12,17,2024
19,Minnesota,9.9,Big Ten,17,2024
20,Iowa,8.8,Big Ten,17,2024
21,TCU,8.5,Big 12,17,2024
22,Missouri,8.3,SEC,17,2024
23,SMU,8.2,ACC,17,2024
24,Boise State,8.2,Mountain West,17,2024
25,Arizona State,8.2,Big 12,17,2024
26,Michigan,8.0,Big Ten,17,2024
27,USC,7.7,Big Ten,17,2024
28,Louisville,7.5,ACC,17,2024
29,Kansas State,7.1,Big 12,17,2024
30,Auburn,6.9,SEC,17,2024
31,Iowa State,6.8,Big 12,17,2024
32,Arkansas,6.8,SEC,17,2024
33,Baylor,6.7,Big 12,17,2024
34,Nebraska,6.7,Big Ten,17,2024
35,Oklahoma,6.7,SEC,17,2024
36,Kansas,6.5,Big 12,17,2024
37,Illinois,6.5,Big Ten,17,2024
38,Memphis,6.4,American Athletic,17,2024
39,Virginia Tech,6.4,ACC,17,2024
40,North Carolina,5.9,ACC,17,2024
41,Georgia Tech,5.8,ACC,17,2024
42,BYU,5.1,Big 12,17,2024
43,South Alabama,5.1,Sun Belt,17,2024
44,Utah,5.1,Big 12,17,2024
45,Vanderbilt,4.9,SEC,17,2024
46,Pittsburgh,4.6,ACC,17,2024
47,Kentucky,4.5,SEC,17,2024
48,Army,4.4,American Athletic,17,2024
49,Boston College,4.3,ACC,17,2024
