,team,power_rating,week,year
1,Ohio State,33,5,2024
2,Alabama,26,5,2024
3,Ole Miss,22.6,5,2024
4,Texas,21.5,5,2024
5,Georgia,20.2,5,2024
6,Penn State,19.8,5,2024
7,Miami,18.4,5,2024
8,Tennessee,17.9,5,2024
9,Oregon,17.5,5,2024
10,Notre Dame,15.5,5,2024
11,Indiana,15.4,5,2024
12,Texas A&M,14.9,5,2024
13,Auburn,14.3,5,2024
14,Washington,14.3,5,2024
15,Missouri,13.7,5,2024
16,USC,13.1,5,2024
17,LSU,12.7,5,2024
18,Louisville,12.7,5,2024
19,Florida,12.2,5,2024
20,Clemson,11.7,5,2024
21,Michigan,11.3,5,2024
22,Arkansas,10.8,5,2024
23,Oklahoma,10.7,5,2024
24,North Carolina,10.5,5,2024
25,UCF,10.4,5,2024
26,Pittsburgh,9.5,5,2024
27,Utah,9.4,5,2024
28,Kentucky,9.1,5,2024
29,Nebraska,8.3,5,2024
30,Minnesota,7.7,5,2024
31,SMU,7.1,5,2024
32,Iowa,7.1,5,2024
33,Georgia Tech,6.9,5,2024
34,South Carolina,6.8,5,2024
35,Michigan State,6.8,5,2024
36,Maryland,6.7,5,2024
37,Arizona State,6.5,5,2024
38,Baylor,6.2,5,2024
39,TCU,6.2,5,2024
40,Boston College,5.8,5,2024
41,Colorado,5.4,5,2024
42,Wisconsin,5.3,5,2024
43,Kansas,5.3,5,2024
44,Vanderbilt,4.9,5,2024
45,Iowa State,4.4,5,2024
46,Texas State,4,5,2024
47,Kansas State,4,5,2024
48,Rutgers,4,5,2024
49,Cincinnati,4,5,2024
50,Arizona,3.8,5,2024
51,Texas Tech,3.7,5,2024
52,Illinois,2.9,5,2024
53,Florida State,2.9,5,2024
54,Duke,2.4,5,2024
55,California,2.3,5,2024
56,Boise State,2.2,5,2024
57,NC State,2.2,5,2024
58,Purdue,2.1,5,2024
59,Mississippi State,2,5,2024
60,Stanford,2,5,2024
61,West Virginia,1.9,5,2024
62,Virginia,1.8,5,2024
63,South Alabama,1.6,5,2024
64,Oklahoma State,1.4,5,2024
65,Washington State,1.3,5,2024
66,UTSA,0.9,5,2024
67,Virginia Tech,0.8,5,2024
68,Oregon State,0.5,5,2024
69,Syracuse,0.4,5,2024
70,Houston,0.4,5,2024
71,BYU,0.2,5,2024
72,Memphis,-0.6,5,2024
73,Marshall,-0.7,5,2024
74,Tulane,-0.9,5,2024
75,East Carolina,-1.2,5,2024
76,Fresno State,-1.2,5,2024
77,Northwestern,-1.8,5,2024
78,Louisiana,-2,5,2024
79,South Florida,-2.3,5,2024
80,Toledo,-2.9,5,2024
81,UAB,-3.1,5,2024
82,Army,-3.2,5,2024
83,Hawai'i,-3.4,5,2024
84,North Texas,-3.4,5,2024
85,UCLA,-3.7,5,2024
86,Northern Illinois,-3.8,5,2024
87,UNLV,-4,5,2024
88,Navy,-4.2,5,2024
89,San José State,-4.4,5,2024
90,Tulsa,-4.7,5,2024
91,Coastal Carolina,-4.9,5,2024
92,Rice,-5.2,5,2024
93,Louisiana Tech,-5.8,5,2024
94,Massachusetts,-6,5,2024
95,Nevada,-6.5,5,2024
96,Georgia State,-6.6,5,2024
97,Wake Forest,-6.8,5,2024
98,Liberty,-7,5,2024
99,UConn,-7.1,5,2024
100,Charlotte,-7.4,5,2024
101,Bowling Green,-7.4,5,2024
102,Florida Atlantic,-7.6,5,2024
103,Western Kentucky,-8.6,5,2024
104,San Diego State,-8.8,5,2024
105,Florida International,-9.2,5,2024
106,Troy,-9.3,5,2024
107,App State,-9.5,5,2024
108,Temple,-9.6,5,2024
109,Southern Miss,-9.8,5,2024
110,Colorado State,-9.9,5,2024
111,Western Michigan,-10.5,5,2024
112,Air Force,-10.8,5,2024
113,Old Dominion,-11,5,2024
114,Utah State,-11.2,5,2024
115,Ohio,-11.3,5,2024
116,Central Michigan,-11.4,5,2024
117,James Madison,-12.7,5,2024
118,Eastern Michigan,-13.3,5,2024
119,Arkansas State,-13.3,5,2024
120,Miami (OH),-14.1,5,2024
121,Akron,-14.3,5,2024
122,Buffalo,-14.4,5,2024
123,Georgia Southern,-15,5,2024
124,UTEP,-15.6,5,2024
125,Sam Houston,-16.1,5,2024
126,Middle Tennessee,-16.2,5,2024
127,Ball State,-17.1,5,2024
128,Jacksonville State,-17.6,5,2024
129,New Mexico,-18.2,5,2024
130,New Mexico State,-18.6,5,2024
131,Wyoming,-20.8,5,2024
132,UL Monroe,-24.1,5,2024
133,Kent State,-24.7,5,2024
134,Kennesaw State,-31.1,5,2024
