,team,power_rating,week,season,avg_expected_wins,SOS
0,Ohio State,22.0,0,2025,9.646,28
1,Texas,21.86,0,2025,9.059,13
2,Georgia,21.79,0,2025,9.034,12
3,Alabama,21.74,0,2025,9.02,10
4,Oregon,21.22,0,2025,9.947,36
5,Notre Dame,20.37,0,2025,9.845,32
6,Penn State,19.8,0,2025,9.679,29
7,LSU,17.18,0,2025,9.023,11
8,Tennessee,16.66,0,2025,9.376,19
9,Miami,16.4,0,2025,9.787,31
10,Florida,15.65,0,2025,8.476,1
11,Texas A&M,14.81,0,2025,8.782,6
12,Ole Miss,14.54,0,2025,9.293,15
13,Michigan,14.08,0,2025,9.945,35
14,Clemson,14.01,0,2025,9.996,41
15,South Carolina,13.25,0,2025,8.818,7
16,Oklahoma,12.35,0,2025,8.572,2
17,Missouri,12.12,0,2025,9.59,25
18,USC,12.05,0,2025,9.553,23
19,Indiana,10.89,0,2025,9.989,40
20,Auburn,10.87,0,2025,9.171,14
21,Nebraska,10.17,0,2025,9.905,34
22,TCU,9.61,0,2025,10.239,49
23,Iowa,8.21,0,2025,9.358,18
24,Arkansas,7.85,0,2025,8.583,3
25,Colorado,7.69,0,2025,10.5,61
26,Boise State,7.58,0,2025,10.979,78
27,Iowa State,7.45,0,2025,10.395,53
28,Illinois,7.23,0,2025,10.056,43
29,SMU,7.21,0,2025,10.078,44
30,Minnesota,6.62,0,2025,9.749,30
31,Kentucky,6.46,0,2025,8.777,5
32,Arizona State,6.32,0,2025,10.449,58
33,Kansas State,6.3,0,2025,10.443,57
34,Texas Tech,6.28,0,2025,10.722,70
35,Syracuse,6.11,0,2025,9.378,20
36,Louisville,6.09,0,2025,10.235,48
37,Baylor,6.06,0,2025,10.372,50
38,Georgia Tech,6.05,0,2025,9.85,33
39,Virginia Tech,5.86,0,2025,10.197,45
40,Vanderbilt,5.83,0,2025,8.824,8
41,Rutgers,4.97,0,2025,9.447,21
42,Wisconsin,4.96,0,2025,8.93,9
