,Unnamed: 0,team,power_rating,week,season,conference,avg_expected_wins,SOS,win_total
0,0,Penn State,24.7,1,2025,Big Ten,10.021,38,10.5
1,1,Ohio State,24.2,1,2025,Big Ten,9.433,18,10.1
2,2,Texas,23.5,1,2025,SEC,9.179,11,9.6
3,3,Alabama,22.3,1,2025,SEC,9.289,15,9.7
4,4,Notre Dame,22.0,1,2025,FBS Independents,9.887,31,10.1
5,5,Georgia,21.7,1,2025,SEC,9.281,14,9.5
6,6,Texas A&M,20.0,1,2025,SEC,8.899,7,8.9
7,7,Clemson,20.0,1,2025,ACC,10.022,39,9.9
8,8,LSU,19.7,1,2025,SEC,8.893,6,8.7
9,9,Oregon,18.2,1,2025,Big Ten,9.967,34,9.6
10,10,Florida,15.4,1,2025,SEC,8.527,1,7.3
11,11,Michigan,14.1,1,2025,Big Ten,9.954,33,8.9
12,12,Miami,14.0,1,2025,ACC,9.685,26,8.4
13,13,Tennessee,14.0,1,2025,SEC,9.528,21,8.3
14,14,Oklahoma,12.9,1,2025,SEC,8.748,5,7.0
15,15,Kansas State,11.8,1,2025,Big 12,10.322,52,8.6
16,16,Ole Miss,11.7,1,2025,SEC,9.355,16,7.5
17,17,South Carolina,11.6,1,2025,SEC,8.652,3,6.4
18,18,SMU,11.0,1,2025,ACC,10.119,44,8.3
19,19,USC,10.1,1,2025,Big Ten,9.77,27,7.6
20,20,Nebraska,9.1,1,2025,Big Ten,10.018,37,7.8
21,21,TCU,8.9,1,2025,Big 12,10.198,48,7.5
22,22,Georgia Tech,8.8,1,2025,ACC,9.902,32,7.6
23,23,Baylor,8.7,1,2025,Big 12,10.082,43,7.3
24,24,Missouri,8.5,1,2025,SEC,9.609,24,6.8
25,25,Iowa State,8.1,1,2025,Big 12,10.347,55,7.6
26,26,Louisville,7.7,1,2025,ACC,10.134,45,7.4
27,27,Pittsburgh,7.3,1,2025,ACC,10.038,42,7.3
28,28,Texas Tech,7.0,1,2025,Big 12,10.624,65,7.8
29,29,Auburn,7.0,1,2025,SEC,9.195,13,6.1
30,30,Utah,6.5,1,2025,Big 12,10.393,57,7.3
31,31,NC State,6.2,1,2025,ACC,10.037,41,7.0
32,32,Arkansas,6.1,1,2025,SEC,8.638,2,5.1
33,33,Arizona State,6.1,1,2025,Big 12,10.425,59,7.0
34,34,Virginia Tech,6.1,1,2025,ACC,10.296,49,7.2
35,35,Boise State,5.9,1,2025,Mountain West,11.011,85,9.0
36,36,Cincinnati,5.5,1,2025,Big 12,10.335,53,6.7
37,37,BYU,5.5,1,2025,Big 12,10.555,64,7.1
38,38,Washington,5.4,1,2025,Big Ten,9.788,29,6.7
39,39,Iowa,5.2,1,2025,Big Ten,9.58,23,6.0
40,40,Rutgers,5.1,1,2025,Big Ten,9.505,20,6.2
41,41,Illinois,4.9,1,2025,Big Ten,10.185,47,6.9
42,42,Indiana,4.7,1,2025,Big Ten,10.154,46,7.1
43,43,UCF,4.0,1,2025,Big 12,10.471,60,6.5
44,44,Vanderbilt,3.9,1,2025,SEC,8.945,8,5.1
45,45,Minnesota,3.8,1,2025,Big Ten,9.996,36,6.4
46,46,Kansas,3.8,1,2025,Big 12,10.303,50,6.2
47,47,Boston College,3.7,1,2025,ACC,9.778,28,6.1
48,48,Wisconsin,3.5,1,2025,Big Ten,9.17,10,5.0
49,49,Kentucky,2.8,1,2025,SEC,8.991,9,4.7
50,50,South Florida,2.7,1,2025,American Athletic,10.665,67,7.4
51,51,Texas State,2.4,1,2025,Sun Belt,11.272,116,8.4
52,52,North Carolina,2.3,1,2025,ACC,10.536,63,7.0
53,53,Florida State,2.1,1,2025,ACC,9.541,22,5.7
54,54,Arizona,2.1,1,2025,Big 12,10.405,58,6.0
55,55,Liberty,2.0,1,2025,Conference USA,11.604,136,9.6
56,56,Memphis,1.5,1,2025,American Athletic,11.133,97,7.7
57,57,Mississippi State,1.2,1,2025,SEC,8.726,4,4.2
58,58,Coastal Carolina,0.9,1,2025,Sun Belt,11.173,102,7.8
59,59,Colorado,0.7,1,2025,Big 12,10.313,51,5.3
60,60,Tulane,0.7,1,2025,American Athletic,11.029,87,7.2
61,61,Oklahoma State,0.0,1,2025,Big 12,10.036,40,4.8
62,62,UTSA,-0.1,1,2025,American Athletic,10.849,76,7.1
63,63,Oregon State,-0.2,1,2025,Pac-12,10.768,71,6.7
64,64,James Madison,-0.2,1,2025,Sun Belt,11.016,86,6.8
65,65,Michigan State,-0.2,1,2025,Big Ten,9.798,30,4.7
66,66,Washington State,-0.3,1,2025,Pac-12,10.947,80,6.8
67,67,Duke,-0.5,1,2025,ACC,10.391,56,5.8
68,68,Toledo,-0.5,1,2025,Mid-American,11.484,133,8.5
69,69,West Virginia,-0.7,1,2025,Big 12,10.337,54,4.9
70,70,Louisiana,-0.9,1,2025,Sun Belt,11.216,105,7.5
71,71,Syracuse,-0.9,1,2025,ACC,9.19,12,4.0
72,72,Ohio,-0.9,1,2025,Mid-American,10.825,74,7.4
73,73,Northwestern,-1.0,1,2025,Big Ten,9.634,25,4.8
74,74,Houston,-1.1,1,2025,Big 12,10.528,62,5.2
75,75,Maryland,-1.2,1,2025,Big Ten,10.496,61,5.2
76,76,Navy,-1.2,1,2025,American Athletic,10.860000000000001,77,6.4
77,77,UCLA,-1.3,1,2025,Big Ten,9.503,19,4.5
78,78,South Alabama,-1.5,1,2025,Sun Belt,11.188,104,6.9
79,79,Miami (OH),-2.4,1,2025,Mid-American,11.275,117,7.2
80,80,Georgia Southern,-2.6,1,2025,Sun Belt,11.169,101,6.7
81,81,Western Michigan,-2.8,1,2025,Mid-American,11.377,124,7.3
82,82,Army,-2.9,1,2025,American Athletic,11.179,103,6.3
83,83,Jacksonville State,-3.0,1,2025,Conference USA,11.376,123,7.7
84,84,California,-3.2,1,2025,ACC,10.651,66,5.0
85,85,East Carolina,-3.2,1,2025,American Athletic,11.082,91,6.2
86,86,San José State,-3.4,1,2025,Mountain West,10.984,84,7.5
87,87,Wake Forest,-4.1,1,2025,ACC,10.683,68,5.2
88,88,Troy,-4.2,1,2025,Sun Belt,10.89,78,6.1
89,89,Arkansas State,-4.7,1,2025,Sun Belt,11.139,98,6.1
90,90,Northern Illinois,-4.7,1,2025,Mid-American,11.385,125,6.9
91,91,Fresno State,-5.0,1,2025,Mountain West,11.232,109,6.1
92,92,UNLV,-5.4,1,2025,Mountain West,11.446,131,6.8
93,93,San Diego State,-5.4,1,2025,Mountain West,11.341,121,6.5
94,94,Virginia,-6.0,1,2025,ACC,10.769,72,4.3
95,95,Tulsa,-6.0,1,2025,American Athletic,11.222,107,5.7
96,96,Utah State,-6.1,1,2025,Mountain West,10.947,79,6.0
97,97,Old Dominion,-6.1,1,2025,Sun Belt,11.101,93,5.4
98,98,North Texas,-6.2,1,2025,American Athletic,11.257,112,5.7
99,99,Colorado State,-6.4,1,2025,Mountain West,11.248,110,5.9
100,100,Rice,-6.5,1,2025,American Athletic,11.261,113,5.6
101,101,Georgia State,-6.6,1,2025,Sun Belt,10.961,83,4.8
102,102,UAB,-6.7,1,2025,American Athletic,11.066,90,5.5
103,103,Purdue,-6.8,1,2025,Big Ten,9.376,17,3.2
104,104,Stanford,-6.8,1,2025,ACC,9.972,35,3.4
105,105,Sam Houston,-7.6,1,2025,Conference USA,11.033,88,6.1
106,106,App State,-8.0,1,2025,Sun Belt,11.226,108,5.3
107,107,Buffalo,-8.2,1,2025,Mid-American,11.498,134,6.7
108,108,UConn,-8.7,1,2025,FBS Independents,11.453,132,5.8
109,109,Western Kentucky,-8.7,1,2025,Conference USA,11.119,95,6.0
110,110,Air Force,-8.7,1,2025,Mountain West,11.39,127,5.5
111,111,Middle Tennessee,-9.0,1,2025,Conference USA,11.546,135,6.5
112,112,Florida Atlantic,-9.1,1,2025,American Athletic,11.219,106,4.6
113,113,Marshall,-9.1,1,2025,Sun Belt,10.826,75,4.5
114,114,Wyoming,-9.5,1,2025,Mountain West,11.369,122,5.3
115,115,Florida International,-9.5,1,2025,Conference USA,10.951,81,5.6
116,116,Temple,-10.5,1,2025,American Athletic,10.954,82,4.2
117,117,Nevada,-10.5,1,2025,Mountain West,10.816,73,4.6
118,118,Bowling Green,-11.0,1,2025,Mid-American,11.256,111,5.3
119,119,Louisiana Tech,-11.5,1,2025,Conference USA,11.128,96,5.4
120,120,UTEP,-12.1,1,2025,Conference USA,11.046,89,5.3
121,121,Southern Miss,-12.1,1,2025,Sun Belt,11.269,115,4.0
122,122,Eastern Michigan,-14.0,1,2025,Mid-American,11.31,119,3.8
123,123,Hawai'i,-14.0,1,2025,Mountain West,11.396,129,3.7
124,124,Massachusetts,-14.4,1,2025,Mid-American,11.288,118,4.4
125,125,Missouri State,-15.0,1,2025,Conference USA,11.154,99,4.1
126,126,Delaware,-15.0,1,2025,Conference USA,11.395,128,3.7
127,127,Central Michigan,-15.5,1,2025,Mid-American,11.095,92,4.1
128,128,New Mexico State,-16.8,1,2025,Conference USA,11.262,114,3.9
129,129,UL Monroe,-17.2,1,2025,Sun Belt,10.756,70,2.4
130,130,Kennesaw State,-17.9,1,2025,Conference USA,11.386,126,3.2
131,131,Akron,-18.4,1,2025,Mid-American,11.404,130,3.8
132,132,New Mexico,-18.6,1,2025,Mountain West,11.105,94,2.5
133,133,Ball State,-19.1,1,2025,Mid-American,11.327,120,3.0
134,134,Charlotte,-20.2,1,2025,American Athletic,10.737,69,1.8
135,135,Kent State,-25.0,1,2025,Mid-American,11.155,100,1.9
