,team,conference,avg_talent,season,sp_conf_rating,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,kickReturnTDs,kickReturnTDsOpponent,kickReturnYards,kickReturnYardsOpponent,kickReturns,kickReturnsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,sacks,sacksOpponent,tacklesForLoss,tacklesForLossOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent,total_turnovers,thirdDownConversionRate,fourthDownConversionRate,possessionTimeMinutes,color,alt_color,logo,fpi,fpi_rank,fpi_sor,fpi_sos,def_eff,off_eff,special_eff,games_played,wins,losses,conference_games,conference_wins,conference_losses,Offense_explosiveness,Defense_explosiveness,Offense_ppa,Defense_ppa,Defense_havoc_total,Offense_successRate,Defense_successRate,Offense_powerSuccess,Defense_powerSuccess,Offense_stuffRate,Defense_stuffRate,Offense_pointsPerOpportunity,Defense_pointsPerOpportunity,Offense_fieldPosition_averagePredictedPoints,Defense_fieldPosition_averagePredictedPoints,Offense_fieldPosition_averageStart,Defense_fieldPosition_averageStart,offense_drive_quality,defense_drive_quality,avg_opp_offense_drive_quality_pct,avg_opp_defense_drive_quality_pct,adj_offense_drive_quality,adj_defense_drive_quality,elo_x,avg_opp_offense_ppa,avg_opp_defense_ppa,avg_opp_offense_ppo,avg_opp_defense_ppo,adj_offense_ppa,adj_defense_ppa,adj_offense_ppo,adj_defense_ppo,unweighted_power,power_rating,sp_conf_scaled,total_turnovers_scaled,possession_scaled,third_down_scaled,offense_avg_field_position_scaled,defense_avg_field_position_scaled,offense_ppo_scaled,offense_success_scaled,offense_explosive,talent_scaled,defense_ppo_scaled,penalties_scaled,offense_ppa_scaled,defense_ppa_scaled,defense_success_scaled,defense_explosive,PBR,PBR_rank,STM,STM_rank,DCE,DCE_rank,DefensivePossessionTime,DDE,DDE_rank,offensive_total,defensive_total,offensive_rank,defensive_rank,talent_scaled_rank,offense_success_rank,defense_success_rank,offense_explosive_rank,defense_explosive_rank,total_turnovers_rank,penalties_rank,avg_expected_wins,SOS,wins_above_average,wins_above_good,wins_above_elite,SOR,most_deserving_wins,most_deserving,elo_y
0,Penn State,Big Ten,887.93,2025,9.622222222222222,25.0,13.0,2.0,1.0,3.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,88.0,85.0,2.0,4.0,303.0,125.0,35.0,21.0,29.0,11.0,1.0,0.0,1.0,1.0,5.0,3.0,45.0,14.0,2020.0,1580.0,0.0,0.0,8.0,0.0,3.0,0.0,36.0,31.0,4.0,0.0,135.0,78.0,3.0,1.0,9.0,6.0,6.0,4.0,13.0,11.0,438.0,203.0,0.0,3.0,3.0,0.4615,0.6667,33.67,#041E42,#FFFFFF,"['http://a.espncdn.com/i/teamlogos/ncaa/500/213.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/213.png']",20.246,5,0,0,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.9469687550426382,0.9851945343277386,0.35411418467403544,-0.061255370774994405,,0.5633802816901409,0.34,0.7142857142857143,0.5,0.14285714285714285,0.2222222222222222,5.222222222222222,3.3333333333333335,2.057,-1.116,59.1,73.1,81.8,9.1,9.1,81.8,0.0,0.0,2073.0,-0.061255370774994405,0.35411418467403544,3.3333333333333335,5.222222222222222,0.0,0.0,0.0,0.0,21.2,24.3,8.208575487537129,75.25,49.19040046262831,53.215428571428575,87.62499999999999,2.074074074074069,74.85714285714286,69.8603026185875,16.057092550306024,862.4082540830877,42.48571428571428,75.52197802197801,55.66498549658021,69.21956540787224,56.94607028753994,78.81919556059833,0.05217946348141576,32.0,60.66666666666666,10.0,51.619,39.0,26.33,22.2,11.0,2.7437442769755673,-1.005519721019993,17,44,11.0,20.0,54.0,114.0,27.0,4.0,54.0,10.008,32,0.03,0.0,0.0,36,0.0,36,2073
1,Ohio State,Big Ten,982.3666666666667,2025,9.622222222222222,11.0,16.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,1.0,126.0,170.0,20.0,30.0,13.0,17.0,1.0,0.0,1.0,1.0,2.0,6.0,15.0,50.0,1925.0,1675.0,0.0,0.0,0.0,3.0,0.0,1.0,31.0,37.0,1.0,0.0,89.0,166.0,1.0,0.0,1.0,1.0,3.0,5.0,12.0,14.0,215.0,336.0,0.0,1.0,1.0,0.25,0.5,32.08,#ce1141,#505056,"['http://a.espncdn.com/i/teamlogos/ncaa/500/194.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/194.png']",20.503,4,0,0,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.927354893379026,0.9056990216331493,0.035721038997178885,-0.12004779138818919,0.375,0.3333333333333333,0.417910447761194,0.5,0.75,0.2647058823529412,0.05714285714285714,7.0,2.3333333333333335,0.881,-1.613,80.5,68.0,-18.2,30.0,30.0,-18.2,0.0,0.0,1977.0,-0.12004779138818919,0.035721038997178885,2.3333333333333335,7.0,0.0,0.0,0.0,0.0,16.5,24.3,8.208575487537129,58.75,46.91470290588405,29.285714285714285,4.8671875,-1.7037037037037024,100.0,23.16476932294787,14.330143122783866,969.6553928723151,53.79999999999999,91.84065934065934,25.76930443851432,73.73854720174229,42.12765247246198,85.21569799928875,0.0154694132681168,4.0,,,44.58,67.0,27.92,2.2,130.0,-0.9681766730752523,-1.139189288015645,84,40,3.0,111.0,90.0,118.0,15.0,29.0,6.0,9.635,23,1.0,0.97,0.52,2,0.794,3,1977
2,Georgia,SEC,995.9133333333333,2025,15.55,27.0,7.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,3.0,249.0,129.0,32.0,21.0,19.0,11.0,0.0,0.0,3.0,0.0,2.0,6.0,15.0,42.0,2069.0,1531.0,0.0,0.0,26.0,14.0,4.0,2.0,44.0,30.0,3.0,1.0,239.0,79.0,0.0,0.0,6.0,3.0,6.0,3.0,16.0,15.0,488.0,208.0,0.0,0.0,0.0,0.375,1.0,34.48,#ba0c2f,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/61.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/61.png']",21.531,2,0,0,,,,1.0,1.0,0.0,0.0,0.0,0.0,1.281391412897487,1.1731218949895885,0.38038353681613885,0.0006199775161888648,0.467,0.5,0.2549019607843137,0.8,0.5,0.11363636363636363,0.41935483870967744,6.333333333333333,7.0,1.384,-0.66,68.9,79.8,53.8,-35.7,-35.7,53.8,0.0,0.0,2053.0,0.0006199775161888648,0.38038353681613885,7.0,6.333333333333333,0.0,0.0,0.0,0.0,25.2,23.4,10.0,50.5,50.349718085875374,43.42857142857143,49.72656249999998,7.037037037037038,90.57142857142857,56.99520671060515,45.50213644007245,985.0396847095046,1.0,91.84065934065934,58.13155924009729,64.46361949680232,73.13155421913174,63.697866317922774,0.015227812881897859,3.0,,,58.23,12.0,25.520000000000003,3.5999999999999996,126.0,2.6024732130591017,-0.23075309252296106,19,60,2.0,39.0,19.0,57.0,55.0,54.0,6.0,9.327,14,0.05,0.0,0.0,83,0.0,85,2053
3,Alabama,SEC,1009.0866666666666,2025,15.55,18.0,20.0,2.0,2.0,5.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,254.0,152.0,43.0,14.0,23.0,9.0,0.0,0.0,2.0,0.0,8.0,4.0,70.0,40.0,1778.0,1822.0,0.0,0.0,0.0,3.0,0.0,1.0,29.0,46.0,0.0,4.0,87.0,236.0,1.0,3.0,3.0,7.0,6.0,5.0,17.0,12.0,341.0,388.0,0.0,1.0,1.0,0.3529,0.4,29.63,#9e1632,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/333.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png']",20.7,3,0,0,,,,1.0,0.0,1.0,0.0,0.0,0.0,1.366452788630703,1.6191613443445847,0.10022477071900321,0.2900566280759246,,0.375,0.38095238095238093,0.6666666666666666,0.75,0.18518518518518517,0.16666666666666666,2.8333333333333335,5.166666666666667,1.633,-1.189,67.0,72.5,50.0,50.0,50.0,50.0,0.0,0.0,1755.0,0.2900566280759246,0.10022477071900321,5.166666666666667,2.8333333333333335,0.0,0.0,0.0,0.0,17.1,22.7,10.0,58.75,43.40812490964291,40.92811428571429,57.07421875,1.6296296296296333,41.07142857142857,31.622378669862194,52.991568997825624,1000.0,21.742857142857147,61.92307692307692,31.825914063420825,42.21655192046532,49.15700593336376,27.807885502118097,0.07,50.0,,,41.159,84.0,30.37,9.4,84.0,-0.8578076746882526,3.0008588388191892,82,118,1.0,97.0,71.0,39.0,124.0,29.0,106.0,9.257,13,-0.23,-0.89,-1.0,110,-0.947,109,1755
4,Texas,SEC,946.91,2025,15.55,16.0,11.0,1.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,15.0,0.0,1.0,0.0,170.0,126.0,30.0,20.0,17.0,13.0,0.0,1.0,1.0,1.0,6.0,2.0,50.0,15.0,1675.0,1925.0,0.0,0.0,3.0,0.0,1.0,0.0,37.0,31.0,0.0,1.0,166.0,89.0,0.0,1.0,1.0,1.0,5.0,3.0,14.0,12.0,336.0,215.0,1.0,0.0,-1.0,0.3571,0.2,27.92,#c15d26,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/251.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/251.png']",24.53,1,0,0,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.9056990216331493,0.927354893379026,-0.12004779138818919,0.035721038997178885,0.273,0.417910447761194,0.3333333333333333,0.75,0.5,0.05714285714285714,0.2647058823529412,2.3333333333333335,7.0,1.613,-0.881,68.0,80.5,30.0,-18.2,-18.2,30.0,0.0,0.0,1858.0,0.035721038997178885,-0.12004779138818919,7.0,2.3333333333333335,0.0,0.0,0.0,0.0,10.9,21.7,10.0,42.25,40.96067659389909,41.40331428571428,53.20703125,7.555555555555557,34.0,40.33245396743067,12.423400026730675,929.3889774510094,1.0,72.80219780219781,11.143313473510261,61.765634686452344,58.21405750798723,83.47318660790181,0.05379878738946593,34.0,30.5,46.0,35.491,111.0,32.08,4.6,122.0,-2.8321145265024477,0.5089862155991227,120,81,4.0,75.0,47.0,121.0,19.0,97.0,62.0,9.134,10,0.0,-0.02,-0.29,89,-0.033,87,1858
5,Notre Dame,FBS Independents,896.11,2025,8.55,17.0,19.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,15.0,32.0,1.0,1.0,221.0,205.0,30.0,30.0,19.0,20.0,0.0,1.0,2.0,2.0,5.0,6.0,30.0,52.0,1556.0,2044.0,0.0,0.0,9.0,9.0,2.0,1.0,28.0,39.0,1.0,1.0,93.0,113.0,0.0,0.0,0.0,0.0,4.0,5.0,9.0,14.0,314.0,318.0,2.0,0.0,-2.0,0.4444,0.0,25.93,#0c2340,#c99700,"['http://a.espncdn.com/i/teamlogos/ncaa/500/87.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/87.png']",18.275,6,0,0,,,,1.0,0.0,1.0,0.0,0.0,0.0,1.239430959101071,0.8863613204071918,0.18095500376344736,0.16400600729287595,0.045,0.4482758620689655,0.5,0.4,0.7142857142857143,0.19230769230769232,0.16216216216216217,7.0,3.0,0.868,-1.414,76.2,69.1,-10.0,30.8,30.8,-10.0,0.0,0.0,2166.0,0.16400600729287595,0.18095500376344736,3.0,7.0,0.0,0.0,0.0,0.0,12.8,21.7,7.8845408756296,34.0,38.11247650715628,51.28068571428572,21.496093749999986,-0.8888888888888928,100.0,46.496105452366685,41.80762778567903,871.6978830615483,46.25714285714286,83.68131868131869,39.40611901321434,51.9052235975892,26.51437699680511,86.7716808322534,0.0344155935019998,16.0,12.399999999999991,69.0,30.374,125.0,34.07,4.0,124.0,-0.01733603595939459,0.6227642127219088,67,83,9.0,62.0,114.0,67.0,10.0,113.0,23.0,10.01,33,-0.01,-0.26,-0.9,94,-0.439,93,2166
6,Oregon,Big Ten,910.89,2025,9.622222222222222,29.0,17.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,45.0,4.0,2.0,253.0,198.0,25.0,31.0,19.0,23.0,0.0,0.0,3.0,0.0,3.0,7.0,29.0,54.0,1805.0,1795.0,0.0,0.0,34.0,0.0,3.0,0.0,38.0,27.0,5.0,1.0,254.0,46.0,3.0,0.0,7.0,0.0,7.0,3.0,10.0,12.0,507.0,244.0,0.0,0.0,0.0,0.7,1.0,30.08,#007030,#fee11a,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2483.png']",17.701,7,0,0,,,,1.0,1.0,0.0,0.0,0.0,0.0,1.1953097255309888,1.0204902965896796,0.6329981334129887,0.08135764230186723,2.0,0.640625,0.42105263157894735,0.8,0.5,0.10256410256410256,0.24,6.555555555555555,3.25,2.073,-0.894,59.3,75.4,90.0,33.3,,,,,1860.0,,,,,,,,,26.4,20.4,8.208575487537129,50.5,44.052190255891276,80.19999999999999,86.8515625,3.7777777777777857,93.71428571428571,85.53963825644098,37.922868100808685,888.4828117047812,43.42857142857143,84.22527472527473,81.85093107021878,58.25785294661236,41.53001513368085,75.97916822155445,0.03263991111359385,12.0,50.183333333333344,21.0,57.08,18.0,29.92,9.0,91.0,5.093146870490997,0.4323989318760126,3,78,7.0,4.0,93.0,79.0,34.0,54.0,22.0,10.11,37,0.0,0.0,0.0,79,0.0,72,1860
7,LSU,SEC,908.5166666666668,2025,15.55,25.0,13.0,0.0,2.0,1.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,230.0,39.0,38.0,29.0,19.0,1.0,0.0,1.0,0.0,6.0,6.0,45.0,57.0,2230.0,1370.0,0.0,0.0,18.0,16.0,1.0,1.0,29.0,19.0,1.0,1.0,110.0,32.0,2.0,1.0,4.0,8.0,4.0,3.0,11.0,13.0,356.0,262.0,2.0,1.0,-1.0,0.3636,0.0,37.17,#461d7c,#fdd023,"['http://a.espncdn.com/i/teamlogos/ncaa/500/99.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/99.png']",14.83,12,0,0,,,,1.0,1.0,0.0,0.0,0.0,0.0,1.07163231708075,1.2870915873631883,0.06205295670362027,-0.011176703892271378,0.069,0.4142857142857143,0.3448275862068966,0.8,1.0,0.2903225806451613,0.2777777777777778,2.4285714285714284,2.0,1.163,-1.243,73.0,71.3,45.5,18.2,18.2,45.5,0.0,0.0,1730.0,-0.011176703892271378,0.06205295670362027,2.0,2.4285714285714284,0.0,0.0,0.0,0.0,14.3,20.0,10.0,42.25,54.19979760011566,42.13874285714285,33.87109375,0.7407407407407405,35.3469387755102,39.596696054095695,27.03339445285249,885.7875322293683,57.57142857142857,75.52197802197801,28.241752806476253,65.37035182652977,56.02787264514707,54.52744410798907,0.05080225038474303,30.0,,,40.806000000000004,85.0,22.83,5.6,116.0,-1.4164551561861614,-1.1669101538824056,90,39,8.0,77.0,56.0,99.0,80.0,97.0,54.0,8.901,6,1.0,0.94,0.37,4,0.877,1,1730
8,Clemson,ACC,920.3133333333334,2025,6.070588235294117,13.0,25.0,2.0,0.0,4.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,246.0,38.0,39.0,19.0,29.0,0.0,1.0,0.0,1.0,6.0,6.0,57.0,45.0,1370.0,2230.0,0.0,0.0,16.0,18.0,1.0,1.0,19.0,29.0,1.0,1.0,32.0,110.0,1.0,2.0,8.0,4.0,3.0,4.0,13.0,11.0,262.0,356.0,1.0,2.0,0.0,0.2308,0.5,22.83,#f56600,#522d80,"['http://a.espncdn.com/i/teamlogos/ncaa/500/228.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/228.png']",13.663,16,0,0,,,,1.0,0.0,1.0,0.0,0.0,0.0,1.2870915873631883,1.07163231708075,-0.011176703892271378,0.06205295670362027,0.043,0.3448275862068966,0.4142857142857143,1.0,0.8,0.2777777777777778,0.2903225806451613,2.0,2.4285714285714284,1.243,-1.163,71.3,73.0,18.2,45.5,45.5,18.2,0.0,0.0,1692.0,0.06205295670362027,-0.011176703892271378,2.4285714285714284,2.0,0.0,0.0,0.0,0.0,10.3,19.7,7.135241698384118,50.5,33.675581899667485,27.11337142857143,40.44531250000001,2.0,29.285714285714285,25.497902935889762,46.004021953448,899.1844340039288,52.72244897959183,68.99450549450549,21.365817796910736,59.7416755524005,42.817069831127334,71.86409244303252,0.06339077706915792,44.0,,,35.138,112.0,37.17,16.400000000000002,33.0,-2.891159089238549,0.3025793071340223,123,74,5.0,107.0,89.0,54.0,38.0,54.0,82.0,10.177,41,0.0,-0.05,-0.61,90,-0.304,91,1692
9,Texas A&M,SEC,919.2433333333333,2025,15.55,17.0,17.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,20.0,2.0,1.0,291.0,170.0,36.0,34.0,23.0,21.0,0.0,0.0,4.0,1.0,7.0,4.0,50.0,34.0,1579.0,2021.0,1.0,0.0,142.0,9.0,5.0,1.0,22.0,33.0,1.0,2.0,110.0,203.0,1.0,0.0,9.0,2.0,3.0,5.0,11.0,16.0,401.0,373.0,0.0,0.0,0.0,0.2727,1.0,26.32,#500000,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/245.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/245.png']",15.543,9,0,0,,,,1.0,1.0,0.0,0.0,0.0,0.0,1.590247929359249,1.7786961037428994,0.3464193243559051,0.22202351608954476,,0.423728813559322,0.3283582089552239,0.0,1.0,0.2608695652173913,0.1875,7.0,4.25,1.528,-0.88,67.4,76.2,-84.6,23.1,23.1,-84.6,0.0,0.0,1700.0,0.22202351608954476,0.3464193243559051,4.25,7.0,0.0,0.0,0.0,0.0,9.6,19.5,10.0,50.5,38.67066647390487,31.85405714285714,55.52734374999998,4.370370370370374,100.0,41.51348112642301,72.69614817717246,897.969286937064,32.114285714285714,72.80219780219781,54.942472801251434,47.44580411386411,59.160316627724,14.971129778965604,0.05568119169258887,36.0,70.69999999999999,6.0,49.047,50.0,33.68,7.0,104.0,-1.6466905634866986,1.312993268295085,96,95,6.0,71.0,46.0,13.0,131.0,54.0,62.0,9.064,8,0.5,0.04,0.0,11,0.005,15,1700
