,id,season,week,start_date,home_team,home_elo,away_team,away_elo,home_points,away_points,neutral,conference_game,home_win_prob,home_pr,home_pr_rank,home_or,home_or_rank,home_dr,home_dr_rank,away_pr,away_pr_rank,away_or,away_or_rank,away_dr,away_dr_rank,PEAR_win_prob,pr_spread,PEAR,total,home_score,away_score,GQI
0,401756846,2025,1,2025-08-23,Kansas State,1669.0,Iowa State,1616.0,21.0,24.0,True,True,57.57,8.2,41,32.0,40,23.8,49,8.3,40.0,29.6,54.0,21.2,33.0,49.72,0.1,Kansas State -0.1,53.3,26.7,26.6,9.2
1,401760371,2025,1,2025-08-23,UNLV,,Idaho State,,38.0,31.0,False,False,50.0,-3.7,78,34.1,25,37.8,128,-25.5,,11.2,,12.7,,93.2,24.8,UNLV -24.8,47.9,36.4,11.5,2.1
2,401756847,2025,1,2025-08-23,Kansas,1583.0,Fresno State,1490.0,31.0,7.0,False,False,63.07,5.7,50,34.1,25,28.4,73,-5.1,84.0,21.1,102.0,26.2,65.0,79.92,14.1,Kansas -14.1,54.9,34.5,20.4,6.6
3,401757218,2025,1,2025-08-23,Western Kentucky,1409.0,Sam Houston,1452.0,41.0,24.0,False,True,43.84,-7.5,94,21.9,97,29.4,85,-26.1,135.0,14.5,130.0,40.7,134.0,90.53,21.5,Western Kentucky -21.5,53.2,37.4,15.8,2.2
4,401754516,2025,1,2025-08-23,Hawai'i,1257.0,Stanford,1283.0,23.0,20.0,False,False,46.27,-7.2,93,22.7,93,29.9,91,-8.4,100.0,20.7,104.0,29.1,81.0,57.52,4.1,Hawai'i -4.1,51.2,27.6,23.6,7.0
5,401762522,2025,1,2025-08-28,South Florida,1456.0,Boise State,1676.0,34.0,7.0,False,False,21.99,9.0,36,35.0,23,25.9,63,4.0,53.0,29.3,56.0,25.3,60.0,67.48,7.4,South Florida -7.4,57.8,32.6,25.2,8.6
6,401752794,2025,1,2025-08-28,Rutgers,1522.0,Ohio,1621.0,34.0,31.0,False,False,36.13,0.3,63,32.1,39,31.8,100,-4.8,83.0,24.5,77.0,29.4,85.0,67.73,7.8,Rutgers -7.8,58.9,33.4,25.6,7.3
7,401762790,2025,1,2025-08-28,Bowling Green,1461.0,Lafayette,,26.0,7.0,False,False,50.0,-14.9,118,15.5,125,30.4,94,-25.5,,11.2,,12.7,,79.56,13.6,Bowling Green -13.6,34.9,24.2,10.6,2.8
8,401761588,2025,1,2025-08-28,UL Monroe,1281.0,St. Francis (PA),,29.0,0.0,False,False,50.0,-20.1,130,14.6,129,34.7,116,-25.5,,11.2,,12.7,,68.46,8.4,UL Monroe -8.4,36.6,22.5,14.1,3.2
9,401756848,2025,1,2025-08-28,UCF,1538.0,Jacksonville State,1650.0,17.0,10.0,False,False,34.42,3.3,57,24.2,79,20.9,29,-10.6,105.0,23.0,90.0,33.6,109.0,84.94,16.6,UCF -16.6,50.8,33.7,17.1,5.1
10,401762789,2025,1,2025-08-28,Akron,1245.0,Wyoming,1367.0,0.0,10.0,False,False,33.13,-19.8,128,12.1,134,31.9,101,-7.8,98.0,18.3,118.0,26.1,64.0,23.52,-9.3,Wyoming -9.3,44.2,17.5,26.8,3.5
11,401757219,2025,1,2025-08-28,Delaware,1500.0,Delaware State,,35.0,17.0,False,False,50.0,-14.3,116,23.2,88,37.4,126,-25.5,,11.2,,12.7,,80.64,14.2,Delaware -14.2,42.2,28.2,14.0,2.8
12,401754373,2025,1,2025-08-28,NC State,1501.0,East Carolina,1435.0,24.0,17.0,False,False,59.39,3.8,54,33.0,32,29.3,83,5.0,51.0,29.0,58.0,24.1,52.0,50.84,2.0,NC State -2.0,57.7,29.8,27.8,8.8
13,401754517,2025,1,2025-08-28,Duke,1526.0,Elon,,45.0,17.0,False,False,50.0,7.2,46,35.8,18,28.5,75,-25.5,,11.2,,12.7,,97.9,35.7,Duke -35.7,44.1,39.9,4.2,1.9
14,401756876,2025,1,2025-08-28,Oklahoma State,1334.0,UT Martin,,27.0,7.0,False,False,50.0,-16.2,123,18.4,117,34.6,114,-25.5,,11.2,,12.7,,77.08,12.3,Oklahoma State -12.3,38.4,25.4,13.0,2.9
15,401752674,2025,1,2025-08-28,Missouri,1640.0,Central Arkansas,,61.0,6.0,False,False,50.0,16.0,15,32.7,34,16.8,13,-25.5,,11.2,,12.7,,99.21,44.5,Missouri -44.5,36.7,40.6,-3.9,2.2
16,401752793,2025,1,2025-08-28,Minnesota,1616.0,Buffalo,1416.0,23.0,10.0,False,False,75.97,2.0,60,22.9,91,20.9,29,-9.4,103.0,15.3,126.0,24.7,54.0,80.98,14.9,Minnesota -14.9,41.9,28.4,13.5,5.6
17,401756852,2025,1,2025-08-28,Houston,1375.0,Stephen F. Austin,,27.0,0.0,False,False,50.0,4.4,52,27.4,66,23.0,45,-25.5,,11.2,,12.7,,97.14,32.9,Houston -32.9,37.2,35.0,2.2,1.8
18,401762430,2025,1,2025-08-28,UAB,1319.0,Alabama State,,52.0,42.0,False,False,50.0,-15.3,122,26.0,72,41.3,136,-25.5,,11.2,,12.7,,78.82,13.2,UAB -13.2,45.6,29.4,16.2,2.8
19,401752796,2025,1,2025-08-28,Cincinnati,1475.0,Nebraska,1524.0,17.0,20.0,True,False,42.99,9.6,32,34.3,24,24.7,54,11.2,27.0,30.4,48.0,19.2,22.0,45.52,-1.7,Nebraska -1.7,54.3,26.3,28.0,9.3
20,401762791,2025,1,2025-08-28,Wisconsin,1536.0,Miami (OH),1528.0,17.0,0.0,False,False,51.15,-1.5,70,20.4,108,22.0,38,-6.5,88.0,18.6,115.0,25.1,57.0,67.48,8.0,Wisconsin -8.0,43.0,25.5,17.5,6.9
21,401760357,2025,1,2025-08-28,San Diego State,1318.0,Stony Brook,,42.0,0.0,False,False,50.0,3.7,55,21.9,97,18.2,19,-25.5,,11.2,,12.7,,96.92,32.2,San Diego State -32.2,32.0,32.1,-0.1,1.8
22,401762432,2025,1,2025-08-29,Army,1607.0,Tarleton State,,27.0,30.0,False,False,50.0,-3.5,77,22.0,96,25.5,61,-25.5,,11.2,,12.7,,93.34,25.0,Army -25.0,35.7,30.4,5.4,2.1
23,401752802,2025,1,2025-08-29,Michigan State,1368.0,Western Michigan,1345.0,23.0,6.0,False,False,53.31,-0.9,68,28.0,63,28.9,78,-7.7,97.0,18.6,115.0,26.4,66.0,71.75,9.9,Michigan State -9.9,51.0,30.4,20.6,6.5
24,401761589,2025,1,2025-08-29,Charlotte,1254.0,App State,1428.0,11.0,34.0,True,False,26.86,-23.9,134,15.9,123,39.8,132,-10.6,105.0,23.3,86.0,34.0,112.0,18.33,-13.8,App State -13.8,56.5,21.4,35.2,2.8
25,401754374,2025,1,2025-08-29,Wake Forest,1397.0,Kennesaw State,1266.0,10.0,9.0,False,False,68.01,-0.6,67,21.0,103,21.6,35,-5.6,86.0,19.2,114.0,24.8,56.0,67.48,8.4,Wake Forest -8.4,43.3,25.8,17.4,7.1
26,401766898,2025,1,2025-08-29,Florida International,1372.0,Bethune-Cookman,,42.0,9.0,False,False,50.0,-17.1,124,18.1,120,35.2,118,-25.5,,11.2,,12.7,,75.25,11.4,Florida International -11.4,38.6,25.0,13.6,3.0
27,401752795,2025,1,2025-08-29,Illinois,1578.0,Western Illinois,,52.0,3.0,False,False,50.0,12.5,25,37.0,15,24.5,53,-25.5,,11.2,,12.7,,98.83,41.0,Illinois -41.0,42.7,41.8,0.9,2.1
28,401756854,2025,1,2025-08-29,Kansas,1633.0,Wagner,,46.0,7.0,False,False,50.0,5.7,50,34.1,25,28.4,73,-25.5,,11.2,,12.7,,97.52,34.2,Kansas -34.2,43.2,38.7,4.5,1.8
