,Rank,Team,Conference
0,1,Texas A&M,SEC
1,2,Florida,SEC
2,3,Oklahoma,SEC
3,4,Arkansas,SEC
4,5,Florida St.,ACC
5,6,LSU,SEC
6,7,Tennessee,SEC
7,8,UCLA,Big Ten
8,9,Texas,SEC
9,10,South Carolina,SEC
10,11,Duke,ACC
11,12,Arizona,Big 12
12,13,Clemson,ACC
13,14,Virginia Tech,ACC
14,15,Stanford,ACC
15,16,Alabama,SEC
16,17,Oregon,Big Ten
17,18,Ole Miss,SEC
18,19,Texas Tech,Big 12
19,20,Auburn,SEC
20,21,Ohio St.,Big Ten
21,22,Mississippi St.,SEC
22,23,Nebraska,Big Ten
23,24,Virginia,ACC
24,25,Oklahoma St.,Big 12
25,26,Liberty,Conference USA
26,27,California,ACC
27,28,Georgia,SEC
28,29,Fla. Atlantic,American Athletic
29,30,Nevada,Mountain West
30,31,UCF,Big 12
31,32,North Carolina,ACC
32,33,Washington,Big Ten
33,34,South Fla.,American Athletic
34,35,Arizona St.,Big 12
35,36,San Diego St.,Mountain West
36,37,Georgia Tech,ACC
37,38,Grand Canyon,Western Athletic
38,39,Kentucky,SEC
39,40,Indiana,Big Ten
40,41,Missouri,SEC
41,42,North Florida,ASUN
42,43,Michigan,Big Ten
43,44,Coastal Carolina,Sun Belt
44,45,BYU,Big 12
45,46,Chattanooga,Southern
46,47,Omaha,The Summit League
47,48,Purdue,Big Ten
48,49,Texas St.,Sun Belt
49,50,Northwestern,Big Ten
50,51,Charlotte,American Athletic
51,52,Iowa,Big Ten
52,53,North Texas,American Athletic
53,54,Cal St. Fullerton,Big West
54,55,Louisville,ACC
55,56,Wisconsin,Big Ten
56,57,Baylor,Big 12
57,58,Louisiana,Sun Belt
58,59,UNC Greensboro,Southern
59,60,UConn,Big East
60,61,Central Ark.,ASUN
61,62,Eastern Ky.,ASUN
62,63,Stetson,ASUN
63,64,Iowa St.,Big 12
64,65,Fresno St.,Mountain West
65,66,Syracuse,ACC
66,67,Belmont,Missouri Valley
67,68,McNeese,Southland
68,69,NC State,ACC
69,70,Saint Mary's (CA),West Coast
