,Team,Date,Opponent,Location,Result,home_team,away_team,home_score,away_score,home_elo,away_elo,home_rating,away_rating,home_win_prob,Spread,elo_win_prob,PEAR,resume_quality,home_net,away_net,avg_net,TQ,WP,NED,GQI
0,Texas A&M,2025-02-06,Utah St.,Home,W11 - 5,Texas A&M,Utah St.,11,5,1819.12,1365.73,4.15,0.1,0.7912,5.13,93.15,Texas A&M -5.13,0.2076,2.0,118.0,60.0,0.802675585284281,0.41759999999999997,0.6120401337792643,7.1
1,Texas A&M,2025-02-06,Purdue,Home,W10 - 2(5 Innings),Texas A&M,Purdue,10,2,1819.12,1544.4,4.15,2.59,0.6255,2.45,82.94,Texas A&M -2.45,0.3728,2.0,61.0,31.5,0.8979933110367893,0.7490000000000001,0.802675585284281,8.6
2,Texas A&M,2025-02-07,Baylor,Home,W10 - 7,Texas A&M,Baylor,10,7,1819.12,1551.01,4.15,2.35,0.6437999999999999,2.68,82.4,Texas A&M -2.68,0.35450000000000004,2.0,75.0,38.5,0.8745819397993311,0.7124000000000001,0.7558528428093645,8.3
3,Texas A&M,2025-02-08,Abilene Christian,Home,W1 - 0,Texas A&M,Abilene Christian,1,0,1819.12,1306.66,4.15,-1.56,0.8674,6.82,95.03,Texas A&M -6.82,0.13180000000000003,2.0,218.0,110.0,0.6354515050167224,0.2652000000000001,0.2775919732441472,5.3
4,Texas A&M,2025-02-08,Villanova,Home,W8 - 0(5 Innings),Texas A&M,Villanova,8,0,1819.12,1378.63,4.15,0.58,0.7639,4.64,92.66,Texas A&M -4.64,0.2348,2.0,120.0,61.0,0.7993311036789298,0.47219999999999995,0.6053511705685619,7.1
5,Texas A&M,2025-02-09,Purdue,Home,W11 - 0(5 Innings),Texas A&M,Purdue,11,0,1819.12,1544.4,4.15,2.59,0.6255,2.45,82.94,Texas A&M -2.45,0.3728,2.0,61.0,31.5,0.8979933110367893,0.7490000000000001,0.802675585284281,8.6
6,Texas A&M,2025-02-13,Wichita St.,Neutral,W9 - 1,Wichita St.,Texas A&M,1,9,1470.24,1819.12,1.61,4.15,0.3025,-3.23,11.83,Texas A&M -3.23,0.3590000000000001,89.0,2.0,45.5,0.8511705685618729,0.605,0.7090301003344481,7.9
7,Texas A&M,2025-02-14,UCF,Neutral,W9 - 1(5 Innings),Texas A&M,UCF,9,1,1819.12,1591.77,4.15,3.15,0.5815,1.52,78.73,Texas A&M -1.52,0.4818,2.0,43.0,22.5,0.9280936454849499,0.837,0.862876254180602,9.0
8,Texas A&M,2025-02-15,Oklahoma St.,Neutral,L5 - 6,Oklahoma St.,Texas A&M,6,5,1639.2,1819.12,3.54,4.15,0.45,-1.04,26.2,Texas A&M -1.04,-0.48619999999999997,23.0,2.0,12.5,0.9615384615384616,0.9,0.9297658862876255,9.5
9,Texas A&M,2025-02-15,Virginia,Neutral,W4 - 3(8 Innings),Virginia,Texas A&M,3,4,1629.28,1819.12,3.54,4.15,0.45,-1.06,25.11,Texas A&M -1.06,0.5138,28.0,2.0,15.0,0.9531772575250836,0.9,0.9130434782608696,9.4
10,Texas A&M,2025-02-16,Charlotte,Neutral,W4 - 2,Texas A&M,Charlotte,4,2,1819.12,1517.79,4.15,2.25,0.6514,2.53,85.0,Texas A&M -2.53,0.40880000000000005,2.0,78.0,40.0,0.8695652173913043,0.6972,0.745819397993311,8.2
11,Texas A&M,2025-02-21,Florida A&M,Away,W11 - 2,Florida A&M,Texas A&M,2,11,1411.98,1819.12,0.28,4.15,0.2187,-4.31,8.76,Texas A&M -4.31,0.32000000000000006,152.0,2.0,77.0,0.745819397993311,0.4374,0.4983277591973244,6.6
12,Texas A&M,2025-02-21,Florida A&M,Home,W12 - 1(5 Innings),Texas A&M,Florida A&M,12,1,1819.12,1411.98,4.15,0.28,0.7813,4.91,91.24,Texas A&M -4.91,0.21750000000000003,2.0,152.0,77.0,0.745819397993311,0.4374,0.4983277591973244,6.6
13,Texas A&M,2025-02-22,Florida St.,Away,W6 - 3(8 Innings),Florida St.,Texas A&M,3,6,1762.35,1819.12,4.18,4.15,0.5025,0.18,41.9,Florida St. -0.18,0.6292,4.0,2.0,3.0,0.9933110367892977,0.9950000000000001,0.9933110367892977,9.9
14,Texas A&M,2025-02-22,Florida St.,Away,W11 - 4,Florida St.,Texas A&M,4,11,1762.35,1819.12,4.18,4.15,0.5025,0.18,41.9,Florida St. -0.18,0.6292,4.0,2.0,3.0,0.9933110367892977,0.9950000000000001,0.9933110367892977,9.9
15,Texas A&M,2025-02-23,Southeastern La.,Neutral,W3 - 2,Texas A&M,Southeastern La.,3,2,1819.12,1630.93,4.15,3.04,0.5903,1.55,74.71,Texas A&M -1.55,0.4727,2.0,44.0,23.0,0.9264214046822743,0.8193999999999999,0.8595317725752508,9.0
